seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1733282174,50,0.1,0.6,0.00012463576248070144,0.00016984282722912387,0.49495714042424355,0.49412454822411866,0.5769674721365451,0.6058811285408822,0.4817658322388296,0.48086306910113863,0.578262128761266,0.6067039877068988,15.556571495988674,80.8941717791411,5.2,0.0,"[91, 220, 331, 514, 571, 622, 715, 772, 871, 1006, 1075, 1132, 1195, 1246, 1393, 1522, 1615, 1774, 1831, 1948, 2053, 2152, 2293, 2368, 2425, 2476, 2527, 2674, 2755, 2824, 2905, 2962, 3037, 3094, 3229, 3286, 3343, 3394, 3469, 3538, 3643, 3820, 3877, 3946, 4015, 4084, 4135, 4204, 4285, 4336, 4399, 4474, 4525, 4636, 4687, 4744, 4855, 4912, 4963, 5146, 5209, 5272, 5377, 5482, 5587, 5638, 5803, 5860, 5923, 5998, 6061, 6220, 6289, 6346, 6433, 6526, 6589, 6712, 6829, 6880, 6931, 6988, 7051, 7114, 7255, 7330, 7429, 7534, 7585, 7648, 7729, 7804, 7909, 8002, 8089, 8188, 8275, 8350, 8407, 8584, 8659, 8716, 8797, 8890, 8965, 9070, 9127, 9184, 9247, 9352, 9409, 9592, 9655, 9712, 9811, 9958, 10069, 10156, 10273, 10342, 10393, 10456, 10507, 10612, 10717, 10768, 10849, 10906, 10975, 11026, 11167, 11260, 11359, 11416, 11479, 11536, 11653, 11728, 11791, 11848, 11911, 11986, 12049, 12112, 12163, 12274, 12343, 12412, 12517, 12748, 12817, 12898, 12961, 13048, 13099, 13150, 13207, 13270, 13327, 13462, 13531, 13594, 13651, 13732, 13783, 13840, 13909, 13966, 14215, 14272, 14359, 14416, 14497, 14620, 14671, 14800, 14881, 15022, 15103, 15154, 15289, 15406, 15469, 15568, 15625, 15676, 15799, 15898, 16033, 16090, 16165, 16240, 16351, 16414, 16537, 16636, 16759, 16828, 16879, 16960, 17059, 17116, 17239, 17392, 17515, 17608, 17695, 17812, 17875, 17938, 18007, 18058, 18109, 18202, 18259, 18334, 18409, 18508, 18613, 18724, 18811, 18940, 19093, 19180, 19255, 19324, 19507, 19570, 19627, 19684, 19873, 19972, 20041, 20092, 20197, 20350, 20527, 20596, 20671, 20782, 20839, 20896, 20947, 21004, 21055, 21106, 21205, 21304, 21367, 21418, 21481, 21550, 21607, 21664, 21751, 21850, 21979, 22048, 22183, 22258, 22363, 22414, 22483, 22582, 22645, 22726, 22795, 22906, 22969, 23050, 23155, 23242, 23311, 23386, 23455, 23512, 23635, 23722, 23803, 23890, 23953, 24064, 24145, 24202, 24253, 24322, 24427, 24508, 24565, 24616, 24697, 24748, 24805, 24868, 24979, 25078, 25153, 25210, 25465, 25540, 25639, 25726, 25819, 25894, 25951, 26002, 26083, 26134, 26185, 26236, 26287, 26356, 26413, 26464, 26545, 26596, 26677, 26734, 26821, 26920, 26977, 27052, 27139, 27202, 27271, 27400, 27469, 27520, 27595, 27658, 27715, 27766, 27835, 27898, 27955, 28078, 28141, 28198, 28285, 28336, 28411, 28462, 28603, 28714, 28771, 28828, 28879, 28948, 29011, 29074, 29125, 29200, 29275, 29386, 29443, 29494, 29557, 29608, 29671, 29752, 29881, 29938, 30103, 30160, 30283, 30364, 30421, 30496, 30595, 30676, 30769, 30874, 30931, 30988, 31087, 31156, 31249, 31312, 31423, 31492, 31573, 31636, 31687, 31768, 31819, 31918, 31999, 32056, 32185, 32260, 32341, 32422, 32473, 32542, 32623, 32692, 32743, 32860, 32917, 33010, 33115, 33178, 33241, 33340, 33391, 33442, 33571, 33652, 33703, 33754, 33847, 33946, 33997, 34150, 34219, 34294, 34429, 34528, 34609, 34696, 34819, 34894, 34951, 35026, 35095, 35194, 35275, 35332, 35401, 35482, 35533, 35590, 35653, 35740, 35857, 35908, 35965, 36034, 36091, 36190, 36247, 36298, 36541, 36604, 36667, 36802, 36871, 36940, 37069, 37120, 37177, 37240, 37447, 37510, 37615, 37672, 37735, 37804, 37927, 38032, 38101, 38152, 38215, 38338, 38395, 38470, 38587, 38686, 38743, 38800, 38851, 38908, 38959, 39016, 39085, 39142, 39211, 39310, 39373, 39460, 39517, 39610, 39673, 39730, 39823, 39898, 40057, 40114, 40195, 40246, 40321, 40402, 40459, 40522, 40585, 40684, 40735, 40786, 40855, 40930, 40999, 41092, 41143, 41206, 41263, 41314, 41389, 41464, 41569, 41650, 41719, 41806, 41857, 41926, 42013, 42082, 42157, 42226, 42379, 42490, 42631, 42760, 42823, 42904, 42961, 43054, 43105, 43228, 43321, 43384, 43447, 43546, 43639, 43714, 43813, 43900, 43981, 44032, 44095, 44260, 44341, 44392, 44473, 44560, 44641, 44710, 44761, 44830, 44917, 44968, 45031, 45094, 45181, 45250, 45319, 45370, 45451, 45502, 45559, 45616, 45685, 45736, 45811, 45886, 45943, 46042, 46105, 46156, 46219, 46288, 46345, 46396, 46477, 46636, 46723, 46810, 46867, 46924, 46993, 47044, 47179, 47266, 47371, 47434, 47515, 47566, 47647, 47722, 47791, 47872, 47923, 48034, 48115, 48166, 48253, 48328, 48391, 48466, 48529, 48604, 48685, 48760, 48817, 48982, 49033, 49126, 49207, 49270, 49321, 49390, 49519, 49588, 49651, 49732, 49795, 49846, 49933, 49996, 50059, 50140, 50191, 50266, 50317, 50374, 50527, 50668, 50725, 50800, 50851, 50944, 50995, 51052, 51109, 51166, 51217, 51340, 51391, 51460, 51523, 51574, 51631, 51688, 51781, 51844, 51961, 52012, 52081, 52180, 52231, 52288, 52339, 52390, 52477, 52558, 52651, 52708, 52759, 52834]"
1733282215,50,0.1,0.7,0.0004801680056860603,0.000527241998500139,0.49495714042424355,0.49412454822411866,0.6318050220447707,0.6443885177966583,0.4817658322388296,0.48086306910113863,0.6304609597243961,0.6426604622659428,5.8498630868897346,188.36559139784947,32.2,0.0,"[121, 220, 367, 490, 643, 886, 985, 1048, 1177, 1324, 1417, 1948, 2185, 2290, 2461, 2758, 2833, 3034, 3187, 3346, 3553, 3982, 4237, 4384, 4501, 4696, 4765, 4900, 4975, 5146, 5209, 5482, 5653, 6064, 6151, 6226, 6289, 6436, 6529, 6592, 6661, 6898, 7009, 7234, 7459, 7564, 7813, 8182, 8275, 8410, 8575, 8704, 8755, 9262, 9409, 9850, 9985, 10156, 10345, 10408, 10495, 10804, 10921, 11026, 11257, 11524, 11659, 11812, 11911, 12280, 12595, 12646, 12703, 12826, 12961, 13018, 13093, 13216, 13369, 13498, 13777, 13846, 13915, 13966, 14215, 14302, 14359, 14440, 14671, 15142, 15559, 15676, 15943, 16018, 16411, 16636, 16771, 17062, 17929, 18016, 18109, 18298, 18469, 19330, 19519, 19714, 20197, 20386, 20449, 20704, 21097, 21466, 21553, 21694, 21751, 21862, 22027, 22228, 22393, 22612, 22717, 23326, 23455, 23560, 23635, 23686, 23827, 24064, 24175, 24244, 24361, 24706, 24865, 25354, 25465, 25594, 25717, 25822, 26083, 26134, 26275, 26596, 26761, 26854, 27049, 27154, 27403, 27478, 27595, 27718, 27847, 27910, 28141, 28198, 28339, 28414, 28711, 28858, 29017, 29128, 29275, 29596, 29707, 29932, 30085, 30160, 30421, 30496, 30613, 30712, 30787, 31174, 31429, 31540, 31819, 32344, 32473, 32542, 32623, 33244, 33865, 34186, 34429, 34648, 34819, 35344, 35401, 35578, 35653, 35740, 36247, 36814, 37123, 37174, 37513, 37612, 37795, 38032, 38221, 38800, 38935, 39052, 39115, 39220, 39331, 39412, 39523, 39646, 39823, 39928, 40225, 40606, 40717, 40840, 41023, 41170, 41389, 41554, 41683, 41968, 42157, 42394, 42667, 42898, 43003, 43102, 43207, 43282, 43333, 43384, 43711, 43810, 43903, 44014, 44095, 44248, 44509, 44614, 44767, 44866, 45187, 45250, 45757, 45970, 46129, 46750, 46945, 47068, 47125, 47266, 47479, 47554, 47791, 47920, 48253, 48328, 48391, 48604, 48703, 48820, 48913, 49060, 49195, 49318, 49369, 49456, 49729, 49798, 49993, 50140, 50209, 50356, 50527, 50728, 50851, 51232, 51361, 51688, 52087, 52180, 52231, 52390, 52513, 52600, 52675]"
1733282262,50,0.1,0.8,0.003011541684413995,0.003062596866497125,0.49495714042424355,0.49412454822411866,0.6545688496981853,0.6564421821484663,0.4817658322388296,0.48086306910113863,0.6497925831844972,0.6516233011300198,76.22608695652174,1095.75,11.5,0.19999999999999996,"[121, 220, 373, 1324, 2755, 5608, 6091, 6898, 7909, 8716, 9409, 10504, 12283, 12748, 12961, 13498, 14359, 14440, 16411, 17254, 18109, 19516, 21109, 22612, 22795, 23560, 23827, 24808, 25549, 26764, 28141, 28198, 28411, 29128, 29497, 30172, 31429, 33250, 35485, 37612, 39523, 40114, 40861, 43810, 44095, 44248, 45187, 46294, 48343, 48604, 52231, 52600, 52717]"
1733282313,50,0.5,0.6,0.0006087018605955071,0.0006622097435867267,0.49495714042424355,0.49412454822411866,0.6398281832459742,0.6517304671977596,0.4817658322388296,0.48086306910113863,0.6373997440343321,0.6491349477089349,6.4276792711598745,226.2543103448276,35.2,0.0,"[257, 386, 437, 956, 1527, 2514, 2643, 2772, 3005, 3056, 3705, 3756, 3859, 4274, 4429, 4480, 4609, 4660, 4711, 4970, 5229, 5618, 5929, 6292, 6525, 6680, 6939, 7302, 7561, 7768, 8027, 8182, 9611, 9844, 9973, 10362, 10465, 10516, 10567, 10722, 12229, 12540, 12617, 12850, 13109, 13316, 13367, 13730, 13859, 14014, 14377, 14454, 15181, 15648, 15803, 16036, 16399, 16554, 16605, 16708, 17045, 17148, 17537, 17744, 17873, 18002, 18079, 18130, 18259, 18362, 18517, 18568, 18723, 18826, 18903, 18954, 19343, 19472, 19523, 19626, 19729, 19858, 19909, 20220, 20401, 20582, 20945, 20996, 21099, 21566, 21643, 21746, 22187, 22446, 22627, 22938, 22989, 23274, 23325, 23610, 23765, 23816, 23893, 23970, 24099, 24254, 24617, 24720, 24771, 25056, 25263, 25418, 25599, 25650, 25727, 25908, 26531, 26686, 26763, 26866, 27073, 27618, 27929, 28006, 28785, 29018, 29069, 29172, 29509, 29560, 29689, 29766, 30103, 30154, 30439, 30724, 30957, 31528, 31839, 32124, 32331, 32382, 32641, 33186, 33237, 33288, 33651, 34560, 34663, 34844, 35051, 35362, 35413, 35516, 35567, 35878, 35929, 35980, 36265, 36394, 36575, 36964, 37171, 37508, 38053, 38130, 38181, 38232, 38465, 38516, 38723, 38800, 38929, 38980, 39395, 39498, 39549, 39860, 40067, 40118, 40429, 40558, 40817, 40868, 41153, 41386, 41593, 41878, 42371, 42422, 42655, 42836, 42913, 43302, 43353, 43456, 43923, 44000, 44129, 44310, 44465, 44516, 44567, 44878, 45189, 46072, 46175, 46226, 46381, 46458, 46587, 46664, 46793, 46974, 47181, 47388, 47465, 47568, 48139, 48450, 48813, 49098, 49175, 49720, 49849, 50264, 50445, 50990, 51041, 51092, 51195, 51246, 51401, 51660, 51893, 52048, 52359, 52748]"
1733282354,50,0.5,0.7,0.0045381681349664395,0.004643053126410744,0.49495714042424355,0.49412454822411866,0.6537930251480689,0.6566314076484947,0.4817658322388296,0.48086306910113863,0.6478410202342862,0.6506117025485572,25.591111111111115,1535.4666666666667,48.0,0.19999999999999996,"[6289, 10526, 10681, 12292, 12629, 14370, 17879, 19464, 19619, 24376, 27703, 27988, 28091, 28142, 28791, 29726, 31831, 32636, 33181, 33258, 34661, 36740, 39547, 41158, 42431, 44276, 44561, 44664, 44741, 46794, 47495, 50016, 50379, 50690, 52353]"
1733282398,50,0.5,0.8,0.04729691373209455,0.029140727004371092,0.49495714042424355,0.49412454822411866,0.5895509678884326,0.5524060022328608,0.4817658322388296,0.48086306910113863,0.5758924590299793,0.5451781288416863,nan,nan,27.5,0.6,"[14375, 39542]"
1733282445,50,1.0,0.6,0.0015352257549472658,0.0015862809370303954,0.49495714042424355,0.49412454822411866,0.6576910704486537,0.6622703275493406,0.4817658322388296,0.48086306910113863,0.6533890696407868,0.6577955438720414,4.71378640776699,485.52,103.0,0.0,"[3823, 3874, 4180, 4231, 5710, 6424, 6883, 7138, 7954, 8821, 9943, 10657, 11728, 11983, 12595, 12646, 12952, 13513, 14074, 14125, 14176, 14380, 14431, 15043, 15196, 15298, 15451, 17542, 17899, 17950, 19327, 19480, 19888, 20704, 20806, 21571, 23815, 23866, 23917, 24070, 24121, 25039, 25090, 25753, 26263, 26314, 27691, 27895, 27997, 28048, 28762, 29119, 29170, 29680, 29731, 30904, 31006, 31363, 31414, 31516, 31669, 32026, 32638, 32689, 33199, 33301, 33556, 34270, 34525, 34627, 34780, 35851, 36208, 36259, 36310, 37381, 37585, 38146, 38197, 38707, 38860, 38911, 39523, 39574, 40645, 41359, 41410, 42073, 43450, 43960, 44725, 44827, 46765, 46816, 48703, 48754, 49060, 49111, 50590, 50641, 50692, 51100, 51763, 52069, 52324, 52375]"
1733282487,50,1.0,0.7,0.01456864327036712,0.014929891952239482,0.49495714042424355,0.49412454822411866,0.6552122163982819,0.658353359698753,0.4817658322388296,0.48086306910113863,0.6455892191198148,0.6485362775395105,1.5123066963964613,6570.5,3475.75,0.19999999999999996,"[12646, 14431, 17899, 19480, 33199, 33301, 38197, 39574, 46816, 50692, 52069]"
1733282530,50,1.0,0.8,0.04700361420705057,0.027730997029159654,0.49495714042424355,0.49412454822411866,0.5889643688383447,0.549586542282438,0.4817658322388296,0.48086306910113863,0.5790938515494969,0.5426154227190312,nan,nan,61.0,0.8,"[12646, 33301]"
1733282575,125,0.1,0.6,0.0005500639727748173,0.0006018826481672055,0.49495714042424355,0.49412454822411866,0.637973773345696,0.6506140367475921,0.4817658322388296,0.48086306910113863,0.6371107088787088,0.6494670670671087,2.672870436649964,205.81102362204723,77.0,0.0,"[151, 361, 697, 1103, 1341, 1537, 1789, 2181, 2489, 2671, 2839, 3119, 3413, 3553, 3693, 3945, 4267, 4407, 4589, 4743, 4953, 5303, 5625, 5849, 6003, 6143, 6283, 6437, 6605, 6899, 7053, 7193, 7459, 7739, 7991, 8131, 8355, 8509, 8775, 8943, 9153, 9293, 9461, 9657, 9839, 9965, 10091, 10217, 10427, 10735, 10931, 11169, 11295, 11449, 11589, 11729, 11855, 12051, 12177, 12387, 12527, 12751, 12933, 13101, 13311, 13479, 13661, 13815, 13969, 14221, 14361, 14655, 15005, 15187, 15355, 15523, 15649, 15775, 15901, 16097, 16405, 16545, 16769, 16923, 17063, 17245, 17385, 17609, 17819, 17987, 18169, 18337, 18519, 18729, 19457, 19639, 19905, 20045, 20185, 20395, 20549, 20675, 20927, 21095, 21263, 21459, 21613, 21753, 22187, 22453, 22719, 22845, 22985, 23153, 23321, 23545, 23923, 24147, 24273, 24399, 24567, 24707, 24931, 25057, 25211, 25589, 25715, 25939, 26093, 26247, 26611, 26765, 26989, 27115, 27409, 27535, 27675, 27885, 28025, 28347, 28501, 28655, 28865, 29019, 29607, 29761, 29901, 30111, 30293, 30461, 30601, 30839, 30993, 31245, 31413, 31637, 31777, 31973, 32267, 32477, 32659, 32799, 32953, 33177, 33303, 33457, 33737, 33919, 34073, 34353, 34549, 34829, 34983, 35277, 35487, 35655, 35809, 36075, 36369, 36565, 36845, 36971, 37181, 37517, 37685, 38035, 38161, 38329, 38511, 38679, 38833, 38959, 39085, 39225, 39379, 39533, 39673, 39827, 40037, 40247, 40555, 40737, 40863, 41031, 41283, 41409, 41577, 41773, 42179, 42319, 42641, 42809, 43005, 43145, 43327, 43453, 43817, 43957, 44097, 44265, 44419, 44559, 44727, 44867, 45007, 45161, 45301, 45623, 45777, 45987, 46113, 46267, 46505, 46645, 46785, 46981, 47177, 47331, 47457, 47765, 47905, 48115, 48269, 48549, 48689, 48815, 49039, 49585, 49739, 50201, 50341, 50551, 50691, 51237, 51377, 51531, 51713, 52021, 52231, 52427]"
