seed,confidence,feature_proportion,n_clusters,n_samples,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734275436,0.1,0.1,2,100,0.0002888980094650245,0.00031381892401951563,0.6654367221059588,0.6656570106839961,0.7171494658001982,0.7218305980834894,0.6419238618598095,0.6422675803806399,0.6375356605304063,0.6773037679370408,"[199, 320, 420, 520, 620, 720, 820, 920, 1020, 1120, 1220, 1320, 1420, 1520, 1620, 1720, 1820, 1920, 2020, 2120, 2220, 2320, 2420, 2520, 2620, 2720, 2820, 2920, 3020, 3120, 3231, 3331, 3431, 3531, 3631, 3731, 3831, 3931, 4031, 4131, 4231, 4331, 4431, 4531, 4631, 4731, 4831, 4931, 5031, 5131, 5231, 5331, 5431, 5531, 5631, 5731, 5831, 5931, 6031, 6131, 6231, 6344, 6444, 6544, 6644, 6744, 6844, 6944, 7050, 7150, 7250, 7350, 7450, 7550, 7650, 7750, 7850, 7950, 8050, 8154, 8254, 8354, 8454, 8554, 8654, 8754, 8854, 8954, 9063, 9163, 9263, 9363, 9463, 9563, 9663, 9763, 9863, 9963, 10063, 10163, 10263, 10363, 10463, 10563, 10663, 10763, 10863, 10963, 11063, 11163, 11263, 11363, 11463, 11563, 11663, 11763, 11863, 11963, 12063, 12163, 12263, 12363, 12463, 12563, 12663, 12763, 12863, 12963, 13063, 13163, 13263, 13363, 13463, 13563, 13663, 13763, 13863, 13963, 14063, 14163, 14263, 14363, 14463, 14563, 14675, 14775, 14875, 14975, 15075, 15175, 15275, 15375, 15475, 15598, 15698, 15798, 15898, 15998, 16098, 16198, 16298, 16398, 16498, 16598, 16698, 16798, 16898, 16998, 17098, 17198, 17298, 17398, 17498, 17598, 17698, 17798, 17898, 17998, 18098]"
1734275442,0.1,0.1,2,250,0.0006980976064560067,0.0006856869823412325,0.6654367221059588,0.6656570106839961,0.7150016521643353,0.7143407864302236,0.6419238618598095,0.6422675803806399,0.6397950794056666,0.6817217118315251,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499, 2749, 3010, 3260, 3510, 3760, 4010, 4260, 4510, 4760, 5010, 5260, 5510, 5760, 6010, 6260, 6510, 6760, 7010, 7260, 7510, 7760, 8010, 8260, 8510, 8760, 9024, 9274, 9524, 9792, 10042, 10292, 10542, 10792, 11067, 11317, 11567, 11817, 12067, 12335, 12585, 12835, 13085, 13335, 13585, 13835, 14085, 14335, 14585, 14835, 15085, 15335, 15585, 15835, 16100, 16350, 16600, 16850, 17100, 17350, 17600, 17850, 18100]"
1734275446,0.1,0.1,2,500,0.0013379291577849312,0.0010739068179314876,0.6654367221059588,0.6656570106839961,0.7109263134706465,0.7021698424936667,0.6419238618598095,0.6422675803806399,0.6502127343459567,0.6769010230355407,"[999, 1499, 1999, 2499, 2999, 3499, 4020, 4582, 5082, 5582, 6082, 6582, 7136, 7636, 8268, 8768, 9268, 9768, 10268, 10768, 11333, 11833, 12333, 12833, 13333, 13833, 14333, 14833, 15333, 15833, 16333, 16833, 17333, 17833]"
1734275451,0.1,0.1,2,1000,0.0017979435413332638,0.001668362024840775,0.6654367221059588,0.6656570106839961,0.6960017623086243,0.6940191651062892,0.6419238618598095,0.6422675803806399,0.6305660477500509,0.6733847731561466,"[1999, 2999, 3999, 4999, 5999, 6999, 7999, 8999, 9999, 10999, 11999, 12999, 13999, 14999, 15999, 16999, 17999]"
1734275454,0.1,0.1,3,100,0.0002651507182273944,0.00029701830746592633,0.6654367221059588,0.6656570106839961,0.712633549950435,0.718526269412931,0.6419238618598095,0.6422675803806399,0.6244209347776165,0.6727849283774767,"[199, 327, 427, 527, 627, 727, 827, 927, 1027, 1127, 1227, 1327, 1427, 1527, 1627, 1727, 1827, 1927, 2027, 2127, 2227, 2327, 2427, 2527, 2627, 2727, 2827, 2927, 3027, 3127, 3227, 3327, 3427, 3527, 3627, 3727, 3827, 3927, 4027, 4129, 4229, 4339, 4439, 4539, 4639, 4739, 4842, 4942, 5042, 5142, 5242, 5342, 5442, 5542, 5642, 5742, 5842, 5959, 6059, 6159, 6259, 6359, 6459, 6559, 6735, 6835, 6935, 7036, 7136, 7240, 7340, 7440, 7540, 7640, 7740, 7840, 7940, 8040, 8140, 8240, 8358, 8458, 8558, 8658, 8758, 8858, 8958, 9058, 9158, 9258, 9358, 9458, 9558, 9658, 9758, 9858, 9958, 10058, 10158, 10258, 10358, 10458, 10558, 10658, 10758, 10858, 10958, 11058, 11158, 11258, 11358, 11458, 11558, 11658, 11758, 11858, 11958, 12058, 12158, 12258, 12366, 12466, 12566, 12666, 12766, 12866, 12966, 13066, 13166, 13266, 13366, 13466, 13566, 13666, 13766, 13866, 13966, 14066, 14166, 14266, 14366, 14476, 14576, 14676, 14776, 14876, 14976, 15076, 15176, 15276, 15376, 15476, 15608, 15708, 15808, 15908, 16008, 16108, 16208, 16314, 16414, 16514, 16614, 16714, 16835, 16935, 17035, 17135, 17235, 17335, 17435, 17535, 17635, 17735, 17835, 17935, 18035, 18135]"
1734275460,0.1,0.1,3,250,0.0007019759264918733,0.0006864626463484056,0.6654367221059588,0.6656570106839961,0.7152770128868818,0.7143958585747329,0.6419238618598095,0.6422675803806399,0.6423370294244858,0.6793110938540556,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499, 2749, 3012, 3262, 3512, 3762, 4012, 4262, 4512, 4762, 5012, 5262, 5512, 5762, 6012, 6262, 6514, 6764, 7014, 7264, 7514, 7764, 8014, 8264, 8514, 8764, 9014, 9264, 9514, 9764, 10014, 10264, 10514, 10764, 11014, 11264, 11514, 11792, 12042, 12292, 12542, 12792, 13042, 13292, 13556, 13806, 14056, 14306, 14556, 14845, 15095, 15345, 15595, 15845, 16095, 16370, 16620, 16870, 17120, 17370, 17620, 17870, 18120]"
1734275465,0.1,0.1,3,500,0.001293408651047158,0.0011156042987742515,0.6654367221059588,0.6656570106839961,0.7107060248926094,0.7047031611410949,0.6419238618598095,0.6422675803806399,0.6416509004453416,0.6788275193082451,"[999, 1499, 2066, 2566, 3066, 3566, 4066, 4606, 5106, 5606, 6106, 6606, 7158, 7658, 8158, 8658, 9158, 9658, 10158, 10658, 11158, 11658, 12158, 12658, 13158, 13658, 14158, 14658, 15158, 15658, 16158, 16658, 17158, 17658, 18158]"
1734275470,0.1,0.1,3,1000,0.002568953564463562,0.002063585650142863,0.6654367221059588,0.6656570106839961,0.7091089327018394,0.7007379667364247,0.6419238618598095,0.6422675803806399,0.642705235055081,0.6785156880046299,"[1999, 2999, 3999, 5107, 6122, 7122, 8122, 9122, 10122, 11122, 12122, 13155, 14155, 15155, 16155, 17155, 18155]"
1734275473,0.1,0.01,2,100,0.00028705201579432173,0.000314434255243083,0.6654367221059588,0.6656570106839961,0.7168190329331424,0.7219407423725079,0.6419238618598095,0.6422675803806399,0.6318855314752013,0.6766923460347437,"[199, 320, 420, 520, 620, 720, 820, 920, 1020, 1120, 1220, 1320, 1420, 1520, 1620, 1720, 1820, 1920, 2020, 2120, 2220, 2320, 2420, 2520, 2620, 2720, 2820, 2920, 3020, 3120, 3230, 3330, 3430, 3530, 3630, 3730, 3830, 3930, 4030, 4130, 4230, 4342, 4442, 4542, 4642, 4742, 4842, 4942, 5042, 5142, 5242, 5342, 5442, 5542, 5642, 5742, 5842, 5942, 6042, 6165, 6265, 6365, 6465, 6565, 6665, 6765, 6883, 6983, 7083, 7183, 7283, 7383, 7483, 7583, 7683, 7783, 7883, 7983, 8083, 8183, 8283, 8383, 8483, 8583, 8683, 8783, 8883, 8983, 9083, 9183, 9283, 9383, 9483, 9583, 9683, 9783, 9883, 9986, 10086, 10186, 10286, 10386, 10486, 10586, 10686, 10786, 10918, 11018, 11118, 11218, 11318, 11418, 11518, 11618, 11718, 11818, 11918, 12018, 12118, 12218, 12318, 12418, 12518, 12618, 12718, 12818, 12918, 13023, 13123, 13223, 13323, 13423, 13523, 13623, 13723, 13823, 13923, 14023, 14123, 14223, 14323, 14423, 14523, 14623, 14723, 14823, 14923, 15023, 15123, 15223, 15323, 15423, 15523, 15623, 15723, 15823, 15923, 16023, 16123, 16223, 16323, 16423, 16523, 16623, 16723, 16823, 16923, 17023, 17123, 17223, 17323, 17423, 17523, 17623, 17723, 17823, 17923, 18023, 18123]"
1734275479,0.1,0.01,2,250,0.0006980976064560067,0.0006856869823412325,0.6654367221059588,0.6656570106839961,0.7150016521643353,0.7143407864302236,0.6419238618598095,0.6422675803806399,0.6397950794056666,0.6817217118315251,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499, 2749, 3010, 3260, 3510, 3760, 4010, 4260, 4510, 4760, 5010, 5260, 5510, 5760, 6010, 6260, 6510, 6760, 7010, 7260, 7510, 7760, 8010, 8260, 8510, 8760, 9024, 9274, 9524, 9792, 10042, 10292, 10542, 10792, 11067, 11317, 11567, 11817, 12067, 12335, 12585, 12835, 13085, 13335, 13585, 13835, 14085, 14335, 14585, 14835, 15085, 15335, 15585, 15835, 16100, 16350, 16600, 16850, 17100, 17350, 17600, 17850, 18100]"
