const,max_depth,n_samples,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
1.0,2,500,0.55,0.6648248717997237,,1,InsectsAbruptBalanced
1.0,2,500,0.5,0.6648248717997237,,1,InsectsAbruptBalanced
0.5,2,500,0.55,0.6646356462996953,,1,InsectsAbruptBalanced
0.5,2,500,0.45,0.6645978011996897,,1,InsectsAbruptBalanced
0.5,2,500,0.5,0.6644842658996727,,1,InsectsAbruptBalanced
1.0,2,500,0.45,0.6638030540995704,,1,InsectsAbruptBalanced
1.0,3,500,0.5,0.6631407648494712,,1,InsectsAbruptBalanced
1.0,3,500,0.55,0.6630461520994569,,1,InsectsAbruptBalanced
0.5,3,250,0.45,0.6626487785493973,,1,InsectsAbruptBalanced
0.5,3,250,0.55,0.6626298559993945,,1,InsectsAbruptBalanced
0.5,3,250,0.5,0.662573088349386,,1,InsectsAbruptBalanced
1.0,3,250,0.5,0.6624027853993604,,1,InsectsAbruptBalanced
1.0,3,250,0.45,0.6622324824493349,,1,InsectsAbruptBalanced
1.0,3,250,0.55,0.6622135598993321,,1,InsectsAbruptBalanced
1.0,3,100,0.45,0.6619297216492894,,1,InsectsAbruptBalanced
1.0,3,500,0.45,0.6616080382992412,,1,InsectsAbruptBalanced
1.0,2,250,0.45,0.66139989024921,,1,InsectsAbruptBalanced
0.5,2,1000,0.55,0.6613620451492043,,1,InsectsAbruptBalanced
0.5,2,1000,0.5,0.6610214392491532,,1,InsectsAbruptBalanced
1.0,2,1000,0.55,0.6608511362991276,,1,InsectsAbruptBalanced
1.0,2,1000,0.5,0.6607943686491191,,1,InsectsAbruptBalanced
0.5,3,500,0.55,0.6606429882490964,,1,InsectsAbruptBalanced
1.0,2,250,0.5,0.6606051431490908,,1,InsectsAbruptBalanced
0.5,3,500,0.5,0.6605483754990823,,1,InsectsAbruptBalanced
0.5,3,100,0.45,0.6605483754990823,,1,InsectsAbruptBalanced
1.0,2,1000,0.45,0.6605105303990766,,1,InsectsAbruptBalanced
0.5,2,1000,0.45,0.6604726852990709,,1,InsectsAbruptBalanced
1.0,2,250,0.55,0.6604348401990652,,1,InsectsAbruptBalanced
1.0,3,1000,0.5,0.6603780725490567,,1,InsectsAbruptBalanced
0.5,3,500,0.45,0.6602645372490397,,1,InsectsAbruptBalanced
1.0,3,1000,0.45,0.6601888470490284,,1,InsectsAbruptBalanced
1.0,3,1000,0.55,0.6601699244990255,,1,InsectsAbruptBalanced
0.5,3,1000,0.5,0.6601320793990199,,1,InsectsAbruptBalanced
0.5,3,1000,0.55,0.6599806989989971,,1,InsectsAbruptBalanced
0.5,3,1000,0.45,0.6599806989989971,,1,InsectsAbruptBalanced
1.0,3,100,0.5,0.6599617764489942,,1,InsectsAbruptBalanced
0.5,3,100,0.55,0.6596211705489432,,1,InsectsAbruptBalanced
0.5,3,100,0.5,0.6593373322989006,,1,InsectsAbruptBalanced
1.0,3,100,0.55,0.6592427195488864,,1,InsectsAbruptBalanced
0.5,2,250,0.5,0.657880295948682,,1,InsectsAbruptBalanced
0.5,2,250,0.45,0.6574261547486139,,1,InsectsAbruptBalanced
0.5,2,250,0.55,0.6572558517985884,,1,InsectsAbruptBalanced
1.0,2,100,0.45,0.6521278407478192,,1,InsectsAbruptBalanced
0.5,2,100,0.45,0.6505572690975836,,1,InsectsAbruptBalanced
1.0,2,100,0.5,0.6487217817473082,,1,InsectsAbruptBalanced
1.0,2,100,0.55,0.6469809071470471,,1,InsectsAbruptBalanced
0.5,2,100,0.5,0.6468862943970329,,1,InsectsAbruptBalanced
0.5,2,100,0.55,0.6466213786969932,,1,InsectsAbruptBalanced
0.5,2,100,0.5,0.6966334009689842,,1,InsectsGradualBalanced
1.0,2,100,0.45,0.6956395709967287,,1,InsectsGradualBalanced
0.5,2,100,0.45,0.6952668847571328,,1,InsectsGradualBalanced
0.5,3,100,0.5,0.6946043314422957,,1,InsectsGradualBalanced
1.0,2,100,0.5,0.6943144643670546,,1,InsectsGradualBalanced
0.5,3,100,0.45,0.6940660068739907,,1,InsectsGradualBalanced
0.5,2,100,0.55,0.693320634394799,,1,InsectsGradualBalanced
0.5,3,100,0.55,0.6921611660938342,,1,InsectsGradualBalanced
1.0,2,100,0.55,0.6919955277651249,,1,InsectsGradualBalanced
1.0,3,100,0.5,0.6919541181829475,,1,InsectsGradualBalanced
1.0,3,100,0.55,0.69083605946416,,1,InsectsGradualBalanced
1.0,3,100,0.45,0.6874818833077975,,1,InsectsGradualBalanced
0.5,2,250,0.45,0.6835893825831297,,1,InsectsGradualBalanced
0.5,2,250,0.5,0.6828854196861154,,1,InsectsGradualBalanced
0.5,2,250,0.55,0.6827197813574061,,1,InsectsGradualBalanced
1.0,2,250,0.5,0.6804836639198311,,1,InsectsGradualBalanced
1.0,2,250,0.55,0.6800695680980579,,1,InsectsGradualBalanced
0.5,3,250,0.5,0.6777920410783055,,1,InsectsGradualBalanced
0.5,3,250,0.55,0.6777920410783055,,1,InsectsGradualBalanced
1.0,3,250,0.45,0.6776678123317735,,1,InsectsGradualBalanced
0.5,3,250,0.45,0.6775435835852416,,1,InsectsGradualBalanced
1.0,3,250,0.55,0.6772537165100004,,1,InsectsGradualBalanced
1.0,3,250,0.5,0.6772537165100004,,1,InsectsGradualBalanced
1.0,2,250,0.45,0.6769638494347592,,1,InsectsGradualBalanced
0.5,3,500,0.5,0.67340262536751,,1,InsectsGradualBalanced
0.5,3,500,0.45,0.6732369870388007,,1,InsectsGradualBalanced
0.5,3,500,0.55,0.6729057103813822,,1,InsectsGradualBalanced
0.5,2,500,0.45,0.6718704708269494,,1,InsectsGradualBalanced
0.5,2,500,0.55,0.6718704708269494,,1,InsectsGradualBalanced
0.5,2,500,0.5,0.6718704708269494,,1,InsectsGradualBalanced
1.0,3,500,0.5,0.6715806037517081,,1,InsectsGradualBalanced
1.0,3,500,0.55,0.6715806037517081,,1,InsectsGradualBalanced
1.0,3,500,0.45,0.6714149654229988,,1,InsectsGradualBalanced
1.0,2,500,0.5,0.6714149654229988,,1,InsectsGradualBalanced
1.0,2,500,0.55,0.6714149654229988,,1,InsectsGradualBalanced
1.0,2,500,0.45,0.6712907366764669,,1,InsectsGradualBalanced
0.5,2,1000,0.55,0.6625533148370533,,1,InsectsGradualBalanced
0.5,2,1000,0.5,0.6624704956726987,,1,InsectsGradualBalanced
0.5,2,1000,0.45,0.6615594848647978,,1,InsectsGradualBalanced
0.5,3,1000,0.55,0.6605656548925422,,1,InsectsGradualBalanced
0.5,3,1000,0.5,0.6605656548925422,,1,InsectsGradualBalanced
0.5,3,1000,0.45,0.6605656548925422,,1,InsectsGradualBalanced
1.0,2,1000,0.45,0.6603171973994783,,1,InsectsGradualBalanced
1.0,2,1000,0.55,0.6601929686529463,,1,InsectsGradualBalanced
1.0,2,1000,0.5,0.6601929686529463,,1,InsectsGradualBalanced
1.0,3,1000,0.45,0.6582053087084351,,1,InsectsGradualBalanced
1.0,3,1000,0.5,0.6582053087084351,,1,InsectsGradualBalanced
1.0,3,1000,0.55,0.6579982607975485,,1,InsectsGradualBalanced
0.5,2,250,0.45,0.6806026129899356,,1,InsectsIncrementalAbruptBalanced
1.0,3,250,0.55,0.680590110645746,,1,InsectsIncrementalAbruptBalanced
0.5,2,250,0.5,0.6797149465524785,,1,InsectsIncrementalAbruptBalanced
0.5,2,250,0.55,0.6797149465524785,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.5,0.6792523598174658,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.45,0.6791023316871914,,1,InsectsIncrementalAbruptBalanced
1.0,3,250,0.5,0.6790773269988123,,1,InsectsIncrementalAbruptBalanced
1.0,3,100,0.55,0.6789648059011064,,1,InsectsIncrementalAbruptBalanced
0.5,3,100,0.5,0.6786647496405576,,1,InsectsIncrementalAbruptBalanced
1.0,2,250,0.45,0.6783896980683878,,1,InsectsIncrementalAbruptBalanced
1.0,2,250,0.55,0.6783396886916296,,1,InsectsIncrementalAbruptBalanced
