const,max_depth,n_samples,threshold,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
1.0,2,500,0.55,1,35,26,5,36,26.0,,,16,30.0,6.0,23,20.4,0.425
1.0,2,500,0.5,2,34,27,4,34,25.0,,,13,28.0,2.0,25,19.4,0.4041666666666666
0.5,2,500,0.55,3,29,37,9,30,27.0,,,7,,4.0,21,18.555555555555557,0.3865740740740741
0.5,2,500,0.45,4,28,36,1,28,30.0,,,4,,5.0,18,17.11111111111111,0.35648148148148145
0.5,2,500,0.5,5,30,40,2,29,28.0,,,5,,3.0,19,17.88888888888889,0.3726851851851852
1.0,2,500,0.45,6,36,25,3,35,29.0,,,8,29.0,1.0,22,19.4,0.4041666666666666
1.0,3,500,0.5,7,31,39,35,26,21.0,2.0,,22,26.0,12.0,17,21.636363636363637,0.45075757575757575
1.0,3,500,0.55,8,32,38,36,25,19.0,3.0,,23,27.0,10.0,20,21.90909090909091,0.456439393939394
0.5,3,250,0.45,9,21,18,20,16,6.0,,,19,20.0,,27,17.333333333333332,0.3611111111111111
0.5,3,250,0.55,10,19,13,17,20,1.0,,,29,19.0,,30,17.555555555555557,0.36574074074074076
0.5,3,250,0.5,11,18,14,22,15,5.0,,,26,17.0,,28,17.333333333333332,0.3611111111111111
1.0,3,250,0.5,12,23,7,33,17,3.0,,8.0,17,13.0,,33,16.6,0.3458333333333334
1.0,3,250,0.45,13,20,17,32,18,4.0,,7.0,10,16.0,,32,16.9,0.3520833333333333
1.0,3,250,0.55,14,22,2,25,13,2.0,,9.0,6,14.0,,31,13.8,0.28750000000000003
1.0,3,100,0.45,15,12,6,39,1,,,6.0,37,10.0,,41,18.555555555555557,0.3865740740740741
1.0,3,500,0.45,16,33,41,34,27,20.0,1.0,,20,25.0,11.0,16,22.181818181818183,0.46212121212121215
1.0,2,250,0.45,17,24,10,10,10,7.0,,,18,22.0,,34,16.88888888888889,0.35185185185185186
0.5,2,1000,0.55,18,37,30,24,45,16.0,6.0,,34,,15.0,9,23.4,0.4875
0.5,2,1000,0.5,19,38,32,21,42,14.0,5.0,,36,,14.0,10,23.1,0.48125
1.0,2,1000,0.55,20,44,28,19,38,23.0,12.0,,28,,18.0,8,23.8,0.49583333333333335
1.0,2,1000,0.5,21,45,29,18,39,17.0,11.0,,21,,21.0,11,23.3,0.48541666666666666
0.5,3,500,0.55,22,27,33,8,32,22.0,,,3,,9.0,15,19.0,0.3958333333333333
1.0,2,250,0.5,23,16,16,12,7,10.0,,,12,24.0,,35,17.22222222222222,0.3587962962962963
0.5,3,500,0.5,24,25,34,6,31,24.0,,,2,,7.0,14,18.555555555555557,0.3865740740740741
0.5,3,100,0.45,25,6,15,37,3,,,3.0,40,4.0,,42,19.444444444444443,0.40509259259259256
1.0,2,1000,0.45,26,43,35,14,37,15.0,10.0,,24,,23.0,12,23.9,0.4979166666666666
0.5,2,1000,0.45,27,39,31,23,41,13.0,4.0,,35,,13.0,4,23.0,0.4791666666666667
1.0,2,250,0.55,28,17,11,16,8,9.0,,,14,18.0,,36,17.444444444444443,0.3634259259259259
1.0,3,1000,0.5,29,47,46,28,43,31.0,14.0,,27,,24.0,6,29.5,0.6145833333333334
0.5,3,500,0.45,30,26,42,7,33,18.0,,,1,,8.0,13,19.77777777777778,0.41203703703703703
1.0,3,1000,0.45,31,46,48,29,40,32.0,13.0,,31,,22.0,7,29.9,0.6229166666666667
1.0,3,1000,0.55,32,48,47,30,44,33.0,15.0,,25,,19.0,5,29.8,0.6208333333333333
0.5,3,1000,0.5,33,41,45,27,48,34.0,8.0,,32,,16.0,2,28.6,0.5958333333333333
0.5,3,1000,0.55,34,40,43,26,46,36.0,9.0,,33,,17.0,3,28.7,0.5979166666666667
0.5,3,1000,0.45,35,42,44,31,47,35.0,7.0,,30,,20.0,1,29.2,0.6083333333333333
1.0,3,100,0.5,36,10,5,41,2,,,5.0,38,12.0,,45,21.555555555555557,0.4490740740740741
0.5,3,100,0.55,37,8,12,40,4,,,2.0,42,1.0,,47,21.444444444444443,0.44675925925925924
0.5,3,100,0.5,38,4,9,38,5,,,1.0,41,3.0,,40,19.88888888888889,0.41435185185185186
1.0,3,100,0.55,39,11,8,42,6,,,4.0,39,11.0,,46,22.88888888888889,0.47685185185185186
0.5,2,250,0.5,40,14,3,13,14,11.0,,,9,23.0,,26,17.0,0.3541666666666667
0.5,2,250,0.45,41,13,1,11,22,12.0,,,15,21.0,,24,17.77777777777778,0.3703703703703704
0.5,2,250,0.55,42,15,4,15,12,8.0,,,11,15.0,,29,16.77777777777778,0.34953703703703703
1.0,2,100,0.45,43,2,19,44,11,,,,48,5.0,,39,26.375,0.5494791666666666
0.5,2,100,0.45,44,3,23,43,21,,,,44,2.0,,37,27.125,0.5651041666666666
1.0,2,100,0.5,45,5,21,45,9,,,,46,9.0,,48,28.5,0.59375
1.0,2,100,0.55,46,9,20,47,19,,,,45,8.0,,44,29.75,0.6197916666666666
0.5,2,100,0.5,47,1,22,46,23,,,,47,6.0,,38,28.75,0.5989583333333334
0.5,2,100,0.55,48,7,24,48,24,,,,43,7.0,,43,30.5,0.6354166666666666
