const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
0.5,2,1000,0.55,0.016640490472496,,1,InsectsAbruptBalanced
0.5,2,1000,0.5,0.0166064298824909,,1,InsectsAbruptBalanced
1.0,2,1000,0.55,0.0165893995874884,,1,InsectsAbruptBalanced
1.0,2,1000,0.5,0.0165837228224875,,1,InsectsAbruptBalanced
1.0,2,1000,0.45,0.0165553389974833,,1,InsectsAbruptBalanced
0.5,2,1000,0.45,0.0165515544874827,,1,InsectsAbruptBalanced
1.0,3,1000,0.5,0.0165420932124813,,1,InsectsAbruptBalanced
1.0,3,1000,0.45,0.0165231706624784,,1,InsectsAbruptBalanced
1.0,3,1000,0.55,0.0165212784074781,,1,InsectsAbruptBalanced
0.5,3,1000,0.5,0.0165174938974776,,1,InsectsAbruptBalanced
0.5,3,1000,0.55,0.0165023558574753,,1,InsectsAbruptBalanced
0.5,3,1000,0.45,0.0165023558574753,,1,InsectsAbruptBalanced
1.0,3,500,0.5,0.0152894204022934,,1,InsectsAbruptBalanced
1.0,3,500,0.55,0.0152808192432012,,1,InsectsAbruptBalanced
1.0,3,500,0.45,0.0151500816249997,,1,InsectsAbruptBalanced
0.5,3,500,0.55,0.0150623498022593,,1,InsectsAbruptBalanced
0.5,3,500,0.5,0.0150537486431671,,1,InsectsAbruptBalanced
0.5,3,500,0.45,0.0150279451658905,,1,InsectsAbruptBalanced
0.5,2,500,0.55,0.0130521927596501,,1,InsectsAbruptBalanced
0.5,2,500,0.45,0.0130492815981112,,1,InsectsAbruptBalanced
0.5,2,500,0.5,0.0130405481134945,,1,InsectsAbruptBalanced
1.0,2,500,0.45,0.0129881472057943,,1,InsectsAbruptBalanced
1.0,2,500,0.55,0.0121334093839628,,1,InsectsAbruptBalanced
1.0,2,500,0.5,0.0121334093839628,,1,InsectsAbruptBalanced
0.5,3,250,0.45,0.0119779741517966,,1,InsectsAbruptBalanced
0.5,3,250,0.5,0.0119725677089387,,1,InsectsAbruptBalanced
1.0,3,250,0.5,0.0119604032125083,,1,InsectsAbruptBalanced
1.0,3,250,0.45,0.0119482387160779,,1,InsectsAbruptBalanced
1.0,3,250,0.55,0.0119468871053634,,1,InsectsAbruptBalanced
0.5,3,250,0.55,0.0111781810383433,,1,InsectsAbruptBalanced
1.0,2,250,0.45,0.0064016442240371,,1,InsectsAbruptBalanced
1.0,2,250,0.5,0.0061351112120313,,1,InsectsAbruptBalanced
0.5,2,250,0.45,0.0058024647972989,,1,InsectsAbruptBalanced
