const,max_depth,n_samples,threshold,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
0.5,2,1000,0.55,1,1,3,23,9,5.0,3.0,,22,,12.0,9,8.8,0.18333333333333335
0.5,2,1000,0.5,2,2,5,21,6,2.0,2.0,,24,,11.0,10,8.5,0.17708333333333334
1.0,2,1000,0.55,3,8,1,20,2,6.0,9.0,,9,,3.0,8,6.9,0.14375000000000002
1.0,2,1000,0.5,4,9,2,19,3,3.0,8.0,,4,,6.0,11,6.9,0.14375000000000002
1.0,2,1000,0.45,5,7,6,18,1,4.0,7.0,,5,,8.0,12,7.3,0.15208333333333332
0.5,2,1000,0.45,6,3,4,22,5,1.0,1.0,,23,,10.0,4,7.9,0.16458333333333333
1.0,3,1000,0.5,7,10,10,6,7,8.0,11.0,,2,,9.0,6,7.6,0.15833333333333333
1.0,3,1000,0.45,8,11,12,7,4,9.0,10.0,,3,,7.0,7,7.8,0.1625
1.0,3,1000,0.55,9,12,11,8,8,7.0,12.0,,1,,4.0,5,7.7,0.16041666666666668
0.5,3,1000,0.5,10,6,9,5,12,10.0,5.0,,13,,1.0,2,7.3,0.15208333333333332
0.5,3,1000,0.55,11,5,7,4,10,12.0,6.0,,12,,2.0,3,7.2,0.15
0.5,3,1000,0.45,12,4,8,9,11,11.0,4.0,,10,,5.0,1,7.5,0.15625
1.0,3,500,0.5,13,19,16,2,16,14.0,14.0,,19,1.0,24.0,20,14.363636363636363,0.29924242424242425
1.0,3,500,0.55,14,20,15,3,15,16.0,15.0,,20,3.0,22.0,22,15.0,0.3125
1.0,3,500,0.45,15,21,17,1,17,13.0,13.0,,17,2.0,23.0,18,14.272727272727273,0.29734848484848486
0.5,3,500,0.55,16,15,13,15,19,17.0,,,8,,21.0,15,15.444444444444445,0.32175925925925924
0.5,3,500,0.5,17,13,14,13,13,18.0,,,7,,19.0,14,14.222222222222221,0.2962962962962963
0.5,3,500,0.45,18,14,18,14,14,15.0,,,6,,20.0,13,14.666666666666666,0.3055555555555555
0.5,2,500,0.55,19,18,23,24,24,21.0,,,21,,16.0,19,20.555555555555557,0.42824074074074076
0.5,2,500,0.45,20,17,22,17,18,24.0,,,16,,17.0,16,18.555555555555557,0.3865740740740741
0.5,2,500,0.5,21,16,24,16,23,22.0,,,18,,15.0,17,19.11111111111111,0.39814814814814814
1.0,2,500,0.45,22,24,19,11,21,23.0,,,11,5.0,13.0,21,17.0,0.3541666666666667
1.0,2,500,0.55,23,22,20,12,22,20.0,,,15,6.0,18.0,24,18.2,0.37916666666666665
1.0,2,500,0.5,24,23,21,10,20,19.0,,,14,4.0,14.0,23,17.2,0.35833333333333334
0.5,3,250,0.45,25,28,26,26,25,30.0,,,34,11.0,,27,25.77777777777778,0.5370370370370371
0.5,3,250,0.5,26,26,29,28,26,29.0,,,35,10.0,,29,26.444444444444443,0.5509259259259259
1.0,3,250,0.5,27,29,27,27,27,28.0,,2.0,27,7.0,,34,23.5,0.4895833333333333
1.0,3,250,0.45,28,27,25,25,28,27.0,,1.0,25,9.0,,33,22.8,0.47500000000000003
1.0,3,250,0.55,29,30,28,30,29,26.0,,3.0,26,8.0,,35,24.4,0.5083333333333333
0.5,3,250,0.55,30,25,30,29,30,25.0,,,36,12.0,,30,27.444444444444443,0.5717592592592592
1.0,2,250,0.45,31,32,31,31,31,31.0,,,30,15.0,,31,29.22222222222222,0.6087962962962963
1.0,2,250,0.5,32,34,32,33,32,33.0,,,28,16.0,,32,30.22222222222222,0.6296296296296297
0.5,2,250,0.45,33,31,34,32,34,36.0,,,33,17.0,,25,30.555555555555557,0.6365740740740741
1.0,2,250,0.55,34,35,33,36,33,32.0,,,29,14.0,,36,31.333333333333332,0.6527777777777778
0.5,2,250,0.5,35,33,35,34,35,34.0,,,31,18.0,,26,31.22222222222222,0.6504629629629629
0.5,2,250,0.55,36,36,36,35,36,35.0,,,32,13.0,,28,31.88888888888889,0.6643518518518519
1.0,3,100,0.45,37,37,37,38,37,,,9.0,37,19.0,,42,32.55555555555556,0.6782407407407408
1.0,3,100,0.5,38,38,39,40,38,,,8.0,38,20.0,,45,33.77777777777778,0.7037037037037037
0.5,3,100,0.45,39,39,38,37,39,,,6.0,40,22.0,,40,33.333333333333336,0.6944444444444445
1.0,3,100,0.55,40,40,41,42,40,,,7.0,39,21.0,,48,35.333333333333336,0.7361111111111112
0.5,3,100,0.5,41,41,40,39,41,,,4.0,41,23.0,,43,34.77777777777778,0.7245370370370371
0.5,3,100,0.55,42,42,42,41,42,,,5.0,42,24.0,,46,36.22222222222222,0.7546296296296297
1.0,2,100,0.45,43,43,43,43,43,,,,48,25.0,,41,41.125,0.8567708333333334
0.5,2,100,0.45,44,44,45,44,45,,,,44,28.0,,37,41.375,0.8619791666666666
1.0,2,100,0.5,45,45,44,45,44,,,,46,26.0,,44,42.375,0.8828125
1.0,2,100,0.55,46,47,47,47,47,,,,45,27.0,,47,44.125,0.9192708333333334
0.5,2,100,0.5,47,46,46,46,46,,,,47,29.0,,38,43.125,0.8984375
0.5,2,100,0.55,48,48,48,48,48,,,,43,30.0,,39,44.0,0.9166666666666666
