confidence,feature_proportion,n_clusters,n_samples,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
0.1,0.1,3,100,0.8414292335194544,0.0,5,Electricity
0.1,0.01,3,100,0.8414292335194544,0.0,5,Electricity
0.01,0.01,3,100,0.8404581668910419,0.0,5,Electricity
0.01,0.1,3,100,0.8404581668910419,0.0,5,Electricity
0.01,0.01,2,500,0.8218754827746022,0.0,5,Electricity
0.01,0.1,2,500,0.8218754827746022,0.0,5,Electricity
0.01,0.01,2,1000,0.8194919555957714,0.0,5,Electricity
0.01,0.1,2,1000,0.8194919555957714,0.0,5,Electricity
0.1,0.1,2,500,0.8191829798503675,0.0,6,Electricity
0.1,0.01,2,500,0.8191829798503674,0.0,5,Electricity
0.1,0.01,2,1000,0.8185870980556598,0.0,5,Electricity
0.1,0.1,2,1000,0.8185870980556598,0.0,5,Electricity
0.01,0.1,3,1000,0.8166891041910352,0.0,5,Electricity
0.01,0.01,3,1000,0.8166891041910352,0.0,5,Electricity
0.01,0.01,3,500,0.8159740460373861,0.0001776576266028,5,Electricity
0.01,0.1,3,500,0.8158945951314249,0.0,5,Electricity
0.1,0.01,3,500,0.8156518284743219,0.0,5,Electricity
0.1,0.1,3,500,0.8156518284743219,0.0,5,Electricity
0.1,0.01,3,1000,0.8114144468230673,0.0,5,Electricity
0.1,0.1,3,1000,0.8114144468230673,0.0,5,Electricity
0.01,0.01,2,100,0.6625655193293849,0.0016674192019784,5,InsectsAbruptBalanced
0.01,0.01,2,250,0.6616988665392548,0.0009443660633291,5,InsectsAbruptBalanced
0.1,0.1,2,1000,0.6611614661191743,0.0008578616878687,5,InsectsAbruptBalanced
0.01,0.01,3,250,0.6607376009991107,0.0025620671514943,5,InsectsAbruptBalanced
0.01,0.01,2,1000,0.6602493992090374,0.0006077939556262,5,InsectsAbruptBalanced
0.01,0.1,3,500,0.6601964160690295,0.0011661266124828,5,InsectsAbruptBalanced
0.01,0.1,2,250,0.6601055878290158,0.0005685588666664,5,InsectsAbruptBalanced
0.01,0.01,2,500,0.6592124434688819,0.0002031862500508,5,InsectsAbruptBalanced
0.01,0.1,3,1000,0.659167029348875,0.0012468797479164,5,InsectsAbruptBalanced
0.01,0.01,3,500,0.6589361742388404,0.0022394020494455,5,InsectsAbruptBalanced
0.01,0.01,3,100,0.6588415614888262,0.003962555468687,5,InsectsAbruptBalanced
0.01,0.1,2,1000,0.6586031373587905,0.0014635586329437,5,InsectsAbruptBalanced
0.01,0.1,2,500,0.6579143565386871,0.0008779533027659,5,InsectsAbruptBalanced
0.1,0.01,2,1000,0.6578008212386701,0.0020282202107414,5,InsectsAbruptBalanced
