confidence,feature_proportion,n_clusters,n_samples,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
0.1,0.1,3,100,1.0,32,32,32,32,32,7.0,,3,31,5.0,2,30,19.916666666666668,0.6223958333333334
0.1,0.01,3,100,2.0,30,27,28,30,30,3.0,,4,32,7.0,1,25,18.25,0.5703125
0.01,0.01,3,100,3.0,11,16,20,8,4,16.0,1.0,7,23,8.0,4,21,10.923076923076923,0.34134615384615385
0.01,0.1,3,100,4.0,26,5,13,26,21,15.0,,8,24,13.0,3,11,14.083333333333334,0.4401041666666667
0.01,0.01,2,500,5.0,8,24,30,1,26,8.0,,22,15,16.0,18,27,16.666666666666668,0.5208333333333334
0.01,0.1,2,500,6.0,13,18,1,7,12,9.0,,21,13,,17,2,10.818181818181818,0.3380681818181818
0.01,0.01,2,1000,7.0,5,30,29,6,28,23.0,3.0,32,2,,23,32,18.333333333333332,0.5729166666666666
0.01,0.1,2,1000,8.0,12,28,11,2,16,22.0,,31,1,,24,4,14.454545454545455,0.45170454545454547
0.1,0.1,2,500,9.0,20,7,5,22,8,20.0,,19,9,,20,10,13.545454545454545,0.42329545454545453
0.1,0.01,2,500,10.0,18,11,2,10,10,19.0,,17,11,15.0,21,16,13.333333333333334,0.4166666666666667
0.1,0.01,2,1000,11.0,14,25,18,5,23,,,26,7,,26,19,17.4,0.54375
0.1,0.1,2,1000,12.0,3,21,21,16,22,,,25,6,,27,5,15.8,0.49375
0.01,0.1,3,1000,13.0,9,26,12,4,17,30.0,,30,3,,29,7,16.363636363636363,0.5113636363636364
0.01,0.01,3,1000,14.0,17,29,27,13,25,29.0,,29,4,,25,29,21.90909090909091,0.6846590909090909
0.01,0.01,3,500,15.0,10,22,26,12,20,28.0,,23,16,17.0,22,31,20.166666666666668,0.6302083333333334
0.01,0.1,3,500,16.0,6,14,3,14,11,26.0,,24,14,,19,1,13.454545454545455,0.42045454545454547
0.1,0.01,3,500,17.0,15,8,7,19,6,25.0,,18,12,,30,13,15.454545454545455,0.48295454545454547
0.1,0.1,3,500,18.0,22,9,10,23,5,21.0,,20,10,,28,12,16.181818181818183,0.5056818181818182
0.1,0.01,3,1000,19.0,19,23,16,9,14,24.0,,28,8,,32,15,18.818181818181817,0.5880681818181818
0.1,0.1,3,1000,20.0,21,20,14,18,15,27.0,,27,5,,31,9,18.818181818181817,0.5880681818181818
0.01,0.01,2,100,,1,17,19,11,13,12.0,,6,17,1.0,6,23,11.454545454545455,0.35795454545454547
0.01,0.01,2,250,,2,13,24,3,29,14.0,2.0,14,19,14.0,15,26,14.583333333333334,0.4557291666666667
0.01,0.01,3,250,,4,12,23,17,19,18.0,,16,21,11.0,12,24,16.09090909090909,0.5028409090909091
0.01,0.1,2,250,,7,2,6,15,2,13.0,,13,20,10.0,16,3,9.727272727272727,0.3039772727272727
0.01,0.1,3,250,,16,4,4,20,1,17.0,,15,22,3.0,11,8,11.0,0.34375
0.1,0.01,2,250,,23,1,8,21,7,6.0,,12,26,6.0,13,17,12.727272727272727,0.3977272727272727
0.01,0.1,2,100,,24,3,15,25,9,10.0,,5,18,9.0,5,6,11.727272727272727,0.3664772727272727
0.1,0.01,3,250,,25,6,9,24,3,11.0,,10,28,2.0,10,14,12.909090909090908,0.4034090909090909
0.1,0.1,2,250,,27,15,17,27,18,5.0,,11,25,,14,18,17.7,0.553125
0.1,0.1,3,250,,28,10,22,29,24,4.0,,9,27,,9,20,18.2,0.56875
0.1,0.01,2,100,,29,19,25,28,27,2.0,,1,30,4.0,8,22,17.727272727272727,0.5539772727272727
0.1,0.1,2,100,,31,31,31,31,31,1.0,,2,29,12.0,7,28,21.272727272727273,0.6647727272727273
