confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (ht) (std),count,stream
0.01,0.1,2,1000,0.0037317849769572,0.0,5,Electricity
0.01,0.01,2,1000,0.0037317849769572,0.0,5,Electricity
0.01,0.1,3,1000,0.0033429459120791,0.0,5,Electricity
0.01,0.01,3,1000,0.0033429459120791,0.0,5,Electricity
0.1,0.1,2,1000,0.0029105725404637,0.0,5,Electricity
0.1,0.01,2,1000,0.0029105725404637,0.0,5,Electricity
0.1,0.1,3,1000,0.0026152589878837,0.0,5,Electricity
0.1,0.01,3,1000,0.0026152589878837,0.0,5,Electricity
0.01,0.01,2,500,0.001426504902482,0.0,5,Electricity
0.01,0.1,2,500,0.001426504902482,0.0,5,Electricity
0.1,0.1,2,500,0.0013802239156649,0.0,6,Electricity
0.1,0.01,2,500,0.0013802239156649,0.0,5,Electricity
0.01,0.01,3,500,0.0013594431213773,2.018836665935071e-06,5,Electricity
0.01,0.1,3,500,0.0013585402701732,0.0,5,Electricity
0.1,0.01,3,500,0.0013405480575071,0.0,5,Electricity
0.1,0.1,3,500,0.0013405480575071,0.0,5,Electricity
0.01,0.1,3,100,0.0003245835935469,0.0,5,Electricity
0.01,0.01,3,100,0.0003245835935469,0.0,5,Electricity
0.1,0.01,3,100,0.0003231318088268,0.0,5,Electricity
0.1,0.1,3,100,0.0003231318088268,0.0,5,Electricity
0.01,0.01,3,1000,0.0079008822086006,0.0003055356461467,5,InsectsAbruptBalanced
0.01,0.01,2,1000,0.0075132844902178,2.7626997982989664e-05,5,InsectsAbruptBalanced
0.01,0.01,2,500,0.0066796601510019,0.0001470263328904,5,InsectsAbruptBalanced
0.01,0.01,3,500,0.0066742236201141,0.0003009876795977,5,InsectsAbruptBalanced
0.01,0.1,2,1000,0.0061543410513077,0.000146608855937,5,InsectsAbruptBalanced
0.01,0.1,3,1000,0.0057230600259421,0.0004032645354275,5,InsectsAbruptBalanced
0.01,0.01,2,250,0.0048253344846506,0.0002006722643849,5,InsectsAbruptBalanced
0.1,0.01,2,1000,0.0046042554381053,0.0001709561055978,5,InsectsAbruptBalanced
0.01,0.01,3,250,0.0044174366820025,0.0004137052521144,5,InsectsAbruptBalanced
0.1,0.01,3,1000,0.0040552113383161,0.0003010270637297,5,InsectsAbruptBalanced
0.01,0.1,2,500,0.0038862763145961,0.0001794537022623,5,InsectsAbruptBalanced
