confidence,feature_proportion,n_clusters,n_samples,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
0.01,0.1,2,1000,1.0,5,4,6,6,4,2.0,,3,2,,3,6,3.8181818181818183,0.11931818181818182
0.01,0.01,2,1000,2.0,2,2,3,2,2,1.0,1.0,4,3,,5,2,2.4166666666666665,0.07552083333333333
0.01,0.1,3,1000,3.0,6,8,8,9,5,5.0,,2,1,,1,5,4.818181818181818,0.15056818181818182
0.01,0.01,3,1000,4.0,1,1,2,1,1,3.0,,1,4,,2,1,1.9090909090909092,0.05965909090909091
0.1,0.1,2,1000,5.0,13,13,12,15,11,,,5,6,,10,14,10.4,0.325
0.1,0.01,2,1000,6.0,8,9,9,10,9,,,6,7,,9,7,8.0,0.25
0.1,0.1,3,1000,7.0,15,15,13,17,12,6.0,,7,5,,13,15,11.363636363636363,0.35511363636363635
0.1,0.01,3,1000,8.0,10,11,10,11,10,4.0,,8,8,,14,10,9.454545454545455,0.29545454545454547
0.01,0.01,2,500,9.0,3,7,1,3,3,7.0,,12,15,2.0,7,4,6.083333333333333,0.19010416666666666
0.01,0.1,2,500,10.0,11,12,14,12,13,9.0,,11,13,,6,11,11.090909090909092,0.3465909090909091
0.1,0.1,2,500,11.0,21,20,21,22,21,12.0,,15,10,,12,22,17.0,0.53125
0.1,0.01,2,500,12.0,17,17,16,16,17,11.0,,13,11,1.0,11,17,13.25,0.4140625
0.01,0.01,3,500,13.0,4,3,4,4,7,8.0,,10,16,3.0,4,3,6.583333333333333,0.20572916666666666
0.01,0.1,3,500,14.0,14,14,17,14,14,10.0,,9,14,,8,12,12.727272727272727,0.3977272727272727
0.1,0.01,3,500,15.0,19,18,18,19,18,14.0,,14,12,,15,19,16.454545454545453,0.5142045454545454
0.1,0.1,3,500,16.0,22,23,22,23,22,13.0,,16,9,,16,23,18.636363636363637,0.5823863636363636
0.01,0.1,3,100,17.0,26,26,26,26,26,28.0,,26,24,16.0,25,24,24.166666666666668,0.7552083333333334
0.01,0.01,3,100,18.0,16,16,15,13,16,30.0,3.0,25,23,11.0,26,20,17.846153846153847,0.5576923076923077
0.1,0.01,3,100,19.0,30,30,30,30,30,25.0,,29,32,14.0,27,30,27.166666666666668,0.8489583333333334
0.1,0.1,3,100,20.0,32,32,32,32,32,26.0,,30,31,15.0,28,32,28.5,0.890625
0.01,0.01,2,250,,7,6,5,5,8,20.0,2.0,20,18,9.0,19,9,10.666666666666666,0.3333333333333333
0.01,0.01,3,250,,9,5,7,8,6,22.0,,18,19,6.0,18,8,11.454545454545455,0.35795454545454547
0.01,0.01,2,100,,12,10,11,7,15,29.0,,28,21,10.0,30,16,17.181818181818183,0.5369318181818182
0.01,0.1,2,250,,18,19,19,18,19,19.0,,19,17,8.0,20,13,17.181818181818183,0.5369318181818182
0.01,0.1,3,250,,20,21,20,20,20,18.0,,17,20,5.0,17,18,17.818181818181817,0.5568181818181818
0.1,0.01,2,250,,23,22,23,21,23,16.0,,23,26,7.0,23,25,21.09090909090909,0.6590909090909091
0.1,0.01,3,250,,24,25,24,24,24,21.0,,22,28,4.0,22,26,22.181818181818183,0.6931818181818182
0.01,0.1,2,100,,25,24,25,25,25,27.0,,27,22,13.0,29,21,23.90909090909091,0.7471590909090909
0.1,0.1,2,250,,27,27,27,27,27,17.0,,24,25,,24,27,25.2,0.7875
0.1,0.1,3,250,,28,28,28,28,28,15.0,,21,27,,21,28,25.2,0.7875
0.1,0.01,2,100,,29,29,29,29,29,24.0,,31,30,12.0,32,29,27.545454545454547,0.8607954545454546
0.1,0.1,2,100,,31,31,31,31,31,23.0,,32,29,17.0,31,31,28.90909090909091,0.9034090909090909
