n_reference_samples,recent_samples_proportion,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
50,0.1,0.7,0.8521242082496524,0.0010787770397082,5,Electricity
50,0.1,0.8,0.8507823707267551,0.0024366983457408,5,Electricity
50,0.1,0.6,0.849069762309373,0.0028626190969233,5,Electricity
125,0.5,0.6,0.8413232989781732,0.00277838979618,5,Electricity
125,0.1,0.7,0.8410717044426299,0.0003936827997666,5,Electricity
125,1.0,0.6,0.8409392862660281,0.0002337721555801,5,Electricity
125,1.0,0.7,0.8402683675045794,0.0005730901351289,5,Electricity
125,0.1,0.6,0.8396989693451922,0.0010358190330701,5,Electricity
125,1.0,0.8,0.838917702103242,0.0002744994697223,5,Electricity
50,1.0,0.8,0.837130056719119,0.0004252069326668,5,Electricity
125,0.5,0.7,0.8367283882500939,0.0018958755314191,5,Electricity
50,1.0,0.7,0.8358500143453025,0.0002031131577734,5,Electricity
50,1.0,0.6,0.8357793913177816,5.626690553723754e-05,5,Electricity
125,0.5,0.8,0.8354660016331575,0.0008003726746542,5,Electricity
50,0.5,0.6,0.8349142592306503,0.0016870979943376,5,Electricity
50,0.5,0.7,0.833179581117168,0.0025757046781027,5,Electricity
50,0.5,0.8,0.8318730551080311,0.0004668666725807,5,Electricity
125,0.1,0.8,0.8311447551367218,0.0030915304030898,5,Electricity
250,0.5,0.7,0.8298823685197855,0.001254230751577,5,Electricity
250,0.5,0.8,0.8295424951998411,0.0014674771415153,5,Electricity
250,0.5,0.6,0.8274723577056344,0.0008214256688823,5,Electricity
250,0.1,0.7,0.8267043322813444,0.0016760913488128,5,Electricity
250,0.1,0.8,0.8264836353203417,0.0018167931469756,5,Electricity
500,0.1,0.8,0.8256140892939904,0.0019894946635635,5,Electricity
250,1.0,0.6,0.8254375317251881,0.0005781670699837,5,Electricity
250,0.1,0.6,0.8244002560084749,0.0011484303068447,5,Electricity
500,1.0,0.6,0.8200790095120392,0.0004112905628306,5,Electricity
500,0.5,0.6,0.8187371719891416,0.001899045733082,5,Electricity
500,0.1,0.7,0.8183310895808965,0.0042132200146059,5,Electricity
500,0.1,0.6,0.8178014168744896,0.0005318750972219,5,Electricity
250,1.0,0.7,0.8173247114387235,0.0025891901844578,5,Electricity
500,0.5,0.7,0.8157047957449626,0.0022743354560369,5,Electricity
500,1.0,0.7,0.8131005716051289,0.0019803540568908,5,Electricity
500,0.5,0.8,0.8074507294034561,0.0003734281275292,5,Electricity
250,1.0,0.8,0.7998675818233982,0.004051379503809,5,Electricity
500,1.0,0.8,0.7970868001147624,0.0002399413462502,5,Electricity
500,0.1,0.6,0.6644350672696653,0.0011017084976108,5,InsectsAbruptBalanced
125,0.5,0.6,0.6628417885594262,0.0027637743028647,5,InsectsAbruptBalanced
250,0.5,0.6,0.6613885367192083,0.0011030889122578,5,InsectsAbruptBalanced
250,0.1,0.6,0.6593486858289023,0.0009570957702935,5,InsectsAbruptBalanced
500,0.1,0.7,0.6593449013189018,0.0063812859647004,5,InsectsAbruptBalanced
250,1.0,0.6,0.6592389350388859,0.0003938436843188,5,InsectsAbruptBalanced
500,0.5,0.6,0.6577024239786554,0.0008722454052423,5,InsectsAbruptBalanced
50,1.0,0.6,0.6571006868885652,0.0017198401630811,5,InsectsAbruptBalanced
125,0.1,0.7,0.6558290915283743,0.0039809285700569,5,InsectsAbruptBalanced
125,1.0,0.6,0.6536037996480406,0.0070579589573266,5,InsectsAbruptBalanced
50,0.5,0.7,0.6534713417980207,0.0032437964439835,5,InsectsAbruptBalanced
50,1.0,0.7,0.6534637727780196,0.003440226795812,5,InsectsAbruptBalanced
500,1.0,0.6,0.652479800177872,2.538726486837052e-05,5,InsectsAbruptBalanced
250,0.1,0.7,0.6524495240978674,0.0095856771218329,5,InsectsAbruptBalanced
250,0.5,0.7,0.65219974643783,0.003975658827725,5,InsectsAbruptBalanced
50,0.1,0.8,0.6516812685677522,0.0039796691468932,5,InsectsAbruptBalanced
250,1.0,0.7,0.6499025488674854,0.0102110400068915,5,InsectsAbruptBalanced
500,0.5,0.7,0.6476394118871459,0.0081632262320497,5,InsectsAbruptBalanced
125,1.0,0.7,0.6463867390769581,0.0005831707649562,5,InsectsAbruptBalanced
125,0.5,0.7,0.6450697295967605,0.0050651499266801,5,InsectsAbruptBalanced
50,0.5,0.6,0.6400022707060004,0.0017333716839777,5,InsectsAbruptBalanced
125,0.1,0.6,0.6363880636554582,0.0014169439950419,5,InsectsAbruptBalanced
500,1.0,0.7,0.6350029329952505,0.0,5,InsectsAbruptBalanced
50,0.1,0.7,0.6339962533350995,0.0020140919023052,5,InsectsAbruptBalanced
250,0.5,0.8,0.6338789335250818,0.0082267252377069,5,InsectsAbruptBalanced
500,0.1,0.8,0.633159876624974,0.0107496873136527,5,InsectsAbruptBalanced
250,0.1,0.8,0.622112891933317,0.0062716393436109,5,InsectsAbruptBalanced
500,0.5,0.8,0.6199292296629894,0.0057658161843538,5,InsectsAbruptBalanced
500,1.0,0.8,0.6178931632826841,0.0114318311527276,5,InsectsAbruptBalanced
125,1.0,0.8,0.6138021079720704,0.0002694719945339,5,InsectsAbruptBalanced
125,0.5,0.8,0.610846405661627,0.0143112385323352,5,InsectsAbruptBalanced
50,0.5,0.8,0.6090071338013511,0.0122404796947875,5,InsectsAbruptBalanced
250,1.0,0.8,0.606846178591027,0.0106685850421356,5,InsectsAbruptBalanced
125,0.1,0.8,0.6010899388801635,0.0174860969666114,5,InsectsAbruptBalanced
50,1.0,0.8,0.5919919768387988,0.0290355385067091,5,InsectsAbruptBalanced
50,0.1,0.6,0.5779514447366927,0.0029425630008862,5,InsectsAbruptBalanced
50,1.0,0.6,0.6922274214253179,0.0075023718370946,5,InsectsGradualBalanced
250,0.1,0.6,0.6909768520435629,0.0067353675135154,5,InsectsGradualBalanced
125,0.5,0.6,0.6897676922439853,0.0032966032870565,5,InsectsGradualBalanced
125,0.1,0.7,0.6874156279763137,0.0073285952731333,5,InsectsGradualBalanced
500,0.1,0.6,0.6870760694024598,0.0061320726504115,5,InsectsGradualBalanced
50,0.1,0.8,0.6870098140709759,0.002971061771021,5,InsectsGradualBalanced
50,0.5,0.6,0.6815851588057477,0.0084276689680186,5,InsectsGradualBalanced
250,0.5,0.6,0.6787941529669965,0.0017515812727995,5,InsectsGradualBalanced
125,0.1,0.6,0.6784297486438362,0.0018141461862442,5,InsectsGradualBalanced
125,1.0,0.6,0.6781398815685951,0.0045702373445252,5,InsectsGradualBalanced
50,0.1,0.7,0.6759534556296327,0.004409255287243,5,InsectsGradualBalanced
125,1.0,0.7,0.6752909023147957,0.0009629842629507,5,InsectsGradualBalanced
50,0.5,0.7,0.6751998012340056,0.0089478049004043,5,InsectsGradualBalanced
250,0.5,0.7,0.6732618327881073,0.0004074164189407,5,InsectsGradualBalanced
500,0.1,0.7,0.6692699490662138,0.0047080892109256,5,InsectsGradualBalanced
125,0.5,0.7,0.6685908319185059,0.0060418552925135,5,InsectsGradualBalanced
500,0.5,0.6,0.6674230817011055,0.0001296324969356,5,InsectsGradualBalanced
500,0.5,0.7,0.6651455546813533,0.0028333960044512,5,InsectsGradualBalanced
500,1.0,0.6,0.6641848523748395,0.0005000110596089,5,InsectsGradualBalanced
250,1.0,0.6,0.6635388628928733,0.0001031090281004,5,InsectsGradualBalanced
500,1.0,0.7,0.6622717296782475,0.0012948028781002,5,InsectsGradualBalanced
250,0.1,0.7,0.6615346391154914,0.0021621592116255,5,InsectsGradualBalanced
500,0.1,0.8,0.6607147293883805,0.0004105609195559,5,InsectsGradualBalanced
250,0.1,0.8,0.6596546440846411,0.0013889196100251,5,InsectsGradualBalanced
125,0.1,0.8,0.6595635430038511,0.0024861962769241,5,InsectsGradualBalanced
50,1.0,0.7,0.6591494471820779,0.0079921780936375,5,InsectsGradualBalanced
250,1.0,0.7,0.6583212555385316,0.0097412202478885,5,InsectsGradualBalanced
500,0.5,0.8,0.6580479522961613,0.0015423054333658,5,InsectsGradualBalanced
125,0.5,0.8,0.6572280425690504,0.0089427250097722,5,InsectsGradualBalanced
250,1.0,0.8,0.6567559733322291,0.0,5,InsectsGradualBalanced
50,0.5,0.8,0.6505445360056317,0.0087035514487165,5,InsectsGradualBalanced
50,1.0,0.8,0.6460143277154333,0.0071318674011343,5,InsectsGradualBalanced
500,1.0,0.8,0.6337736552238188,,1,InsectsGradualBalanced
250,0.5,0.8,0.6261439397076484,0.019928821225227,4,InsectsGradualBalanced
50,0.1,0.6,0.6208455836680609,0.0027255559241747,5,InsectsGradualBalanced
500,0.1,0.6,0.6781546539976245,0.0051343354217771,5,InsectsIncrementalAbruptBalanced
250,0.1,0.6,0.6773269988122773,0.0019615337354238,5,InsectsIncrementalAbruptBalanced
125,0.5,0.6,0.6762067887728949,0.0070186639226684,5,InsectsIncrementalAbruptBalanced
50,1.0,0.6,0.673486278677252,0.0021254794082027,5,InsectsIncrementalAbruptBalanced
125,0.1,0.7,0.6712208539101081,0.0044079372197624,5,InsectsIncrementalAbruptBalanced
250,0.5,0.6,0.6704382071638432,0.0025190594771965,5,InsectsIncrementalAbruptBalanced
50,0.1,0.7,0.6696580608864162,0.0011789253159022,5,InsectsIncrementalAbruptBalanced
500,0.5,0.6,0.669205476026755,0.001800502517222,5,InsectsIncrementalAbruptBalanced
50,0.5,0.6,0.6675076576858161,0.0024243202741535,5,InsectsIncrementalAbruptBalanced
500,1.0,0.6,0.6668025254735263,0.0007246184399369,5,InsectsIncrementalAbruptBalanced
125,0.1,0.6,0.6662899293617552,0.0016935808528687,5,InsectsIncrementalAbruptBalanced
250,1.0,0.6,0.6654022629242984,0.0026837178036748,5,InsectsIncrementalAbruptBalanced
125,1.0,0.6,0.6639619928736639,0.0031980351274173,5,InsectsIncrementalAbruptBalanced
50,0.1,0.8,0.6635294117647058,0.0064655833993226,5,InsectsIncrementalAbruptBalanced
50,0.5,0.7,0.6552603613177471,0.009226573307723,5,InsectsIncrementalAbruptBalanced
250,0.1,0.7,0.6449509282990561,0.0049997779489192,5,InsectsIncrementalAbruptBalanced
50,0.1,0.6,0.6368119022316685,0.0016922235762637,5,InsectsIncrementalAbruptBalanced
250,0.5,0.7,0.6359467400137526,0.0077787612313971,5,InsectsIncrementalAbruptBalanced
500,0.5,0.7,0.6358217165718572,0.0040368286341666,5,InsectsIncrementalAbruptBalanced
250,1.0,0.7,0.6337063199349877,0.0041233386955264,5,InsectsIncrementalAbruptBalanced
50,1.0,0.7,0.6316834406451209,0.0064847973268427,5,InsectsIncrementalAbruptBalanced
500,0.1,0.7,0.6281652809901856,0.0015419349459949,5,InsectsIncrementalAbruptBalanced
125,0.5,0.7,0.6269600550103144,0.0049907503915136,5,InsectsIncrementalAbruptBalanced
500,0.5,0.8,0.6257923360630118,0.0,5,InsectsIncrementalAbruptBalanced
125,0.1,0.8,0.625624804650872,0.002886560872335,5,InsectsIncrementalAbruptBalanced
500,0.1,0.8,0.624629618053385,0.0,5,InsectsIncrementalAbruptBalanced
250,0.1,0.8,0.6245546039882478,0.0,5,InsectsIncrementalAbruptBalanced
500,1.0,0.7,0.6236694380196287,0.0013543391925615,5,InsectsIncrementalAbruptBalanced
250,0.5,0.8,0.6229568044008251,0.0015599499049133,5,InsectsIncrementalAbruptBalanced
125,1.0,0.7,0.6226742514221416,0.0013757862675219,5,InsectsIncrementalAbruptBalanced
125,0.5,0.8,0.6219866224917172,0.0015100585745828,5,InsectsIncrementalAbruptBalanced
50,0.5,0.8,0.6196886916296805,0.0011810381641342,5,InsectsIncrementalAbruptBalanced
250,1.0,0.8,0.6125648559104833,0.0,5,InsectsIncrementalAbruptBalanced
500,1.0,0.8,0.6118147152591111,0.0,5,InsectsIncrementalAbruptBalanced
50,1.0,0.8,0.606246171157092,0.0015264025951301,5,InsectsIncrementalAbruptBalanced
125,1.0,0.8,0.5966243670688254,0.0,5,InsectsIncrementalAbruptBalanced
500,0.1,0.6,0.5608607959029763,0.0028185018539077,5,InsectsIncrementalBalanced
125,0.5,0.6,0.5580265534840485,0.0013745743000452,5,InsectsIncrementalBalanced
50,0.5,0.7,0.5570022975603768,0.0036611987453127,5,InsectsIncrementalBalanced
125,0.1,0.7,0.5540873774488311,0.0018457938289512,5,InsectsIncrementalBalanced
50,0.1,0.8,0.5532630618938211,0.0028867592093984,5,InsectsIncrementalBalanced
125,1.0,0.6,0.5479418419067997,0.0092101350219184,5,InsectsIncrementalBalanced
50,1.0,0.6,0.5468404160162759,0.0024083353874126,5,InsectsIncrementalBalanced
250,0.1,0.6,0.5460862549765859,0.0024905593996395,5,InsectsIncrementalBalanced
50,1.0,0.7,0.5428100391111423,0.0136432361248348,5,InsectsIncrementalBalanced
250,0.5,0.6,0.5387796622060088,0.0097273526763137,5,InsectsIncrementalBalanced
500,1.0,0.6,0.5374362032376309,0.0,5,InsectsIncrementalBalanced
250,1.0,0.6,0.5359875124962731,0.0030650127583439,5,InsectsIncrementalBalanced
500,0.5,0.6,0.5346721153340231,0.0025869507250719,5,InsectsIncrementalBalanced
500,0.1,0.7,0.5334461651788064,8.769314415001579e-05,4,InsectsIncrementalBalanced
250,0.1,0.7,0.5326797270989354,0.0062772048732166,5,InsectsIncrementalBalanced
50,0.5,0.8,0.5309293719417016,0.0102437904705629,2,InsectsIncrementalBalanced
125,0.1,0.8,0.5300664714032657,0.0089799954784281,5,InsectsIncrementalBalanced
50,0.5,0.6,0.5102478208253679,0.0016016139102514,5,InsectsIncrementalBalanced
125,0.1,0.6,0.5004998509216549,0.0025877948186956,5,InsectsIncrementalBalanced
