n_reference_samples,recent_samples_proportion,threshold,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
50,0.1,0.7,1,24,11.0,7,20.0,10.0,22,5.0,3.0,34,21,3.0,34.0,15.0,0.4166666666666667
50,0.1,0.8,2,16,6.0,14,5.0,13.0,13,6.0,5.0,36,34,2.0,31.0,14.076923076923077,0.391025641025641
50,0.1,0.6,3,36,35.0,17,21.0,23.0,17,4.0,1.0,35,8,4.0,35.0,18.384615384615383,0.5106837606837606
125,0.5,0.6,4,2,3.0,3,2.0,2.0,9,12.0,13.0,30,2,,13.0,7.916666666666667,0.2199074074074074
125,0.1,0.7,5,9,4.0,5,4.0,6.0,5,10.0,10.0,23,17,,23.0,10.083333333333334,0.2800925925925926
125,1.0,0.6,6,10,10.0,13,6.0,15.0,18,11.0,14.0,25,3,,16.0,12.25,0.3402777777777778
125,1.0,0.7,7,19,12.0,30,,30.0,20,19.0,15.0,10,13,,14.0,17.181818181818183,0.4772727272727273
125,0.1,0.6,8,22,9.0,11,19.0,11.0,11,9.0,11.0,32,1,,33.0,14.75,0.4097222222222222
125,1.0,0.8,9,30,,36,,33.0,21,29.0,17.0,26,30,,32.0,26.3,0.7305555555555556
50,1.0,0.8,10,35,32.0,35,,34.0,29,14.0,8.0,11,35,,29.0,24.727272727272727,0.6868686868686869
125,0.5,0.7,11,20,16.0,23,,22.0,15,15.0,16.0,18,16,,7.0,16.272727272727273,0.45202020202020204
50,1.0,0.7,12,12,26.0,21,9.0,21.0,30,8.0,6.0,29,28,,9.0,17.583333333333332,0.4884259259259259
50,1.0,0.6,13,8,1.0,4,7.0,4.0,28,3.0,2.0,33,10,,22.0,11.25,0.3125
125,0.5,0.8,14,31,29.0,31,,29.0,8,25.0,18.0,19,32,,10.0,22.363636363636363,0.6212121212121212
50,0.5,0.6,15,21,7.0,9,18.0,8.0,26,1.0,4.0,31,6,,30.0,14.666666666666666,0.4074074074074074
50,0.5,0.7,16,11,13.0,15,3.0,14.0,24,2.0,7.0,28,29,6.0,8.0,13.538461538461538,0.37606837606837606
50,0.5,0.8,17,32,31.0,32,16.0,32.0,16,7.0,9.0,4,36,5.0,6.0,18.692307692307693,0.5192307692307693
125,0.1,0.8,18,34,25.0,25,17.0,26.0,2,13.0,12.0,7,33,1.0,2.0,16.53846153846154,0.45940170940170943
250,0.5,0.7,19,15,14.0,18,,20.0,1,23.0,26.0,3,9,,15.0,14.818181818181818,0.4116161616161616
250,0.5,0.8,20,25,34.0,29,,31.0,3,31.0,27.0,27,27,,17.0,24.636363636363637,0.6843434343434344
250,0.5,0.6,21,3,8.0,6,10.0,9.0,4,17.0,23.0,6,5,,11.0,10.25,0.2847222222222222
250,0.1,0.7,22,14,22.0,16,15.0,17.0,7,16.0,22.0,5,11,,4.0,14.25,0.3958333333333333
250,0.1,0.8,23,27,24.0,27,,27.0,14,21.0,24.0,1,31,,1.0,20.0,0.5555555555555556
500,0.1,0.8,24,26,23.0,26,,24.0,34,27.0,35.0,20,26,,5.0,24.545454545454547,0.6818181818181819
250,1.0,0.6,25,6,20.0,12,12.0,7.0,6,20.0,19.0,14,7,,19.0,13.916666666666666,0.38657407407407407
250,0.1,0.6,26,4,2.0,2,8.0,1.0,10,18.0,20.0,24,4,,25.0,12.0,0.3333333333333333
500,1.0,0.6,27,13,19.0,10,11.0,12.0,19,28.0,,12,18,8.0,26.0,16.916666666666668,0.46990740740740744
500,0.5,0.6,28,7,17.0,8,13.0,5.0,33,26.0,29.0,2,15,,18.0,16.75,0.4652777777777778
500,0.1,0.7,29,5,15.0,22,14.0,18.0,27,22.0,34.0,13,20,,3.0,18.5,0.5138888888888888
500,0.1,0.6,30,1,5.0,1,1.0,3.0,23,24.0,33.0,16,14,,12.0,13.583333333333334,0.3773148148148148
250,1.0,0.7,31,17,27.0,20,,28.0,32,,21.0,9,12,,21.0,21.8,0.6055555555555556
500,0.5,0.7,32,18,18.0,19,,16.0,35,30.0,31.0,8,19,,20.0,22.363636363636363,0.6212121212121212
500,1.0,0.7,33,23,21.0,28,,19.0,31,,28.0,17,22,9.0,27.0,23.454545454545453,0.6515151515151515
500,0.5,0.8,34,28,28.0,24,,35.0,36,,32.0,21,25,7.0,24.0,26.727272727272727,0.7424242424242424
250,1.0,0.8,35,33,30.0,33,,,25,,25.0,22,23,,28.0,28.22222222222222,0.7839506172839505
500,1.0,0.8,36,29,33.0,34,,25.0,12,,30.0,15,24,10.0,,24.8,0.6888888888888889
