n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
500,0.5,0.8,0.0069553199002449,0.0003150491634081,5,Electricity
500,1.0,0.8,0.0069195433464594,0.0003941621445772,5,Electricity
250,1.0,0.8,0.0051861905209935,0.0001825941512076,5,Electricity
500,1.0,0.7,0.0030760795184212,9.78258991092132e-05,5,Electricity
500,0.5,0.7,0.0024785207106035,8.46585395274877e-05,5,Electricity
250,1.0,0.7,0.0021259195821942,0.0001993158456197,5,Electricity
500,0.1,0.8,0.0016615431238811,2.0100114468346847e-05,5,Electricity
500,1.0,0.6,0.0014490648471977,1.9883967920266756e-05,5,Electricity
500,0.5,0.6,0.0013939515242007,1.4702472528021597e-05,5,Electricity
500,0.1,0.7,0.0013706521148843,4.733955072587535e-05,5,Electricity
500,0.1,0.6,0.0013647007361607,5.976124687860814e-06,5,Electricity
250,0.5,0.8,0.0012960298372719,2.817467351552633e-05,5,Electricity
250,1.0,0.6,0.0010252955776698,7.115872816945403e-05,5,Electricity
250,0.5,0.7,0.000886878874928,1.580066054403829e-05,5,Electricity
250,0.1,0.8,0.000839697492632,1.5259636061860338e-05,5,Electricity
250,0.1,0.7,0.0007579003232188,7.66397629510636e-06,5,Electricity
250,0.5,0.6,0.0007333801158432,2.8568088679617555e-06,5,Electricity
250,0.1,0.6,0.0007161998043023,5.5879420014127605e-06,5,Electricity
125,1.0,0.8,0.0006116068556768,1.3408590838735851e-05,5,Electricity
125,1.0,0.7,0.0004802350945964,9.510731447605606e-06,5,Electricity
125,0.5,0.8,0.0004324331002114,8.177479381144775e-06,5,Electricity
125,0.1,0.8,0.0004225484077278,5.795694820859458e-06,5,Electricity
125,1.0,0.6,0.0004165409850232,6.392413538541466e-06,5,Electricity
125,0.1,0.7,0.0004142207871007,1.05687750373684e-06,5,Electricity
125,0.5,0.7,0.0004129003371982,5.715990131398401e-06,5,Electricity
125,0.5,0.6,0.0004107063857197,7.368576523494834e-06,5,Electricity
125,0.1,0.6,0.0004038194872929,2.917800093137523e-06,5,Electricity
50,0.1,0.8,0.0003299311824139,4.056058370373438e-05,5,Electricity
50,0.1,0.7,0.0002338266329447,1.026731133489144e-05,5,Electricity
50,0.1,0.6,0.0002027380628864,1.139046534353214e-05,5,Electricity
50,1.0,0.8,0.0001780163452899,4.2557428813869126e-06,5,Electricity
50,0.5,0.8,0.0001713372625499,3.0026776881107525e-06,5,Electricity
50,1.0,0.7,0.0001651389469222,8.356789814293821e-07,5,Electricity
50,1.0,0.6,0.0001619098643364,3.093706383181144e-07,5,Electricity
50,0.5,0.7,0.0001604391178606,3.885352034370628e-06,5,Electricity
50,0.5,0.6,0.0001585504255696,2.0298080066837945e-06,5,Electricity
250,1.0,0.8,0.0420172069054692,0.0089514184812995,5,InsectsAbruptBalanced
50,1.0,0.8,0.0403800909543903,0.0094090561452647,5,InsectsAbruptBalanced
50,0.5,0.8,0.0392835291817258,0.0070191745476321,5,InsectsAbruptBalanced
250,0.1,0.8,0.0380154029557023,0.004954270275193,5,InsectsAbruptBalanced
125,0.1,0.8,0.0373244145047653,0.0075369176561695,5,InsectsAbruptBalanced
500,0.1,0.8,0.0358273254237073,0.0064508405040553,5,InsectsAbruptBalanced
125,0.5,0.8,0.0344182262001627,0.0042916600193164,5,InsectsAbruptBalanced
125,1.0,0.8,0.033662901079216,0.0053436641992993,5,InsectsAbruptBalanced
500,0.5,0.8,0.032658176749232,0.0070779541844677,5,InsectsAbruptBalanced
250,0.5,0.8,0.0307738692199493,0.0036881919778837,5,InsectsAbruptBalanced
500,1.0,0.8,0.0304759021325713,0.005777064990508,5,InsectsAbruptBalanced
250,1.0,0.7,0.0194261376282114,0.0012228063350332,5,InsectsAbruptBalanced
125,0.5,0.7,0.0183557145049755,0.0012769791495133,5,InsectsAbruptBalanced
250,0.5,0.7,0.0183210757259425,0.0007311318909186,5,InsectsAbruptBalanced
500,0.5,0.7,0.0182668611183947,0.0010620080152198,5,InsectsAbruptBalanced
500,0.1,0.7,0.0178831133061268,0.0006529219953553,5,InsectsAbruptBalanced
500,1.0,0.7,0.0175057240713758,0.0,5,InsectsAbruptBalanced
125,1.0,0.7,0.0169055007852858,0.0012769957501368,5,InsectsAbruptBalanced
250,0.1,0.7,0.0157315037329985,0.0021831490149927,5,InsectsAbruptBalanced
500,0.5,0.6,0.0151386650198314,0.0011322870085187,5,InsectsAbruptBalanced
50,1.0,0.7,0.0140091696295453,0.0013422437927799,5,InsectsAbruptBalanced
250,1.0,0.6,0.0132700204217981,0.0006081058101501,5,InsectsAbruptBalanced
250,0.5,0.6,0.0115693961464465,0.0015957785339545,5,InsectsAbruptBalanced
500,1.0,0.6,0.0106515754825024,0.0003372476502913,5,InsectsAbruptBalanced
125,1.0,0.6,0.0080319063165373,0.0005042177209661,5,InsectsAbruptBalanced
500,0.1,0.6,0.0058452163877785,0.0005614185327308,5,InsectsAbruptBalanced
50,0.5,0.7,0.0055064307615281,0.0008859368157166,5,InsectsAbruptBalanced
125,0.5,0.6,0.0034994541811554,0.0003034951925931,5,InsectsAbruptBalanced
50,0.1,0.8,0.0032538024614443,0.0005214714790113,5,InsectsAbruptBalanced
125,0.1,0.7,0.0027214918230422,9.494821471763912e-05,5,InsectsAbruptBalanced
250,0.1,0.6,0.0015993146372153,8.643684193896392e-05,5,InsectsAbruptBalanced
