n_reference_samples,recent_samples_proportion,threshold,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
500,0.5,0.8,1,9,7.0,8,,5.0,2,,2.0,3,2,3.0,13.0,5.0,0.1388888888888889
500,1.0,0.8,2,11,1.0,2,,11.0,1,,1.0,1,1,1.0,,3.2,0.08888888888888889
250,1.0,0.8,3,1,4.0,1,,,3,,9.0,7,10,,3.0,4.555555555555555,0.12654320987654322
500,1.0,0.7,4,17,10.0,17,,17.0,4,,3.0,2,4,2.0,17.0,8.818181818181818,0.24494949494949494
500,0.5,0.7,5,15,18.0,13,,14.0,5,1.0,5.0,5,5,,11.0,8.818181818181818,0.24494949494949494
250,1.0,0.7,6,12,12.0,16,,13.0,12,,11.0,9,16,,15.0,12.2,0.33888888888888885
500,0.1,0.8,7,6,8.0,9,,10.0,9,6.0,4.0,6,3,,7.0,6.818181818181818,0.1893939393939394
500,1.0,0.6,8,24,23.0,23,1.0,20.0,6,4.0,,14,7,4.0,21.0,12.916666666666666,0.3587962962962963
500,0.5,0.6,9,20,20.0,21,4.0,22.0,10,5.0,6.0,11,8,,18.0,12.833333333333334,0.3564814814814815
500,0.1,0.7,10,16,14.0,14,2.0,16.0,7,7.0,7.0,16,6,,6.0,10.083333333333334,0.2800925925925926
500,0.1,0.6,11,26,26.0,27,11.0,26.0,8,8.0,8.0,18,9,,26.0,17.0,0.4722222222222222
250,0.5,0.8,12,10,2.0,6,,3.0,11,2.0,10.0,24,12,,9.0,9.181818181818182,0.255050505050505
250,1.0,0.6,13,22,21.0,22,5.0,23.0,14,11.0,13.0,19,23,,19.0,17.083333333333332,0.474537037037037
250,0.5,0.7,14,14,13.0,19,,19.0,13,9.0,12.0,10,15,,12.0,13.636363636363637,0.3787878787878788
250,0.1,0.8,15,4,6.0,10,,7.0,16,12.0,15.0,12,11,,4.0,10.181818181818182,0.2828282828282828
250,0.1,0.7,16,19,17.0,20,9.0,18.0,17,15.0,17.0,21,13,,23.0,17.083333333333332,0.474537037037037
250,0.5,0.6,17,23,22.0,24,6.0,21.0,15,13.0,14.0,20,21,,20.0,18.0,0.5
250,0.1,0.6,18,31,30.0,31,16.0,30.0,18,16.0,16.0,25,19,,29.0,23.25,0.6458333333333334
125,1.0,0.8,19,8,,3,,1.0,20,3.0,18.0,4,14,,1.0,9.1,0.25277777777777777
125,1.0,0.7,20,18,16.0,12,,9.0,23,14.0,20.0,13,26,,14.0,16.818181818181817,0.4671717171717171
125,0.5,0.8,21,7,5.0,7,,6.0,19,10.0,21.0,8,17,,5.0,11.454545454545455,0.3181818181818182
125,0.1,0.8,22,5,11.0,11,8.0,8.0,21,20.0,19.0,23,20,5.0,22.0,15.0,0.4166666666666667
125,1.0,0.6,23,25,24.0,26,10.0,24.0,27,18.0,24.0,26,33,,24.0,23.666666666666668,0.6574074074074074
125,0.1,0.7,24,30,29.0,30,15.0,29.0,22,22.0,22.0,27,24,,30.0,25.333333333333332,0.7037037037037037
125,0.5,0.7,25,13,15.0,15,,12.0,24,17.0,23.0,22,22,,8.0,17.818181818181817,0.4949494949494949
125,0.5,0.6,26,28,27.0,29,13.0,28.0,25,19.0,25.0,31,29,,27.0,25.583333333333332,0.7106481481481481
125,0.1,0.6,27,34,33.0,35,19.0,34.0,26,21.0,26.0,36,31,,33.0,29.583333333333332,0.8217592592592592
50,0.1,0.8,28,29,28.0,28,14.0,27.0,30,27.0,29.0,35,18,6.0,32.0,25.46153846153846,0.7072649572649572
50,0.1,0.7,29,35,34.0,33,20.0,32.0,33,29.0,30.0,33,30,7.0,34.0,29.153846153846153,0.8098290598290598
50,0.1,0.6,30,36,35.0,36,21.0,35.0,32,31.0,33.0,32,36,8.0,35.0,30.76923076923077,0.8547008547008548
50,1.0,0.8,31,2,3.0,4,,4.0,29,23.0,27.0,15,27,,2.0,15.181818181818182,0.4217171717171717
50,0.5,0.8,32,3,9.0,5,3.0,2.0,28,24.0,28.0,17,25,9.0,10.0,15.0,0.4166666666666667
50,1.0,0.7,33,21,19.0,18,7.0,15.0,34,25.0,31.0,29,32,,16.0,23.333333333333332,0.6481481481481481
50,1.0,0.6,34,32,31.0,32,17.0,31.0,36,28.0,35.0,34,35,,28.0,31.083333333333332,0.8634259259259259
50,0.5,0.7,35,27,25.0,25,12.0,25.0,31,26.0,32.0,28,28,10.0,25.0,25.307692307692307,0.7029914529914529
50,0.5,0.6,36,33,32.0,34,18.0,33.0,35,30.0,34.0,30,34,,31.0,31.666666666666668,0.8796296296296297
