n_consecutive_deviations,n_permutations,n_samples,update_interval,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
4,40,1000,100,0.8462580830261967,0.000753511268119,5,Electricity
4,20,1000,100,0.8453576394253052,0.0007813732191786,5,Electricity
4,10,1000,100,0.8450795612544415,0.000502443182034,5,Electricity
1,40,1000,100,0.8419280086513208,0.0006718763674864,5,Electricity
1,20,1000,100,0.8415925492705965,0.0009567410535576,5,Electricity
1,10,1000,100,0.8414424753371146,0.0011885509794395,5,Electricity
1,20,500,100,0.8405729293107633,0.0002580361837622,5,Electricity
1,40,500,100,0.8402904372006799,0.0001810522328087,5,Electricity
1,10,500,100,0.8401845026593984,0.0001565237865109,5,Electricity
4,10,100,100,0.8375758645803447,0.0002913701426067,5,Electricity
4,20,100,100,0.8373728233762222,0.0002311530705174,5,Electricity
4,40,250,100,0.8361634040299265,0.0009706401883758,5,Electricity
1,40,100,250,0.8354086204232967,0.0015906571749156,5,Electricity
4,20,250,100,0.8348127386285891,0.00052305645361,5,Electricity
1,10,250,100,0.8346582507558871,0.0005502838747598,5,Electricity
1,20,250,100,0.8345390743969455,0.0006640008351576,5,Electricity
4,40,100,100,0.834494935004745,0.0012369272216643,5,Electricity
4,10,250,100,0.8344728653086447,0.0001647115107328,5,Electricity
4,20,100,50,0.83410209441416,0.0001430279777186,5,Electricity
4,10,100,50,0.834040299265079,0.0001982590954203,5,Electricity
1,40,250,100,0.8339299507845777,0.0002891888209097,5,Electricity
4,40,100,50,0.8338240162432964,0.0002901136893938,5,Electricity
1,20,100,250,0.8334400035311514,0.0009507916059472,5,Electricity
1,10,100,250,0.8332104786917084,0.0032909979767888,5,Electricity
4,10,500,100,0.8331045441504271,0.0013019624362608,5,Electricity
4,40,500,100,0.8330471629405662,0.0014680412814095,5,Electricity
1,40,100,100,0.8328485356756637,0.0013527841612928,5,Electricity
1,10,1000,250,0.8324512811458586,0.0009550595645064,5,Electricity
1,10,100,100,0.8323585884222375,0.0014075380169422,5,Electricity
4,10,1000,250,0.8319304363178919,0.000228077255991,5,Electricity
1,20,100,100,0.8318774690472512,0.0003134363072745,5,Electricity
4,20,1000,250,0.8315155260312066,0.0003779012565249,5,Electricity
4,20,500,100,0.8315111120919865,0.0016842952400546,5,Electricity
1,40,1000,250,0.8311226854406215,0.0006304366205595,5,Electricity
1,20,1000,250,0.8311138575621815,0.0003139021529226,5,Electricity
4,40,1000,250,0.8305444594027941,0.0004534772115243,5,Electricity
4,10,100,250,0.830465008496833,0.0042028547902991,5,Electricity
4,40,250,50,0.8303061066849109,6.0440351957030446e-05,5,Electricity
4,20,250,50,0.8300633400278079,3.822583495332237e-05,5,Electricity
4,10,250,50,0.8300412703317075,0.0,5,Electricity
1,20,250,50,0.8296881551941029,0.0001986272649025,5,Electricity
4,20,1000,50,0.8293791794486989,0.0001973973628919,5,Electricity
1,10,250,50,0.8293350400564984,0.0,5,Electricity
1,40,250,50,0.829224691575997,0.0,5,Electricity
4,40,1000,50,0.8289730970404537,8.772530694244464e-05,5,Electricity
4,10,1000,50,0.8288759903776125,6.694070264658858e-05,5,Electricity
1,20,1000,50,0.828836264924632,1.2088070391405244e-05,5,Electricity
1,10,1000,50,0.828522875240008,0.000265937548611,5,Electricity
4,20,500,50,0.8283021782790051,1.8464832524824546e-05,5,Electricity
4,40,500,50,0.828293350400565,1.846483252486877e-05,5,Electricity
4,10,500,50,0.8282403831299243,1.97397362892004e-05,5,Electricity
1,40,1000,50,0.8282315552514842,0.0,5,Electricity
1,20,500,50,0.8281212067709827,0.0,5,Electricity
1,10,500,50,0.8279314073845203,0.0003139021529226,5,Electricity
1,40,500,50,0.8276224316391163,0.0004836738929341,5,Electricity
4,40,100,250,0.8274061486173336,0.001998166932929,5,Electricity
4,20,100,250,0.8268808898501467,0.0055090621016776,5,Electricity
1,20,100,50,0.8261393480611773,2.4176140782843432e-05,5,Electricity
1,10,100,50,0.826134934121957,8.964752934867137e-05,5,Electricity
1,40,100,50,0.8260157577630156,0.0001087926335227,5,Electricity
1,10,500,250,0.818375228973097,0.0017395625105082,5,Electricity
4,10,500,250,0.81782348657059,0.0008984562168963,5,Electricity
4,40,500,250,0.8174085762839045,0.0013298342570484,5,Electricity
1,40,500,250,0.8165037187437928,0.0008240896631268,5,Electricity
1,20,500,250,0.8158327999823441,0.0008767532259081,5,Electricity
4,20,500,250,0.81550616848006,0.0021161950201605,5,Electricity
4,20,250,250,0.8121206770982763,0.0048153679710177,5,Electricity
1,20,250,250,0.8109112577519808,0.00387878911625,5,Electricity
1,10,250,250,0.8097239081017854,0.0053074889015799,5,Electricity
1,40,250,250,0.8093045838758801,0.0029904071742671,5,Electricity
