n_consecutive_deviations,n_permutations,n_samples,update_interval,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
4,40,1000,100,1,57,66,24,1,47,34,61,45,42,37,15,45,36.53846153846154,0.5074786324786325
4,20,1000,100,2,56,64,22,3,46,30,62,43,41,38,13,43,35.61538461538461,0.4946581196581196
4,10,1000,100,3,55,65,23,2,48,32,63,44,37,39,14,44,36.07692307692308,0.5010683760683761
1,40,1000,100,4,40,18,44,44,42,27,55,35,30,20,24,67,34.61538461538461,0.4807692307692307
1,20,1000,100,5,41,16,45,45,41,26,49,36,35,19,22,69,34.53846153846154,0.4797008547008547
1,10,1000,100,6,42,17,43,46,40,25,51,34,34,21,23,68,34.61538461538461,0.4807692307692307
1,20,500,100,7,47,30,52,55,53,11,27,28,29,28,20,53,33.84615384615385,0.4700854700854701
1,40,500,100,8,46,28,57,56,52,12,32,29,36,29,19,54,35.23076923076923,0.48931623931623935
1,10,500,100,9,48,29,53,57,54,13,30,30,27,30,21,52,34.84615384615385,0.483974358974359
4,10,100,100,10,6,39,25,38,19,36,31,48,57,45,5,9,28.307692307692307,0.39316239316239315
4,20,100,100,11,7,40,28,40,20,42,29,47,56,44,6,8,29.076923076923077,0.40384615384615385
4,40,250,100,12,16,14,9,27,24,45,26,33,49,42,9,13,24.53846153846154,0.3408119658119658
1,40,100,250,13,24,2,20,54,25,29,43,61,47,24,54,26,32.46153846153846,0.4508547008547008
4,20,250,100,14,18,15,7,26,22,43,28,31,51,40,7,15,24.384615384615383,0.33867521367521364
1,10,250,100,15,52,35,58,62,56,46,23,25,55,58,16,49,42.30769230769231,0.5876068376068376
1,20,250,100,16,53,36,59,61,55,47,19,26,53,59,17,51,42.46153846153846,0.5897435897435898
4,40,100,100,17,5,41,26,39,21,41,22,46,54,43,4,7,28.153846153846153,0.391025641025641
4,10,250,100,18,17,13,8,25,23,44,37,32,50,41,8,14,25.384615384615383,0.35256410256410253
4,20,100,50,19,15,33,32,29,38,60,9,19,68,64,26,4,32.0,0.4444444444444444
4,10,100,50,20,14,32,33,30,37,56,11,21,67,65,25,6,32.07692307692308,0.44551282051282054
1,40,250,100,21,54,34,60,63,57,48,20,27,52,60,18,50,43.38461538461539,0.6025641025641026
4,40,100,50,22,13,31,34,28,39,55,7,20,71,66,27,5,32.15384615384615,0.44658119658119655
1,20,100,250,23,22,1,21,53,26,21,47,63,48,23,52,25,32.69230769230769,0.45405982905982906
1,10,100,250,24,23,6,19,52,27,16,50,64,46,22,53,27,33.0,0.4583333333333333
4,10,500,100,25,30,59,6,9,13,6,46,37,26,33,2,23,24.23076923076923,0.3365384615384615
4,40,500,100,26,32,60,4,8,14,8,35,38,33,31,1,24,24.153846153846153,0.33547008547008544
1,40,100,100,27,63,42,63,69,66,37,21,40,58,54,11,48,46.07692307692308,0.639957264957265
1,10,1000,250,28,29,26,29,33,32,33,68,57,20,2,67,40,35.69230769230769,0.49572649572649574
1,10,100,100,29,61,38,61,67,64,40,25,42,59,52,10,46,45.69230769230769,0.6346153846153846
4,10,1000,250,30,44,51,3,11,43,31,72,60,10,18,69,28,36.15384615384615,0.5021367521367521
1,20,100,100,31,62,37,62,68,65,38,24,41,60,53,12,47,46.15384615384615,0.641025641025641
4,20,1000,250,32,43,49,2,10,44,28,70,59,11,17,71,29,35.76923076923077,0.49679487179487175
4,20,500,100,33,31,58,5,7,15,7,34,39,28,32,3,22,24.153846153846153,0.33547008547008544
1,40,1000,250,34,25,25,27,32,33,35,71,55,24,3,68,42,36.46153846153846,0.5064102564102564
1,20,1000,250,35,28,24,30,31,31,39,65,56,19,1,70,41,36.15384615384615,0.5021367521367521
4,40,1000,250,36,45,50,1,12,45,10,69,58,12,14,72,30,34.92307692307692,0.485042735042735
4,10,100,250,37,4,19,15,22,1,17,45,69,40,12,41,2,24.923076923076923,0.34615384615384615
4,40,250,50,38,20,69,35,15,11,63,10,9,62,57,29,16,33.38461538461539,0.4636752136752137
4,20,250,50,39,19,67,37,14,10,61,8,8,63,56,28,18,32.92307692307692,0.4572649572649572
4,10,250,50,40,21,68,36,13,12,62,14,7,61,55,30,17,33.53846153846154,0.4658119658119658
1,20,250,50,41,59,52,68,64,68,71,3,3,70,67,44,57,51.30769230769231,0.7126068376068376
4,20,1000,50,42,69,71,65,35,63,53,40,22,31,61,35,61,49.84615384615385,0.6923076923076923
1,10,250,50,43,58,53,67,66,67,72,2,1,69,68,43,56,51.15384615384615,0.7104700854700855
1,40,250,50,44,60,54,69,65,69,70,1,2,72,69,45,55,51.92307692307692,0.7211538461538461
4,40,1000,50,45,67,72,64,36,61,54,39,23,32,63,36,63,50.38461538461539,0.6997863247863249
4,10,1000,50,46,68,70,66,34,62,52,57,24,25,62,34,62,50.92307692307692,0.7072649572649572
