n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (ht) (std),count,stream
4,10,250,250,0.0038505587875117,0.0002215314542413,5,Electricity
4,20,250,250,0.0030477925628557,0.0006161453385122,5,Electricity
4,40,250,250,0.0020294128065564,0.0001221742779364,5,Electricity
1,20,250,250,0.0016216679565353,0.000205476018653,5,Electricity
1,40,250,250,0.0016182354446315,0.0001047016526826,5,Electricity
1,10,250,250,0.0015809155451443,0.0001281788197559,5,Electricity
4,10,500,250,0.0010855679409266,0.0002401997680422,5,Electricity
1,10,1000,250,0.0009600263512086,1.7212845742119997e-05,5,Electricity
4,10,1000,250,0.0009561969750115,4.0253206795684925e-06,5,Electricity
4,20,500,250,0.00094951551688,0.0001281899218646,5,Electricity
4,20,1000,250,0.0009309796455928,7.0722592512107085e-06,5,Electricity
4,40,500,250,0.000900635947985,0.0001594265172628,5,Electricity
1,20,1000,250,0.0008997518561962,1.0273401906269985e-05,5,Electricity
4,40,1000,250,0.0008853644613056,1.1642534651192908e-05,5,Electricity
1,10,500,250,0.000865954208789,9.482601223245188e-05,5,Electricity
1,40,1000,250,0.0008531645291396,1.1444790392492605e-05,5,Electricity
1,20,500,250,0.0007543489244534,3.645880483251722e-06,5,Electricity
1,40,500,250,0.0007346983488426,1.488737489909345e-05,5,Electricity
4,20,100,250,0.0005588588997488,9.43820606132984e-06,5,Electricity
4,10,100,250,0.0005579793586493,7.719473651938804e-06,5,Electricity
4,40,100,250,0.0005393014591893,1.2749101690102973e-05,5,Electricity
1,20,100,250,0.0005208440284559,1.554871535830417e-05,5,Electricity
1,10,100,250,0.0005010882115935,1.848550038642571e-05,5,Electricity
1,40,100,250,0.0004792599679045,5.975081648358469e-06,5,Electricity
4,20,500,100,0.0001620047394979,4.123007105335673e-06,5,Electricity
4,10,500,100,0.0001619727734778,5.065104849072189e-06,5,Electricity
4,40,500,100,0.0001578370205493,1.1549198377463855e-06,5,Electricity
4,40,1000,100,0.0001475904439401,1.5664526847521649e-06,5,Electricity
4,10,1000,100,0.0001471850146267,1.434934604739052e-06,5,Electricity
4,20,1000,100,0.0001451267590638,8.943157554475268e-07,5,Electricity
1,20,500,100,0.0001339432872642,3.4320594803940935e-07,5,Electricity
1,40,500,100,0.0001337802861165,2.750762905073909e-07,5,Electricity
1,10,500,100,0.0001337563486221,2.0063514435557801e-07,5,Electricity
1,40,1000,100,0.0001218702222037,6.755755963588297e-07,5,Electricity
1,20,1000,100,0.0001218148259041,1.090986244485338e-06,5,Electricity
1,10,1000,100,0.0001212189667154,9.354690933392968e-07,5,Electricity
4,20,250,100,0.000117866573103,2.0183089311688082e-07,5,Electricity
4,40,250,100,0.0001178298429492,1.563258223692719e-06,5,Electricity
4,10,250,100,0.0001174374671517,1.463239151508681e-07,5,Electricity
4,10,100,100,0.0001102468469273,1.3473141960317536e-06,5,Electricity
4,20,100,100,0.0001091927526567,6.969056748528002e-07,5,Electricity
4,40,100,100,0.0001032520066469,8.01596812947372e-07,5,Electricity
1,40,100,100,8.637742169591598e-05,1.1326943779490231e-06,5,Electricity
1,10,100,100,8.623994187958637e-05,9.989431024387965e-07,5,Electricity
1,20,100,100,8.608779843248418e-05,3.59820174992879e-07,5,Electricity
1,10,250,100,8.414640987720782e-05,7.315042644450715e-07,5,Electricity
1,20,250,100,8.398513947124983e-05,1.0230698197246298e-06,5,Electricity
1,40,250,100,8.340688908578393e-05,2.613557256878916e-07,5,Electricity
4,40,250,50,7.049204281442344e-05,5.2115349853266695e-08,5,Electricity
4,20,250,50,7.028293098857055e-05,3.8159701856909066e-08,5,Electricity
4,10,250,50,7.025655227300299e-05,0.0,5,Electricity
4,20,1000,50,6.908095189024684e-05,8.648629857497944e-08,5,Electricity
4,40,1000,50,6.879869271486964e-05,8.461375109436033e-08,5,Electricity
4,10,1000,50,6.878402611927425e-05,9.328096357146443e-08,5,Electricity
4,40,500,50,6.711612362379562e-05,9.392081650473487e-09,5,Electricity
4,10,500,50,6.706915682181632e-05,1.874925889958638e-07,5,Electricity
4,20,100,50,6.706866750631798e-05,6.96338742544322e-08,5,Electricity
4,10,100,50,6.694100809629427e-05,1.8540316319616377e-07,5,Electricity
4,20,500,50,6.682183239129469e-05,1.595911582258497e-07,5,Electricity
4,40,100,50,6.677813514364644e-05,3.536892979766483e-07,5,Electricity
1,20,1000,50,5.6645238806519546e-05,5.168050616259314e-09,5,Electricity
1,10,1000,50,5.64486314535482e-05,1.6632953541694637e-07,5,Electricity
1,40,1000,50,5.631447647109368e-05,0.0,5,Electricity
1,20,500,50,5.45439384995033e-05,0.0,5,Electricity
1,10,500,50,5.446992639998332e-05,1.4647855310592278e-07,5,Electricity
1,20,250,50,5.436441914984851e-05,4.587283823767048e-08,5,Electricity
1,40,500,50,5.434199758773104e-05,2.023907860448853e-07,5,Electricity
1,10,250,50,5.428244436747575e-05,0.0,5,Electricity
1,40,250,50,5.414899764458606e-05,0.0,5,Electricity
1,20,100,50,4.547873045024332e-05,8.470967338066454e-09,5,Electricity
1,10,100,50,4.5429430439543006e-05,3.1378204182246944e-08,5,Electricity
1,40,100,50,4.5384556569809335e-05,5.548478168370728e-08,5,Electricity
4,40,1000,50,0.0102307920348679,0.0,5,InsectsAbruptBalanced
4,10,1000,50,0.0102307920348679,0.0,5,InsectsAbruptBalanced
4,20,1000,50,0.0102307920348679,0.0,5,InsectsAbruptBalanced
4,20,500,50,0.0084323613450148,0.0,5,InsectsAbruptBalanced
4,10,500,50,0.0084323613450148,0.0,5,InsectsAbruptBalanced
4,40,500,50,0.0084323613450148,0.0,5,InsectsAbruptBalanced
4,10,250,50,0.0053279593291325,0.0,5,InsectsAbruptBalanced
4,40,250,50,0.0053279593291325,0.0,5,InsectsAbruptBalanced
4,20,250,50,0.0053279593291325,0.0,5,InsectsAbruptBalanced
4,40,1000,100,0.0040629418077522,0.0,5,InsectsAbruptBalanced
4,10,1000,100,0.0040629418077522,0.0,5,InsectsAbruptBalanced
4,20,1000,100,0.0040629418077522,0.0,5,InsectsAbruptBalanced
4,40,500,100,0.0039065604480859,0.0,5,InsectsAbruptBalanced
4,10,500,100,0.0039065604480859,0.0,5,InsectsAbruptBalanced
4,20,500,100,0.0039065604480859,0.0,5,InsectsAbruptBalanced
4,10,500,250,0.0033337748595,0.0,5,InsectsAbruptBalanced
4,20,500,250,0.0033337748595,0.0,5,InsectsAbruptBalanced
4,40,500,250,0.0033337748595,0.0,5,InsectsAbruptBalanced
4,10,1000,250,0.0033081553722352,0.0,5,InsectsAbruptBalanced
4,20,1000,250,0.0033081553722352,0.0,5,InsectsAbruptBalanced
4,40,1000,250,0.0033081553722352,0.0,5,InsectsAbruptBalanced
4,20,250,100,0.0030422461995129,0.0,5,InsectsAbruptBalanced
4,40,250,100,0.0030422461995129,0.0,5,InsectsAbruptBalanced
4,10,250,100,0.0030422461995129,0.0,5,InsectsAbruptBalanced
4,40,100,250,0.002984795946847,6.336176848276812e-05,5,InsectsAbruptBalanced
4,20,100,250,0.0029497179374867,3.4475555658555576e-05,5,InsectsAbruptBalanced
4,10,100,250,0.0029470627042798,7.832751297662848e-05,5,InsectsAbruptBalanced
4,20,100,50,0.0026030332847654,0.0,5,InsectsAbruptBalanced
4,40,100,50,0.0026030332847654,0.0,5,InsectsAbruptBalanced
4,10,100,50,0.0026030332847654,0.0,5,InsectsAbruptBalanced
4,20,250,250,0.0025860818337212,0.0,5,InsectsAbruptBalanced
4,40,250,250,0.0025860818337212,0.0,5,InsectsAbruptBalanced
4,10,250,250,0.0025469187451581,0.0,5,InsectsAbruptBalanced
4,20,100,100,0.0020224330250021,0.0,5,InsectsAbruptBalanced
4,10,100,100,0.0020224330250021,0.0,5,InsectsAbruptBalanced
4,40,100,100,0.0020224330250021,0.0,5,InsectsAbruptBalanced
1,10,1000,250,0.0011423971611202,0.0,5,InsectsAbruptBalanced
1,40,1000,250,0.0011423971611202,0.0,5,InsectsAbruptBalanced
1,20,1000,250,0.0011423971611202,0.0,5,InsectsAbruptBalanced
1,40,500,250,0.0009843296293929,0.0,5,InsectsAbruptBalanced
1,20,500,250,0.0009843296293929,0.0,5,InsectsAbruptBalanced
1,10,500,250,0.0009826634929146,0.0,5,InsectsAbruptBalanced
1,10,250,250,0.0009434707909042,3.500297790864237e-06,5,InsectsAbruptBalanced
1,20,250,250,0.0009308812281138,8.34023861436857e-06,5,InsectsAbruptBalanced
1,10,1000,100,0.0009208214392946,0.0,5,InsectsAbruptBalanced
1,20,100,250,0.0009200885916536,1.1554649158664342e-05,5,InsectsAbruptBalanced
1,10,100,250,0.0009194063096963,8.867073100454048e-06,5,InsectsAbruptBalanced
1,40,250,250,0.0009186465586221,4.024354291977972e-06,5,InsectsAbruptBalanced
1,20,1000,100,0.0009100845477555,0.0,5,InsectsAbruptBalanced
1,40,1000,100,0.0009100845477555,0.0,5,InsectsAbruptBalanced
1,40,100,250,0.0009071746605703,1.1985791983660465e-05,5,InsectsAbruptBalanced
1,10,1000,50,0.0008741790473062,0.0,5,InsectsAbruptBalanced
1,20,1000,50,0.0008741790473062,0.0,5,InsectsAbruptBalanced
1,40,1000,50,0.0008741790473062,0.0,5,InsectsAbruptBalanced
1,20,500,100,0.0007086539816228,0.0,5,InsectsAbruptBalanced
1,10,500,100,0.0007080262193005,0.0,5,InsectsAbruptBalanced
1,40,500,100,0.0007027994979927,0.0,5,InsectsAbruptBalanced
1,10,500,50,0.0006999558354823,0.0,5,InsectsAbruptBalanced
1,40,500,50,0.0006963143047992,0.0,5,InsectsAbruptBalanced
1,20,500,50,0.0006948040543295,0.0,5,InsectsAbruptBalanced
1,10,250,100,0.0005605347560488,1.277264789999822e-06,5,InsectsAbruptBalanced
1,20,250,100,0.0005591355825741,0.0,5,InsectsAbruptBalanced
1,40,250,100,0.0005465581351195,1.065382523908659e-06,5,InsectsAbruptBalanced
1,10,250,50,0.0004914588422339,0.0,5,InsectsAbruptBalanced
1,20,250,50,0.000491392910004,0.0,5,InsectsAbruptBalanced
1,40,250,50,0.000484482530245,0.0,5,InsectsAbruptBalanced
1,10,100,100,0.0004486630940965,1.860104451331448e-06,5,InsectsAbruptBalanced
1,20,100,100,0.0004449658928641,2.72103589033274e-08,5,InsectsAbruptBalanced
1,40,100,100,0.0004413246486284,0.0,5,InsectsAbruptBalanced
1,10,100,50,0.0002934050137721,4.795421507708023e-07,5,InsectsAbruptBalanced
1,40,100,50,0.0002927295687186,0.0,5,InsectsAbruptBalanced
1,20,100,50,0.0002926839722125,0.0,5,InsectsAbruptBalanced
4,40,1000,50,0.1540436456996148,0.0,5,InsectsGradualBalanced
4,10,1000,50,0.1540436456996148,0.0,5,InsectsGradualBalanced
4,20,1000,50,0.1540436456996148,0.0,5,InsectsGradualBalanced
4,10,500,50,0.0471300201723821,0.0,5,InsectsGradualBalanced
4,40,500,50,0.0471300201723821,0.0,5,InsectsGradualBalanced
4,20,500,50,0.0471300201723821,0.0,5,InsectsGradualBalanced
4,20,1000,100,0.0400792993498695,0.0,5,InsectsGradualBalanced
4,40,1000,100,0.0400792993498695,0.0,5,InsectsGradualBalanced
4,10,1000,100,0.0400792993498695,0.0,5,InsectsGradualBalanced
4,20,500,100,0.0269679903929769,0.0,5,InsectsGradualBalanced
4,40,500,100,0.0269679903929769,0.0,5,InsectsGradualBalanced
4,10,500,100,0.0269679903929769,0.0,5,InsectsGradualBalanced
4,10,1000,250,0.0195916040854206,0.0,5,InsectsGradualBalanced
4,40,1000,250,0.0195916040854206,0.0,5,InsectsGradualBalanced
4,20,1000,250,0.0195916040854206,0.0,5,InsectsGradualBalanced
4,20,250,50,0.0186172609753661,0.0,5,InsectsGradualBalanced
4,40,250,50,0.0186172609753661,0.0,5,InsectsGradualBalanced
4,10,250,50,0.0186172609753661,0.0,5,InsectsGradualBalanced
4,20,500,250,0.0168247132386434,0.0,5,InsectsGradualBalanced
4,10,500,250,0.0168247132386434,0.0,5,InsectsGradualBalanced
4,40,500,250,0.0168247132386434,0.0,5,InsectsGradualBalanced
4,10,100,250,0.0152830164900157,3.944515174837475e-06,5,InsectsGradualBalanced
4,20,100,250,0.0152815761567226,3.220683153672484e-06,5,InsectsGradualBalanced
4,40,100,250,0.0152801358234295,0.0,5,InsectsGradualBalanced
4,20,250,250,0.0141720154043645,0.0,5,InsectsGradualBalanced
4,40,250,250,0.0141720154043645,0.0,5,InsectsGradualBalanced
4,10,250,250,0.0141720154043645,0.0,5,InsectsGradualBalanced
4,20,250,100,0.009547706636613,0.0,5,InsectsGradualBalanced
4,40,250,100,0.009547706636613,0.0,5,InsectsGradualBalanced
4,10,250,100,0.009547706636613,0.0,5,InsectsGradualBalanced
4,40,100,50,0.0067651889941449,0.0,5,InsectsGradualBalanced
4,20,100,50,0.0067651889941449,0.0,5,InsectsGradualBalanced
4,10,100,50,0.0067651889941449,0.0,5,InsectsGradualBalanced
4,40,100,100,0.006742454321577,0.0,5,InsectsGradualBalanced
4,10,100,100,0.006742454321577,0.0,5,InsectsGradualBalanced
4,20,100,100,0.006742454321577,0.0,5,InsectsGradualBalanced
1,20,100,250,0.005697804056536,7.686046596746605e-05,5,InsectsGradualBalanced
1,10,100,250,0.0056034652160267,9.09394248188982e-05,5,InsectsGradualBalanced
1,40,100,250,0.0055882091789116,4.059506108202549e-05,5,InsectsGradualBalanced
1,40,1000,250,0.0054802993912791,0.0,5,InsectsGradualBalanced
1,10,1000,250,0.0054802993912791,0.0,5,InsectsGradualBalanced
1,20,1000,250,0.0054802993912791,0.0,5,InsectsGradualBalanced
1,40,500,250,0.0053119968431283,0.0,5,InsectsGradualBalanced
1,20,500,250,0.0053119968431283,0.0,5,InsectsGradualBalanced
1,10,500,250,0.0053119968431283,0.0,5,InsectsGradualBalanced
1,40,250,250,0.0047499551396193,0.0,5,InsectsGradualBalanced
1,20,250,250,0.0047308730305127,4.266889311629105e-05,5,InsectsGradualBalanced
1,10,250,250,0.0047308730305127,4.2668893116291e-05,5,InsectsGradualBalanced
1,20,1000,50,0.0045555918262862,0.0,5,InsectsGradualBalanced
1,40,1000,50,0.0045555918262862,0.0,5,InsectsGradualBalanced
1,10,1000,50,0.0045529028923786,0.0,5,InsectsGradualBalanced
1,10,1000,100,0.0044554613735086,0.0,5,InsectsGradualBalanced
1,20,1000,100,0.0044554613735086,0.0,5,InsectsGradualBalanced
1,40,1000,100,0.0044554613735086,0.0,5,InsectsGradualBalanced
1,10,500,100,0.0037074791872796,0.0,5,InsectsGradualBalanced
1,20,500,100,0.0037074791872796,0.0,5,InsectsGradualBalanced
1,40,500,100,0.0037074791872796,0.0,5,InsectsGradualBalanced
1,20,500,50,0.0028282744627106,0.0,5,InsectsGradualBalanced
1,40,500,50,0.0028282744627106,0.0,5,InsectsGradualBalanced
1,10,500,50,0.0028282744627106,0.0,5,InsectsGradualBalanced
1,20,250,100,0.0026309309348228,0.0,5,InsectsGradualBalanced
1,40,250,100,0.0026309309348228,0.0,5,InsectsGradualBalanced
1,10,250,100,0.0026309309348228,0.0,5,InsectsGradualBalanced
1,20,100,100,0.0025120805655158,0.0,5,InsectsGradualBalanced
1,10,100,100,0.002504142962331,1.211066930966685e-05,5,InsectsGradualBalanced
1,40,100,100,0.0024499683512479,0.0,5,InsectsGradualBalanced
1,20,250,50,0.0021581383542541,0.0,5,InsectsGradualBalanced
1,40,250,50,0.0021581383542541,0.0,5,InsectsGradualBalanced
1,10,250,50,0.0021581383542541,0.0,5,InsectsGradualBalanced
1,10,100,50,0.0017091859818266,0.0,5,InsectsGradualBalanced
1,20,100,50,0.0017085286868714,0.0,5,InsectsGradualBalanced
1,40,100,50,0.0017085286868714,0.0,5,InsectsGradualBalanced
4,10,1000,50,0.0033949993074681,0.0,5,InsectsIncrementalAbruptBalanced
4,40,1000,50,0.0033949993074681,0.0,5,InsectsIncrementalAbruptBalanced
4,20,1000,50,0.0033949993074681,0.0,5,InsectsIncrementalAbruptBalanced
4,40,500,50,0.0032931633396858,0.0,5,InsectsIncrementalAbruptBalanced
4,10,500,50,0.0032931633396858,0.0,5,InsectsIncrementalAbruptBalanced
4,20,500,50,0.0032931633396858,0.0,5,InsectsIncrementalAbruptBalanced
4,40,1000,100,0.0025962614469086,0.0,5,InsectsIncrementalAbruptBalanced
4,10,1000,100,0.0025962614469086,0.0,5,InsectsIncrementalAbruptBalanced
