n_consecutive_deviations,n_permutations,n_samples,update_interval,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
4,10,250,250,1,33,27,22,22,22,4,2,4,10,19,13,12,14.692307692307692,0.20405982905982906
4,20,250,250,2,31,25,23,24,24,7,3,5,11,20,15,10,15.384615384615385,0.2136752136752137
4,40,250,250,3,32,26,24,23,23,14,7,6,15,21,14,11,16.846153846153847,0.23397435897435898
1,20,250,250,4,44,47,41,44,39,16,20,11,43,28,17,34,29.846153846153847,0.41452991452991456
1,40,250,250,5,48,46,42,48,42,13,28,12,41,35,16,36,31.692307692307693,0.44017094017094016
1,10,250,250,6,43,48,40,40,37,15,19,9,48,29,18,35,29.76923076923077,0.4134615384615385
4,10,500,250,7,16,20,16,21,17,2,6,7,1,7,7,18,11.153846153846153,0.15491452991452992
1,10,1000,250,8,37,41,32,32,33,11,10,22,20,4,6,40,22.76923076923077,0.3162393162393162
4,10,1000,250,9,19,13,14,13,11,9,1,17,2,2,1,25,10.461538461538462,0.1452991452991453
4,20,500,250,10,17,19,17,19,18,5,8,8,3,12,8,16,12.307692307692308,0.17094017094017094
4,20,1000,250,11,20,15,15,15,10,12,5,16,4,3,2,26,11.846153846153847,0.16452991452991453
4,40,500,250,12,18,21,18,20,16,8,9,10,5,8,9,17,13.153846153846153,0.18269230769230768
1,20,1000,250,13,39,42,36,31,32,17,13,23,19,5,4,41,24.23076923076923,0.3365384615384615
4,40,1000,250,14,21,14,10,14,12,10,4,18,9,1,3,27,12.076923076923077,0.16773504273504272
1,10,500,250,15,42,45,31,37,34,1,12,20,21,17,11,37,24.846153846153847,0.3450854700854701
1,40,1000,250,16,38,40,35,33,31,18,14,24,24,6,5,42,25.076923076923077,0.3482905982905983
1,20,500,250,17,41,44,33,38,35,3,17,19,22,16,12,39,25.846153846153847,0.358974358974359
1,40,500,250,18,40,43,34,39,36,6,18,21,23,18,10,38,26.46153846153846,0.3675213675213675
4,20,100,250,19,26,23,21,26,27,20,15,2,42,23,21,3,20.615384615384617,0.28632478632478636
4,10,100,250,20,27,22,20,25,25,19,11,3,44,24,20,1,20.076923076923077,0.27884615384615385
4,40,100,250,21,25,24,19,30,26,21,26,1,40,22,19,2,21.23076923076923,0.2948717948717949
1,20,100,250,22,46,37,39,54,43,23,22,15,47,33,22,28,33.15384615384615,0.46047008547008544
1,10,100,250,23,47,38,37,52,45,22,21,13,46,34,24,30,33.23076923076923,0.46153846153846156
1,40,100,250,24,51,39,38,53,44,24,27,14,45,36,23,29,34.38461538461539,0.4775641025641026
4,20,500,100,25,15,10,11,10,15,26,29,32,30,31,29,23,22.0,0.3055555555555556
4,10,500,100,26,14,12,13,12,13,25,25,31,27,32,33,22,21.923076923076923,0.3044871794871795
4,40,500,100,27,13,11,12,11,14,27,30,33,34,30,31,24,22.846153846153847,0.3173076923076923
4,40,1000,100,28,10,8,7,5,8,31,23,30,39,15,36,45,21.923076923076923,0.3044871794871795
4,10,1000,100,29,11,9,8,6,7,30,16,28,37,14,35,43,21.0,0.2916666666666667
4,20,1000,100,30,12,7,9,4,9,28,24,29,38,13,34,44,21.615384615384617,0.30021367521367526
1,20,500,100,31,55,56,55,56,56,34,50,44,28,43,43,53,46.46153846153846,0.6452991452991452
1,40,500,100,32,57,57,57,57,57,35,51,45,36,45,45,54,48.30769230769231,0.6709401709401709
1,10,500,100,33,56,55,56,55,55,36,47,43,26,44,44,52,46.30769230769231,0.6431623931623931
1,40,1000,100,34,50,54,50,46,51,39,37,41,29,27,46,64,43.69230769230769,0.6068376068376069
1,20,1000,100,35,49,53,51,45,50,38,36,42,35,25,48,66,44.07692307692308,0.6121794871794872
1,10,1000,100,36,45,52,49,47,49,37,35,40,33,26,47,65,43.15384615384615,0.5993589743589743
4,20,250,100,37,22,28,29,28,30,40,38,35,62,47,30,14,33.84615384615385,0.4700854700854701
4,40,250,100,38,23,29,30,27,28,41,39,36,60,48,28,15,34.0,0.4722222222222222
4,10,250,100,39,24,30,28,29,29,42,34,34,63,46,32,13,34.07692307692308,0.47329059829059833
4,10,100,100,40,35,35,45,41,38,29,31,25,65,54,25,8,36.23076923076923,0.5032051282051282
4,20,100,100,41,34,36,44,43,40,32,32,26,66,52,27,9,37.07692307692308,0.514957264957265
4,40,100,100,42,36,34,43,42,41,33,33,27,64,53,26,7,37.0,0.5138888888888888
1,40,100,100,43,69,66,66,69,66,43,58,39,56,63,39,51,56.0,0.7777777777777778
1,10,100,100,44,67,65,64,67,64,45,55,37,57,61,38,49,54.84615384615385,0.7617521367521367
1,20,100,100,45,68,64,65,68,65,44,56,38,61,62,37,50,55.61538461538461,0.7724358974358974
1,10,250,100,46,61,63,61,61,60,47,44,46,54,55,40,46,52.61538461538461,0.7307692307692307
1,20,250,100,47,62,61,62,62,62,46,48,47,53,56,41,48,53.46153846153846,0.7425213675213675
1,40,250,100,48,63,62,63,63,63,48,49,48,52,57,42,47,54.23076923076923,0.7532051282051282
4,40,250,50,49,8,17,26,16,19,60,54,60,67,60,54,20,39.23076923076923,0.5448717948717949
4,20,250,50,50,9,16,25,18,21,58,53,59,72,58,52,21,39.38461538461539,0.5470085470085471
4,10,250,50,51,7,18,27,17,20,59,52,58,68,59,53,19,39.07692307692308,0.5427350427350428
4,20,1000,50,52,3,3,3,3,3,53,42,50,32,9,60,61,28.76923076923077,0.3995726495726496
4,40,1000,50,53,1,1,2,1,2,54,43,51,31,11,59,63,28.615384615384617,0.39743589743589747
4,10,1000,50,54,2,2,1,2,1,52,40,49,25,10,58,62,27.53846153846154,0.3824786324786325
