n_samples,outlier_detector_kwargs,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.8200657676943789,,1,Electricity
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.8161594314846284,,1,Electricity
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.8105757983712564,,1,Electricity
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6542471663481371,,1,InsectsAbruptBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6479648797471947,,1,InsectsAbruptBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.646640301246996,,1,InsectsAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6452968001967945,,1,InsectsAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6399227959959884,,1,InsectsAbruptBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6369708781955457,,1,InsectsAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6042916343406437,,1,InsectsAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.5960603250894091,,1,InsectsAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6929893577373805,,1,InsectsGradualBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6919127086007703,,1,InsectsGradualBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6849973083771584,,1,InsectsGradualBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.68296823885047,,1,InsectsGradualBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6824299142821649,,1,InsectsGradualBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6819744088782144,,1,InsectsGradualBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6808149405772496,,1,InsectsGradualBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6650378897676923,,1,InsectsGradualBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6444573274255663,,1,InsectsGradualBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.6412273800157356,,1,InsectsGradualBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6406476458652532,,1,InsectsGradualBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6023851919334134,,1,InsectsGradualBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6701506532474839,,1,InsectsIncrementalAbruptBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6695755454147653,,1,InsectsIncrementalAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6688254047633931,,1,InsectsIncrementalAbruptBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6644370819528662,,1,InsectsIncrementalAbruptBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6557604550853285,,1,InsectsIncrementalAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6536850659498656,,1,InsectsIncrementalAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6490216915671688,,1,InsectsIncrementalAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6460336313058699,,1,InsectsIncrementalAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6416578108395324,,1,InsectsIncrementalAbruptBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.563235526246558,,1,InsectsIncrementalBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.5585000964624586,,1,InsectsIncrementalBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.5494852412438396,,1,InsectsIncrementalBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.5340687865022713,,1,InsectsIncrementalBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.5142325972955434,,1,InsectsIncrementalBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.4462879492081309,,1,InsectsIncrementalBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.4442183910061911,,1,InsectsIncrementalBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6952303556916922,,1,InsectsIncrementalReoccurringBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6951053322497969,,1,InsectsIncrementalReoccurringBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6929299243608177,,1,InsectsIncrementalReoccurringBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.68882915546665,,1,InsectsIncrementalReoccurringBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6886416203038069,,1,InsectsIncrementalReoccurringBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6822904294555229,,1,InsectsIncrementalReoccurringBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6575482903044321,,1,InsectsIncrementalReoccurringBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6512846158654748,,1,InsectsIncrementalReoccurringBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6423204350815778,,1,InsectsIncrementalReoccurringBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6346314934050135,,1,InsectsIncrementalReoccurringBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6297805838594737,,1,InsectsIncrementalReoccurringBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.7989497374343586,,1,OutdoorObjects
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.7444361090272568,,1,OutdoorObjects
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.7014253563390848,,1,OutdoorObjects
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.700675168792198,,1,OutdoorObjects
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6959239809952488,,1,OutdoorObjects
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6561640410102526,,1,OutdoorObjects
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.6229057264316079,,1,OutdoorObjects
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.6179044761190298,,1,OutdoorObjects
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6124031007751938,,1,OutdoorObjects
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6071517879469868,,1,OutdoorObjects
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.5631407851962991,,1,OutdoorObjects
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.711624457308249,,1,PokerHand
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6878581765557163,,1,PokerHand
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.657638687891944,,1,PokerHand
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.6396695610226725,,1,PokerHand
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.5834842976814307,,1,RialtoBridgeTimelapse
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.5785359092511763,,1,RialtoBridgeTimelapse
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.5704507045678366,,1,RialtoBridgeTimelapse
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.5628275115806879,,1,RialtoBridgeTimelapse
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.5626451385427178,,1,RialtoBridgeTimelapse
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.5498303930746878,,1,RialtoBridgeTimelapse
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.5477756568468918,,1,RialtoBridgeTimelapse
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.5341584700117935,,1,RialtoBridgeTimelapse
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.5131977288477672,,1,RialtoBridgeTimelapse
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.5010638427214921,,1,RialtoBridgeTimelapse
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.4944254641393816,,1,RialtoBridgeTimelapse
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.4879086675825846,,1,RialtoBridgeTimelapse
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.440807790976182,,1,RialtoBridgeTimelapse
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.4400904570268331,,1,RialtoBridgeTimelapse
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.4300356235334168,,1,RialtoBridgeTimelapse
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.80722774960319,,1,SineClusters
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.7859871214174183,,1,WaveformDrift2
