n_samples,outlier_detector_kwargs,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0027864274448475,,1,Electricity
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0027861645613432,,1,Electricity
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0014555613686846,,1,Electricity
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0075841580411376,,1,InsectsAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0062641524905229,,1,InsectsAbruptBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0018889844360858,,1,InsectsAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0015316348646528,,1,InsectsAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0007965145910535,,1,InsectsAbruptBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0007635147192005,,1,InsectsAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0002273066401588,,1,InsectsAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0001925774946003,,1,InsectsAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.1349538283158723,,1,InsectsGradualBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0302327594969112,,1,InsectsGradualBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0158335184216173,,1,InsectsGradualBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0083839958705979,,1,InsectsGradualBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0081689812113432,,1,InsectsGradualBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0067402058374769,,1,InsectsGradualBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.005146358514419,,1,InsectsGradualBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0040990671287847,,1,InsectsGradualBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0039715553815516,,1,InsectsGradualBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0014927262781047,,1,InsectsGradualBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0013113621726109,,1,InsectsGradualBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0012864576863086,,1,InsectsGradualBalanced
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0083304310034321,,1,InsectsIncrementalAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0060199883969472,,1,InsectsIncrementalAbruptBalanced
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0034811138738999,,1,InsectsIncrementalAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0028682543331205,,1,InsectsIncrementalAbruptBalanced
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0028578193056867,,1,InsectsIncrementalAbruptBalanced
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0014613559370112,,1,InsectsIncrementalAbruptBalanced
