n_clusters,n_samples,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
2,100,0.05,0.8474542605548322,,1,Electricity
2,100,0.005,0.8457990333473108,,1,Electricity
3,100,0.05,0.8456445454746088,,1,Electricity
3,100,0.005,0.8453355697292049,,1,Electricity
3,250,0.05,0.8271942795347708,,1,Electricity
2,250,0.005,0.8260687250336562,,1,Electricity
3,250,0.005,0.824965240228642,,1,Electricity
3,500,0.005,0.8205513010085851,,1,Electricity
2,500,0.005,0.8188077950166626,,1,Electricity
2,250,0.05,0.818211913221955,,1,Electricity
3,500,0.05,0.8175277526428462,,1,Electricity
2,500,0.05,0.8173070556818433,,1,Electricity
2,1000,0.05,0.816976010240339,,1,Electricity
3,1000,0.05,0.8162918496612301,,1,Electricity
3,1000,0.005,0.8139303921784997,,1,Electricity
2,1000,0.005,0.8138641830901988,,1,Electricity
3,100,0.005,0.655893428198384,,1,InsectsAbruptBalanced
2,100,0.005,0.6558177379983726,,1,InsectsAbruptBalanced
3,100,0.05,0.6435937706965391,,1,InsectsAbruptBalanced
2,100,0.05,0.6427990235964198,,1,InsectsAbruptBalanced
2,250,0.05,0.6389388233958408,,1,InsectsAbruptBalanced
3,250,0.05,0.6380873086457131,,1,InsectsAbruptBalanced
2,250,0.005,0.6287584914943137,,1,InsectsAbruptBalanced
3,250,0.005,0.6286828012943024,,1,InsectsAbruptBalanced
2,500,0.05,0.6185024693927754,,1,InsectsAbruptBalanced
3,500,0.05,0.6181050958427158,,1,InsectsAbruptBalanced
3,500,0.005,0.6154748613923212,,1,InsectsAbruptBalanced
2,500,0.005,0.615380248642307,,1,InsectsAbruptBalanced
2,1000,0.005,0.6106496111415974,,1,InsectsAbruptBalanced
3,1000,0.005,0.6106117660415917,,1,InsectsAbruptBalanced
2,1000,0.05,0.6083978276912597,,1,InsectsAbruptBalanced
3,1000,0.05,0.6083978276912597,,1,InsectsAbruptBalanced
2,100,0.005,0.6907118307176281,,1,InsectsGradualBalanced
2,100,0.05,0.6838378400761936,,1,InsectsGradualBalanced
2,250,0.05,0.6591163195163361,,1,InsectsGradualBalanced
2,250,0.005,0.645202699904758,,1,InsectsGradualBalanced
3,100,0.005,0.6727136338063386,,1,InsectsIncrementalAbruptBalanced
2,100,0.005,0.6714133900106269,,1,InsectsIncrementalAbruptBalanced
3,100,0.05,0.6654747765205976,,1,InsectsIncrementalAbruptBalanced
2,100,0.05,0.6652372319809965,,1,InsectsIncrementalAbruptBalanced
3,250,0.05,0.6371819716196787,,1,InsectsIncrementalAbruptBalanced
2,250,0.05,0.6370819528661624,,1,InsectsIncrementalAbruptBalanced
2,250,0.005,0.6265424767143839,,1,InsectsIncrementalAbruptBalanced
3,250,0.005,0.6265424767143839,,1,InsectsIncrementalAbruptBalanced
2,500,0.05,0.6247046321185222,,1,InsectsIncrementalAbruptBalanced
3,500,0.05,0.6246796274301432,,1,InsectsIncrementalAbruptBalanced
3,1000,0.05,0.6197787085078452,,1,InsectsIncrementalAbruptBalanced
2,1000,0.05,0.6197662061636556,,1,InsectsIncrementalAbruptBalanced
2,500,0.005,0.6196536850659499,,1,InsectsIncrementalAbruptBalanced
3,500,0.005,0.6196536850659499,,1,InsectsIncrementalAbruptBalanced
2,1000,0.005,0.6161155216603114,,1,InsectsIncrementalAbruptBalanced
3,1000,0.005,0.6161155216603114,,1,InsectsIncrementalAbruptBalanced
3,100,0.005,0.5613588929617482,,1,InsectsIncrementalBalanced
2,100,0.005,0.5606047319220583,,1,InsectsIncrementalBalanced
2,250,0.05,0.5282459617307119,,1,InsectsIncrementalBalanced
3,250,0.05,0.528193345844222,,1,InsectsIncrementalBalanced
3,100,0.05,0.5205991195608327,,1,InsectsIncrementalBalanced
2,100,0.05,0.518196327411123,,1,InsectsIncrementalBalanced
3,100,0.05,0.6792398574732762,,1,InsectsIncrementalReoccurringBalanced
3,100,0.005,0.6787022566731262,,1,InsectsIncrementalReoccurringBalanced
2,100,0.05,0.6782646746264924,,1,InsectsIncrementalReoccurringBalanced
2,100,0.005,0.6782271675939239,,1,InsectsIncrementalReoccurringBalanced
2,1000,0.05,0.6454835281615303,,1,InsectsIncrementalReoccurringBalanced
3,1000,0.05,0.6454460211289617,,1,InsectsIncrementalReoccurringBalanced
3,1000,0.005,0.6447958992311058,,1,InsectsIncrementalReoccurringBalanced
2,250,0.005,0.6445833593798838,,1,InsectsIncrementalReoccurringBalanced
3,250,0.005,0.6445833593798838,,1,InsectsIncrementalReoccurringBalanced
2,250,0.05,0.6445708570356942,,1,InsectsIncrementalReoccurringBalanced
3,250,0.05,0.6445458523473151,,1,InsectsIncrementalReoccurringBalanced
2,500,0.05,0.6440582609239233,,1,InsectsIncrementalReoccurringBalanced
3,500,0.05,0.6440582609239233,,1,InsectsIncrementalReoccurringBalanced
2,1000,0.005,0.6440457585797337,,1,InsectsIncrementalReoccurringBalanced
2,500,0.005,0.6423454397699568,,1,InsectsIncrementalReoccurringBalanced
3,500,0.005,0.642045383509408,,1,InsectsIncrementalReoccurringBalanced
