n_clusters,n_samples,threshold,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
2,100,0.05,1,4,2.0,4,6.0,3,12,4.0,1,3.0,3,,1,3.6666666666666665,0.22916666666666666
2,100,0.005,2,2,1.0,2,2.0,4,15,1.0,3,8.0,1,3.0,3,3.6153846153846154,0.22596153846153846
3,100,0.05,3,3,,3,5.0,1,14,3.0,2,1.0,4,1.0,2,3.5,0.21875
3,100,0.005,4,1,,1,1.0,2,16,2.0,4,14.0,2,2.0,4,4.416666666666667,0.2760416666666667
3,250,0.05,5,6,,5,4.0,11,10,8.0,8,6.0,6,,6,6.818181818181818,0.42613636363636365
2,250,0.005,6,7,4.0,7,,8,1,6.0,5,11.0,7,4.0,7,6.083333333333333,0.3802083333333333
3,250,0.005,7,8,,8,,9,4,5.0,6,12.0,8,5.0,8,7.2727272727272725,0.45454545454545453
3,500,0.005,8,11,,14,,16,5,10.0,12,5.0,11,9.0,12,10.272727272727273,0.6420454545454546
2,500,0.005,9,12,,13,,15,2,9.0,11,9.0,10,10.0,11,10.090909090909092,0.6306818181818182
2,250,0.05,10,5,3.0,6,3.0,10,9,7.0,7,2.0,5,,5,6.0,0.375
3,500,0.05,11,10,,10,,13,8,,9,15.0,9,6.0,10,10.1,0.63125
2,500,0.05,12,9,,9,,12,7,,10,13.0,12,7.0,9,10.0,0.625
2,1000,0.05,13,15,,12,,5,13,12.0,13,7.0,14,8.0,13,11.363636363636363,0.7102272727272727
3,1000,0.05,14,16,,11,,6,11,14.0,14,10.0,13,11.0,14,12.181818181818182,0.7613636363636364
3,1000,0.005,15,14,,16,,7,6,13.0,16,,16,13.0,16,13.2,0.825
2,1000,0.005,16,13,,15,,14,3,11.0,15,4.0,15,12.0,15,12.090909090909092,0.7556818181818182
