n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
3,1000,0.005,0.0032663150228421,,1,Electricity
2,1000,0.005,0.0032644758815004,,1,Electricity
2,1000,0.05,0.0032603502401123,,1,Electricity
3,1000,0.05,0.0032418594136499,,1,Electricity
3,500,0.005,0.0017744035664628,,1,Electricity
2,500,0.005,0.0017494963380068,,1,Electricity
3,500,0.05,0.0015339835605906,,1,Electricity
2,500,0.05,0.0015311899281729,,1,Electricity
3,250,0.005,0.0007795284174088,,1,Electricity
2,250,0.005,0.000767607536553,,1,Electricity
3,250,0.05,0.0007520185527505,,1,Electricity
2,250,0.05,0.0006924367151464,,1,Electricity
3,100,0.005,0.0003616323261481,,1,Electricity
2,100,0.005,0.0003550023325204,,1,Electricity
2,100,0.05,0.0003411088243761,,1,Electricity
3,100,0.05,0.0003408709911379,,1,Electricity
2,1000,0.005,0.0385641569057846,,1,InsectsAbruptBalanced
3,1000,0.005,0.0385515418724493,,1,InsectsAbruptBalanced
2,1000,0.05,0.028360171816754,,1,InsectsAbruptBalanced
3,1000,0.05,0.028360171816754,,1,InsectsAbruptBalanced
3,500,0.005,0.0241035441936155,,1,InsectsAbruptBalanced
2,500,0.005,0.0240846216436126,,1,InsectsAbruptBalanced
2,500,0.05,0.0205908881614219,,1,InsectsAbruptBalanced
3,500,0.05,0.020524659236412,,1,InsectsAbruptBalanced
2,250,0.005,0.0191144787242957,,1,InsectsAbruptBalanced
3,250,0.005,0.0191036658385798,,1,InsectsAbruptBalanced
2,250,0.05,0.0130892439065088,,1,InsectsAbruptBalanced
3,250,0.05,0.013011833474679,,1,InsectsAbruptBalanced
3,100,0.005,0.0018498423882085,,1,InsectsAbruptBalanced
2,100,0.005,0.0018279613360696,,1,InsectsAbruptBalanced
3,100,0.05,0.0006351992746679,,1,InsectsAbruptBalanced
2,100,0.05,0.0006211843830763,,1,InsectsAbruptBalanced
2,250,0.005,0.1563625823015446,,1,InsectsGradualBalanced
2,250,0.05,0.0816596960536668,,1,InsectsGradualBalanced
2,100,0.005,0.0091854947542553,,1,InsectsGradualBalanced
2,100,0.05,0.0029526076031472,,1,InsectsGradualBalanced
2,500,0.005,0.0784428330311933,,1,InsectsIncrementalAbruptBalanced
3,500,0.005,0.0784428330311933,,1,InsectsIncrementalAbruptBalanced
2,1000,0.005,0.0775582921797837,,1,InsectsIncrementalAbruptBalanced
3,1000,0.005,0.0775582921797837,,1,InsectsIncrementalAbruptBalanced
2,500,0.05,0.0455460398824779,,1,InsectsIncrementalAbruptBalanced
3,500,0.05,0.0455424677841381,,1,InsectsIncrementalAbruptBalanced
3,1000,0.05,0.0448423365095241,,1,InsectsIncrementalAbruptBalanced
2,1000,0.05,0.0448405504603541,,1,InsectsIncrementalAbruptBalanced
2,250,0.005,0.0356289026414674,,1,InsectsIncrementalAbruptBalanced
3,250,0.005,0.0356289026414674,,1,InsectsIncrementalAbruptBalanced
3,250,0.05,0.0194882128634413,,1,InsectsIncrementalAbruptBalanced
2,250,0.05,0.0183999777736103,,1,InsectsIncrementalAbruptBalanced
3,100,0.005,0.0018620877201277,,1,InsectsIncrementalAbruptBalanced
2,100,0.005,0.0018461163488356,,1,InsectsIncrementalAbruptBalanced
3,100,0.05,0.0007700051896775,,1,InsectsIncrementalAbruptBalanced
2,100,0.05,0.0007662150939015,,1,InsectsIncrementalAbruptBalanced
2,250,0.05,0.1767893786063805,,1,InsectsIncrementalBalanced
3,250,0.05,0.1767630706631355,,1,InsectsIncrementalBalanced
3,100,0.005,0.0085931486320843,,1,InsectsIncrementalBalanced
2,100,0.005,0.0082114367532788,,1,InsectsIncrementalBalanced
3,100,0.05,0.00163175431624,,1,InsectsIncrementalBalanced
2,100,0.05,0.0015474284815007,,1,InsectsIncrementalBalanced
3,1000,0.005,0.1004438332187285,,1,InsectsIncrementalReoccurringBalanced
2,1000,0.005,0.1002562980558854,,1,InsectsIncrementalReoccurringBalanced
3,500,0.005,0.0798049634306432,,1,InsectsIncrementalReoccurringBalanced
2,500,0.005,0.0665541455689608,,1,InsectsIncrementalReoccurringBalanced
2,1000,0.05,0.057494708829334,,1,InsectsIncrementalReoccurringBalanced
3,1000,0.05,0.0574893506818242,,1,InsectsIncrementalReoccurringBalanced
2,500,0.05,0.0501297118209664,,1,InsectsIncrementalReoccurringBalanced
3,500,0.05,0.0501297118209664,,1,InsectsIncrementalReoccurringBalanced
2,250,0.005,0.0401562793023691,,1,InsectsIncrementalReoccurringBalanced
3,250,0.005,0.0401562793023691,,1,InsectsIncrementalReoccurringBalanced
2,250,0.05,0.0267700193786334,,1,InsectsIncrementalReoccurringBalanced
3,250,0.05,0.0267683523994082,,1,InsectsIncrementalReoccurringBalanced
3,100,0.005,0.0022810559702457,,1,InsectsIncrementalReoccurringBalanced
2,100,0.005,0.002254956483097,,1,InsectsIncrementalReoccurringBalanced
3,100,0.05,0.0009608354429891,,1,InsectsIncrementalReoccurringBalanced
2,100,0.05,0.0009503146468783,,1,InsectsIncrementalReoccurringBalanced
2,250,0.005,0.0549069280757792,,1,NOAAWeather
2,500,0.005,0.0549069280757792,,1,NOAAWeather
2,1000,0.005,0.0549069280757792,,1,NOAAWeather
3,250,0.005,0.0549069280757792,,1,NOAAWeather
3,500,0.005,0.0549069280757792,,1,NOAAWeather
3,1000,0.005,0.0549069280757792,,1,NOAAWeather
2,500,0.05,0.0238187025002753,,1,NOAAWeather
3,500,0.05,0.0234882696332194,,1,NOAAWeather
2,250,0.05,0.0232955171274369,,1,NOAAWeather
3,250,0.05,0.023047692477145,,1,NOAAWeather
3,1000,0.05,0.0221665381649961,,1,NOAAWeather
2,1000,0.05,0.0209549509857913,,1,NOAAWeather
3,100,0.005,0.0004008415581373,,1,NOAAWeather
2,100,0.005,0.000395023653826,,1,NOAAWeather
2,100,0.05,0.0003662062258824,,1,NOAAWeather
3,100,0.05,0.0003487902485589,,1,NOAAWeather
2,1000,0.005,0.1072768192048011,,1,OutdoorObjects
2,1000,0.05,0.1072768192048011,,1,OutdoorObjects
3,1000,0.005,0.1072768192048011,,1,OutdoorObjects
3,1000,0.05,0.1072768192048011,,1,OutdoorObjects
2,500,0.005,0.0457197632741518,,1,OutdoorObjects
3,500,0.005,0.0457197632741518,,1,OutdoorObjects
3,250,0.005,0.0252741756867788,,1,OutdoorObjects
2,250,0.005,0.0251312828207051,,1,OutdoorObjects
2,250,0.05,0.0213803450862715,,1,OutdoorObjects
3,250,0.05,0.0213803450862715,,1,OutdoorObjects
2,100,0.005,0.0107724299495926,,1,OutdoorObjects
3,100,0.005,0.0107724299495926,,1,OutdoorObjects
3,100,0.05,0.0107461075795264,,1,OutdoorObjects
2,100,0.05,0.0106342375067451,,1,OutdoorObjects
3,1000,0.005,0.0002621632510736,,1,PokerHand
2,1000,0.005,0.0002612727786537,,1,PokerHand
3,1000,0.05,0.0002384069884586,,1,PokerHand
2,1000,0.05,0.0002368637330045,,1,PokerHand
3,500,0.005,0.0001371303055914,,1,PokerHand
2,500,0.005,0.0001363704064324,,1,PokerHand
3,500,0.05,0.0001256407158934,,1,PokerHand
2,500,0.05,0.0001225839038592,,1,PokerHand
3,250,0.005,8.130589219372088e-05,,1,PokerHand
2,250,0.005,8.076044698422857e-05,,1,PokerHand
3,250,0.05,7.037090362219414e-05,,1,PokerHand
2,250,0.05,6.998302720240936e-05,,1,PokerHand
3,100,0.005,3.54089433064004e-05,,1,PokerHand
2,100,0.005,3.5255217139360285e-05,,1,PokerHand
3,100,0.05,3.342712545874149e-05,,1,PokerHand
2,100,0.05,3.332767268725062e-05,,1,PokerHand
2,1000,0.005,0.0216526882079727,,1,Powersupply
3,500,0.005,0.0055022777647831,,1,Powersupply
2,1000,0.05,0.0053908956237956,,1,Powersupply
3,1000,0.05,0.0051013020572281,,1,Powersupply
2,500,0.005,0.0031008788050923,,1,Powersupply
2,250,0.005,0.0030206836635813,,1,Powersupply
3,250,0.005,0.0028602933805593,,1,Powersupply
3,500,0.05,0.0020438622871208,,1,Powersupply
3,250,0.05,0.0020424700103585,,1,Powersupply
2,500,0.05,0.0018664464482621,,1,Powersupply
2,250,0.05,0.0018656508615408,,1,Powersupply
2,100,0.005,0.0015671467236943,,1,Powersupply
3,100,0.005,0.0015537808667758,,1,Powersupply
3,100,0.05,0.0008401395777343,,1,Powersupply
2,100,0.05,0.0007103306217171,,1,Powersupply
2,1000,0.005,0.0027855792910687,,1,RialtoBridgeTimelapse
3,1000,0.005,0.0027810199651194,,1,RialtoBridgeTimelapse
3,1000,0.05,0.0027499189314372,,1,RialtoBridgeTimelapse
2,1000,0.05,0.0027492527285588,,1,RialtoBridgeTimelapse
2,500,0.005,0.001774775497985,,1,RialtoBridgeTimelapse
3,500,0.005,0.0017742923905997,,1,RialtoBridgeTimelapse
3,500,0.05,0.0017633393079167,,1,RialtoBridgeTimelapse
2,500,0.05,0.0017598998164111,,1,RialtoBridgeTimelapse
2,250,0.005,0.0011028450653511,,1,RialtoBridgeTimelapse
3,250,0.005,0.0010994608234094,,1,RialtoBridgeTimelapse
3,250,0.05,0.001086146313761,,1,RialtoBridgeTimelapse
2,250,0.05,0.0010852006306054,,1,RialtoBridgeTimelapse
2,100,0.005,0.0005081333768186,,1,RialtoBridgeTimelapse
3,100,0.005,0.0005079446968122,,1,RialtoBridgeTimelapse
3,100,0.05,0.0004699263155671,,1,RialtoBridgeTimelapse
2,100,0.05,0.0004688946455577,,1,RialtoBridgeTimelapse
2,1000,0.05,0.0153682698222205,,1,SineClusters
3,500,0.005,0.0153424610394917,,1,SineClusters
2,500,0.005,0.0153400952344082,,1,SineClusters
3,1000,0.05,0.0153263305502862,,1,SineClusters
2,1000,0.005,0.0150273788170114,,1,SineClusters
3,1000,0.005,0.0149428550535747,,1,SineClusters
3,500,0.05,0.0111893363025723,,1,SineClusters
2,500,0.05,0.0090305923413429,,1,SineClusters
3,250,0.005,0.0008037016246628,,1,SineClusters
2,250,0.005,0.0007838791327096,,1,SineClusters
3,100,0.005,0.000326921100727,,1,SineClusters
3,100,0.05,0.0003237018223968,,1,SineClusters
2,100,0.005,0.0003225345642116,,1,SineClusters
2,100,0.05,0.0118268746854554,,1,WaveformDrift2
3,100,0.05,0.0118264445390766,,1,WaveformDrift2
2,100,0.005,0.0118057975128936,,1,WaveformDrift2
3,100,0.005,0.0118055824397042,,1,WaveformDrift2
2,250,0.05,0.0117752571199979,,1,WaveformDrift2
3,250,0.05,0.0117720310221568,,1,WaveformDrift2
2,250,0.005,0.011730306823412,,1,WaveformDrift2
3,250,0.005,0.0117281560915179,,1,WaveformDrift2
2,500,0.05,0.0116958951131069,,1,WaveformDrift2
3,500,0.05,0.0116933142348341,,1,WaveformDrift2
2,500,0.005,0.0116031985684728,,1,WaveformDrift2
3,500,0.005,0.0115986820314953,,1,WaveformDrift2
2,1000,0.05,0.0115526563689623,,1,WaveformDrift2
3,1000,0.05,0.0115502905638788,,1,WaveformDrift2
2,1000,0.005,0.0113986639653474,,1,WaveformDrift2
3,1000,0.005,0.0113861897203618,,1,WaveformDrift2
