n_clusters,n_samples,threshold,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
3,1000,0.005,1,2,,4,,1,6,3.0,1,,2,6.0,16,4.2,0.2625
2,1000,0.005,2,1,,3,,2,3,1.0,2,1.0,1,5.0,15,3.272727272727273,0.20454545454545456
2,1000,0.05,3,3,,8,,5,12,2.0,4,3.0,4,1.0,13,5.2727272727272725,0.32954545454545453
3,1000,0.05,4,4,,7,,6,11,4.0,3,4.0,3,4.0,14,5.818181818181818,0.36363636363636365
3,500,0.005,5,5,,2,,3,5,6.0,5,2.0,6,2.0,12,4.818181818181818,0.30113636363636365
2,500,0.005,6,6,,1,,4,2,5.0,6,5.0,5,3.0,11,4.909090909090909,0.3068181818181818
3,500,0.05,7,8,,6,,8,8,,7,8.0,7,7.0,10,7.6,0.475
2,500,0.05,8,7,,5,,7,7,,8,10.0,8,8.0,9,7.7,0.48125
3,250,0.005,9,10,,10,,10,4,7.0,9,7.0,10,9.0,8,8.454545454545455,0.5284090909090909
2,250,0.005,10,9,1.0,9,,9,1,8.0,10,6.0,9,10.0,7,7.416666666666667,0.4635416666666667
3,250,0.05,11,12,,11,2.0,12,10,10.0,11,9.0,11,,6,9.545454545454545,0.5965909090909091
2,250,0.05,12,11,2.0,12,1.0,11,9,9.0,12,11.0,12,,5,8.916666666666666,0.5572916666666666
3,100,0.005,13,13,,13,3.0,13,13,12.0,13,13.0,14,11.0,4,11.25,0.703125
2,100,0.005,14,14,3.0,14,4.0,14,14,11.0,14,12.0,13,13.0,3,11.0,0.6875
2,100,0.05,15,16,4.0,16,6.0,16,15,14.0,16,15.0,16,,1,12.5,0.78125
3,100,0.05,16,15,,15,5.0,15,16,13.0,15,14.0,15,12.0,2,12.75,0.796875
