disjoint_training_windows,n_samples,n_windows,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
False,250,50,1.0,10.0,2.0,10.0,8.0,9.0,10.0,3.0,5.0,11.0,2.0,7.0,10,6.769230769230769,0.28205128205128205
False,100,250,2.0,8.0,6.0,5.0,9.0,11.0,15.0,7.0,12.0,3.0,5.0,5.0,3,7.0,0.2916666666666667
False,100,50,3.0,11.0,7.0,12.0,11.0,12.0,4.0,1.0,2.0,12.0,3.0,11.0,1,6.923076923076923,0.2884615384615385
False,100,100,4.0,12.0,8.0,11.0,10.0,10.0,5.0,2.0,1.0,9.0,1.0,14.0,2,6.846153846153846,0.28525641025641024
False,250,100,5.0,9.0,4.0,8.0,7.0,6.0,7.0,4.0,3.0,10.0,4.0,13.0,6,6.615384615384615,0.2756410256410256
False,500,100,6.0,6.0,1.0,3.0,3.0,1.0,8.0,6.0,7.0,7.0,8.0,12.0,13,6.230769230769231,0.25961538461538464
False,500,50,7.0,4.0,,4.0,4.0,3.0,12.0,,6.0,5.0,7.0,8.0,16,6.909090909090909,0.2878787878787879
False,250,250,8.0,2.0,5.0,2.0,6.0,7.0,13.0,5.0,4.0,8.0,6.0,2.0,4,5.538461538461538,0.23076923076923075
False,500,250,9.0,1.0,3.0,1.0,5.0,2.0,6.0,,8.0,6.0,10.0,1.0,7,4.916666666666667,0.20486111111111113
False,1000,50,10.0,5.0,,9.0,,4.0,11.0,,11.0,1.0,,15.0,15,9.0,0.375
False,1000,100,11.0,3.0,,6.0,2.0,5.0,9.0,,10.0,2.0,,16.0,14,7.8,0.325
False,1000,250,12.0,7.0,,7.0,1.0,8.0,14.0,,9.0,4.0,9.0,10.0,12,8.454545454545455,0.3522727272727273
True,250,25,,,,13.0,,,,,,,,,8,10.5,0.4375
True,500,25,,,,14.0,,13.0,,,,,,,11,12.666666666666666,0.5277777777777778
True,50,25,,,,,,,1.0,,,,,4.0,20,8.333333333333334,0.34722222222222227
True,50,50,,,,,,,2.0,,,,,9.0,22,11.0,0.4583333333333333
True,100,25,,,,,,,3.0,,,,,6.0,5,4.666666666666667,0.19444444444444445
True,100,50,,,,,,,,,,,,3.0,17,10.0,0.4166666666666667
True,50,100,,,,,,,,,,,,17.0,24,20.5,0.8541666666666666
True,250,50,,,,,,,,,,,,,9,9.0,0.375
True,250,100,,,,,,,,,,,,,18,18.0,0.75
True,500,50,,,,,,,,,,,,,19,19.0,0.7916666666666666
True,500,100,,,,,,,,,,,,,21,21.0,0.875
True,100,100,,,,,,,,,,,,,23,23.0,0.9583333333333334
