disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (ht) (std),count,stream
False,1000,250,0.0059980529623662,,1,Electricity
False,1000,50,0.0027124707445159,,1,Electricity
False,1000,100,0.002538516635535,,1,Electricity
False,500,100,0.0014322984794971,,1,Electricity
False,500,50,0.001406261197581,,1,Electricity
False,500,250,0.0013834475791403,,1,Electricity
False,250,50,0.0010463341740679,,1,Electricity
False,100,250,0.0010245938764169,,1,Electricity
False,100,100,0.0009771153599363,,1,Electricity
False,250,100,0.0009577259912175,,1,Electricity
False,100,50,0.0009501083558568,,1,Electricity
False,250,250,0.0007409867427203,,1,Electricity
False,1000,250,0.0039283213805892,,1,InsectsAbruptBalanced
False,1000,100,0.0033559930869617,,1,InsectsAbruptBalanced
False,1000,50,0.0031899634794784,,1,InsectsAbruptBalanced
False,100,250,0.0020147536134601,,1,InsectsAbruptBalanced
False,500,250,0.0019581419514985,,1,InsectsAbruptBalanced
False,500,100,0.0015923325827388,,1,InsectsAbruptBalanced
False,500,50,0.0015716847414122,,1,InsectsAbruptBalanced
False,250,250,0.0011783085698847,,1,InsectsAbruptBalanced
False,250,100,0.0008313513771738,,1,InsectsAbruptBalanced
False,250,50,0.0007907634053817,,1,InsectsAbruptBalanced
False,100,100,0.0006892313570081,,1,InsectsAbruptBalanced
False,100,50,0.0006593648560079,,1,InsectsAbruptBalanced
False,100,250,0.0289076528672371,,1,InsectsGradualBalanced
False,500,250,0.0079496986511769,,1,InsectsGradualBalanced
False,500,100,0.0076131957360465,,1,InsectsGradualBalanced
False,250,250,0.0061848726889741,,1,InsectsGradualBalanced
False,250,100,0.0042830799935994,,1,InsectsGradualBalanced
False,250,50,0.0038765739622917,,1,InsectsGradualBalanced
False,100,100,0.0024011036468799,,1,InsectsGradualBalanced
False,100,50,0.0017820078622372,,1,InsectsGradualBalanced
True,250,25,0.079661811589673,,1,InsectsIncrementalAbruptBalanced
True,500,25,0.045247769671099,,1,InsectsIncrementalAbruptBalanced
False,1000,250,0.0060249001605833,,1,InsectsIncrementalAbruptBalanced
False,1000,100,0.0051978055744607,,1,InsectsIncrementalAbruptBalanced
