disjoint_training_windows,n_samples,n_windows,Electricity,InsectsAbruptBalanced,InsectsGradualBalanced,InsectsIncrementalAbruptBalanced,InsectsIncrementalBalanced,InsectsIncrementalReoccurringBalanced,NOAAWeather,OutdoorObjects,PokerHand,Powersupply,RialtoBridgeTimelapse,SineClusters,WaveformDrift2,mean rank,mean % rank
False,1000,250,1.0,1.0,,3.0,1.0,2.0,7.0,,2.0,4.0,1.0,8.0,19,4.454545454545454,0.18560606060606058
False,1000,50,2.0,3.0,,5.0,,4.0,6.0,,4.0,2.0,,11.0,21,6.444444444444445,0.26851851851851855
False,1000,100,3.0,2.0,,4.0,2.0,3.0,5.0,,3.0,1.0,,9.0,20,5.2,0.21666666666666667
False,500,100,4.0,6.0,3.0,7.0,4.0,6.0,9.0,2.0,6.0,7.0,3.0,12.0,23,7.076923076923077,0.2948717948717949
False,500,50,5.0,7.0,,8.0,5.0,7.0,10.0,,5.0,5.0,4.0,14.0,24,8.545454545454545,0.356060606060606
False,500,250,6.0,5.0,2.0,6.0,3.0,5.0,8.0,,7.0,6.0,2.0,7.0,18,6.25,0.2604166666666667
False,250,50,7.0,10.0,6.0,12.0,8.0,10.0,13.0,5.0,8.0,11.0,7.0,17.0,22,10.461538461538462,0.4358974358974359
False,100,250,8.0,4.0,1.0,10.0,9.0,11.0,11.0,1.0,1.0,3.0,8.0,4.0,13,6.461538461538462,0.2692307692307692
False,100,100,9.0,11.0,7.0,13.0,10.0,12.0,14.0,6.0,11.0,9.0,9.0,10.0,11,10.153846153846153,0.4230769230769231
False,250,100,10.0,9.0,5.0,11.0,7.0,9.0,12.0,4.0,9.0,10.0,6.0,15.0,17,9.538461538461538,0.3974358974358974
False,100,50,11.0,12.0,8.0,14.0,11.0,13.0,15.0,7.0,12.0,12.0,10.0,16.0,12,11.76923076923077,0.4903846153846154
False,250,250,12.0,8.0,4.0,9.0,6.0,8.0,4.0,3.0,10.0,8.0,5.0,13.0,14,8.0,0.3333333333333333
True,250,25,,,,1.0,,,,,,,,,9,5.0,0.20833333333333334
True,500,25,,,,2.0,,1.0,,,,,,,7,3.3333333333333335,0.1388888888888889
True,50,25,,,,,,,1.0,,,,,3.0,16,6.666666666666667,0.2777777777777778
True,50,50,,,,,,,2.0,,,,,6.0,8,5.333333333333333,0.2222222222222222
True,100,25,,,,,,,3.0,,,,,5.0,15,7.666666666666667,0.3194444444444445
True,50,100,,,,,,,,,,,,1.0,1,1.0,0.041666666666666664
True,100,50,,,,,,,,,,,,2.0,10,6.0,0.25
True,100,100,,,,,,,,,,,,,2,2.0,0.08333333333333333
True,500,100,,,,,,,,,,,,,3,3.0,0.125
True,250,100,,,,,,,,,,,,,4,4.0,0.16666666666666666
True,500,50,,,,,,,,,,,,,5,5.0,0.20833333333333334
True,250,50,,,,,,,,,,,,,6,6.0,0.25
