seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1733189705,True,50,25,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189711,True,50,50,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189717,True,50,100,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189724,True,100,25,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189731,True,100,50,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189737,True,100,100,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189744,True,250,25,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189752,True,250,50,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189760,True,250,100,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189767,True,500,25,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189777,True,500,50,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
1733189785,True,500,100,0.0,0.0,0.6963430513561828,0.7032287965394717,0.7969587958773807,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.7917932172944457,0.698781580466811,[]
