seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734287984,True,50,25,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734287996,True,50,50,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288007,True,50,100,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288019,True,100,25,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288031,True,100,50,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288042,True,100,100,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288054,True,250,25,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288065,True,250,50,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288077,True,250,100,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288088,True,500,25,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288100,True,500,50,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1734288111,True,500,100,0.0,0.0,0.3580895223805951,0.3328332083020755,0.5586396599149788,0.4998749687421855,0.3091919346654753,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
