confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.01,0.01,2,500,0.001426504902482,0.001212830117511,0.6963430513561828,0.7032287965394717,0.8218754827746022,0.8099578468804485,0.6326115658062732,0.6675166905378538,0.8153753133205137,0.8027216318402106,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.01,2,1000,0.0037317849769572,0.0026376630733188,0.6963430513561828,0.7032287965394717,0.8194919555957714,0.7902716779589946,0.6326115658062732,0.6675166905378538,0.8138209936188513,0.7826107472844097,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.01,3,100,0.0003245835935469,0.0002930696581245,0.6963430513561828,0.7032287965394717,0.8404581668910419,0.8333517247467503,0.6326115658062732,0.6675166905378538,0.8357417060918928,0.82858753480648,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.01,3,500,0.0013594431213773,0.0011374922003686999,0.6963430513561828,0.7032287965394717,0.8159740460373861,0.803328110171923,0.6326115658062732,0.6675166905378538,0.8088885251058361,0.7958186346891469,88.0,2.018836665935071e-06,2.0188366659352095e-06,0.0,0.0,0.00017765762660280256,0.00017765762660280256,0.0,0.0,0.00020105785556787274,0.00020205852354927126,0.0,5
0.01,0.01,3,1000,0.0033429459120791994,0.00245893197384,0.6963430513561828,0.7032287965394717,0.8166891041910352,0.7917503475977136,0.6326115658062732,0.6675166905378538,0.8104273562793349,0.7830397299485399,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.1,2,500,0.001426504902482,0.001212830117511,0.6963430513561828,0.7032287965394717,0.8218754827746022,0.8099578468804485,0.6326115658062732,0.6675166905378538,0.8153753133205137,0.8027216318402106,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.1,2,1000,0.0037317849769572,0.0026376630733188,0.6963430513561828,0.7032287965394717,0.8194919555957714,0.7902716779589946,0.6326115658062732,0.6675166905378538,0.8138209936188513,0.7826107472844097,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.1,3,100,0.0003245835935469,0.0002930696581245,0.6963430513561828,0.7032287965394717,0.8404581668910419,0.8333517247467503,0.6326115658062732,0.6675166905378538,0.8357417060918928,0.82858753480648,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.1,3,500,0.0013585402701732,0.0011365893491646,0.6963430513561828,0.7032287965394717,0.8158945951314249,0.803248659265962,0.6326115658062732,0.6675166905378538,0.808798609299344,0.7957282713703291,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.1,3,1000,0.0033429459120791994,0.00245893197384,0.6963430513561828,0.7032287965394717,0.8166891041910352,0.7917503475977136,0.6326115658062732,0.6675166905378538,0.8104273562793349,0.7830397299485399,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.01,2,500,0.0013802239156649,0.0011820925989894,0.6963430513561828,0.7032287965394717,0.8191829798503674,0.8084350378495289,0.6326115658062732,0.6675166905378538,0.8123670179506259,0.8011146365665909,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.01,2,1000,0.0029105725404637,0.0020209536000403,0.6963430513561828,0.7032287965394717,0.8185870980556598,0.7881088477411666,0.6326115658062732,0.6675166905378538,0.8123214930770424,0.7808653671344397,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.01,3,100,0.0003231318088268,0.0003107944063298,0.6963430513561828,0.7032287965394717,0.8414292335194544,0.8427754849815718,0.6326115658062732,0.6675166905378538,0.8367766093604263,0.838494541664906,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.01,3,500,0.0013405480575071,0.0011592789805486,0.6963430513561828,0.7032287965394717,0.8156518284743219,0.8064046258083026,0.6326115658062732,0.6675166905378538,0.8088949830470298,0.7993278260227363,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.01,3,1000,0.0026152589878837,0.0019581839448979,0.6963430513561828,0.7032287965394717,0.8114144468230673,0.7893888901149831,0.6326115658062732,0.6675166905378538,0.804356796200425,0.7798748683585752,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.1,2,500,0.0013802239156649003,0.0011820925989894,0.6963430513561827,0.7032287965394716,0.8191829798503675,0.8084350378495287,0.6326115658062732,0.6675166905378539,0.8123670179506259,0.801114636566591,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0.1,0.1,2,1000,0.0029105725404637,0.0020209536000403,0.6963430513561828,0.7032287965394717,0.8185870980556598,0.7881088477411666,0.6326115658062732,0.6675166905378538,0.8123214930770424,0.7808653671344397,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.1,3,100,0.0003231318088268,0.0003107944063298,0.6963430513561828,0.7032287965394717,0.8414292335194544,0.8427754849815718,0.6326115658062732,0.6675166905378538,0.8367766093604263,0.838494541664906,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.1,3,500,0.0013405480575071,0.0011592789805486,0.6963430513561828,0.7032287965394717,0.8156518284743219,0.8064046258083026,0.6326115658062732,0.6675166905378538,0.8088949830470298,0.7993278260227363,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.1,3,1000,0.0026152589878837,0.0019581839448979,0.6963430513561828,0.7032287965394717,0.8114144468230673,0.7893888901149831,0.6326115658062732,0.6675166905378538,0.804356796200425,0.7798748683585752,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
