n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
50,0.1,0.6,0.00020273806288645998,0.00020565774889766002,0.6963430513561828,0.7032287965394717,0.849069762309373,0.8581006819536094,0.6326115658062732,0.6675166905378538,0.8446674152521968,0.85425523703591,754.6,1.1390465343532141e-05,1.4521826321811813e-05,0.0,0.0,0.0028626190969233164,0.005661761059168541,0.0,0.0,0.003052177347920609,0.005935246932221465,28.82360144048623,5
50,0.1,0.7,0.00023382663294472004,0.00024107300202852,0.6963430513561828,0.7032287965394717,0.8521242082496524,0.8638432168789036,0.6326115658062732,0.6675166905378538,0.8475389454335435,0.8599814720057235,667.2,1.026731133489144e-05,1.031359054245559e-05,0.0,0.0,0.001078777039708243,0.0009901401350001738,0.0,0.0,0.001049600103670621,0.0009916414908667692,28.252433523503782,5
50,0.1,0.8,0.00032993118241397997,0.00032577079304296,0.6963430513561828,0.7032287965394717,0.8507823707267551,0.8559731632495421,0.6326115658062732,0.6675166905378538,0.8458000951921033,0.8513332373693441,473.8,4.056058370373438e-05,3.4965004921731284e-05,0.0,0.0,0.0024366983457408957,0.0041284196700937855,0.0,0.0,0.0024734782578240016,0.004418486356808418,59.35233778041098,5
50,0.5,0.6,0.00015855042556962,0.000146188396979,0.6963430513561828,0.7032287965394717,0.8349142592306503,0.8309946812032398,0.6326115658062732,0.6675166905378538,0.8301660148607268,0.8264358939668466,874.0,2.0298080066837945e-06,2.8433651931928906e-06,0.0,0.0,0.0016870979943376053,0.00236204524728335,0.0,0.0,0.0016802444490840208,0.0023686184078392015,3.6742346141747566,5
50,0.5,0.7,0.00016043911786061999,0.00014273216990394,0.6963430513561828,0.7032287965394717,0.833179581117168,0.8249564123502019,0.6326115658062732,0.6675166905378538,0.8282597493323729,0.8199054669120246,853.0,3.885352034370628e-06,5.778551488050153e-06,0.0,0.0,0.002575704678102797,0.004295621293307143,0.0,0.0,0.002675159545491797,0.004477457081459763,8.803408430829505,5
50,0.5,0.8,0.0001713372625499,0.00015124254910418,0.6963430513561828,0.7032287965394717,0.8318730551080311,0.8228906887952153,0.6326115658062732,0.6675166905378538,0.8271399597918947,0.8182400325863066,791.2,3.0026776881107525e-06,3.5582246435025415e-06,0.0,0.0,0.00046686667258077517,0.0034442870252078834,0.0,0.0,0.00047982348230872143,0.0035750382210672288,13.590437814875571,5
50,1.0,0.6,0.00016190986433648,0.00015426817515784,0.6963430513561828,0.7032287965394717,0.8357793913177816,0.8360839531239656,0.6326115658062732,0.6675166905378538,0.831497751442571,0.8321073110563771,861.2,3.093706383181144e-07,4.2347194701427683e-07,0.0,0.0,5.626690553723754e-05,0.00010630173316669066,0.0,0.0,5.025548721366736e-05,0.0001253240376704026,1.7888543819998386,5
50,1.0,0.7,0.00016513894692224,0.0001572599810288,0.6963430513561828,0.7032287965394717,0.8358500143453025,0.8360795391847453,0.6326115658062732,0.6675166905378538,0.8316041896016321,0.8321565740516521,844.8,8.356789814293821e-07,8.65549602588489e-07,0.0,0.0,0.0002031131577734869,0.00024155985597336388,0.0,0.0,0.00020349098925278374,0.0002482479280461504,3.7682887362833575,5
50,1.0,0.8,0.00017801634528992,0.00017005331609422,0.6963430513561828,0.7032287965394717,0.837130056719119,0.8377171106353865,0.6326115658062732,0.6675166905378538,0.8329038019545679,0.8338399830990827,791.2,4.2557428813869126e-06,4.229994986783762e-06,0.0,0.0,0.0004252069326668076,0.0008146976825278119,0.0,0.0,0.00042030749912350856,0.0008154508185077863,17.598295371995558,5
125,0.1,0.6,0.00040381948729292,0.00038746926173130003,0.6963430513561828,0.7032287965394717,0.8396989693451922,0.8407803844541061,0.6326115658062732,0.6675166905378538,0.834928429166494,0.8363430246978526,355.0,2.917800093137523e-06,2.273434374169483e-06,0.0,0.0,0.001035819033070121,0.0008070692028400066,0.0,0.0,0.0010701008503479872,0.0008215571457270656,0.0,5
