n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
1,10,100,50,4.5429430439543006e-05,4.137237604966915e-05,0.6963430513561828,0.7032287965394717,0.826134934121957,0.8214296749133764,0.6326115658062732,0.6675166905378538,0.8207241181875959,0.8156195299738546,2857.0,3.1378204182246944e-08,1.3818506327766299e-08,0.0,0.0,8.964752934867137e-05,3.9479472578412695e-05,0.0,0.0,9.453781846460667e-05,4.1117807621024825e-05,0.0,5
1,10,100,100,8.623994187958637e-05,8.186004026015198e-05,0.6963430513561828,0.7032287965394717,0.8323585884222375,0.8323365187261371,0.6326115658062732,0.6675166905378538,0.8277128918885388,0.8279437719982294,1577.2,9.989431024387963e-07,1.9814699226626016e-06,0.0,0.0,0.001407538016942276,0.003049573645143972,0.0,0.0,0.001631000482414886,0.0033733944015209073,5.403702434442528,5
1,10,100,250,0.00050108821159358,0.00045765558612092,0.6963430513561828,0.7032287965394717,0.8332104786917084,0.8282712807044647,0.6326115658062732,0.6675166905378538,0.8280364197454079,0.8232623960556691,273.6,1.848550038642571e-05,1.4966214415825073e-05,0.0,0.0,0.0032909979767888915,0.004039007637219712,0.0,0.0,0.0035786217082417466,0.004276069318229163,16.10279478848314,5
1,10,250,50,5.428244436747575e-05,5.521928044683478e-05,0.6963430513561828,0.7032287965394717,0.8293350400564984,0.8385160336342169,0.6326115658062732,0.6675166905378538,0.8245826732668933,0.8346046327401799,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,100,8.414640987720782e-05,8.194303948755155e-05,0.6963430513561828,0.7032287965394717,0.8346582507558871,0.8379245657787292,0.6326115658062732,0.6675166905378538,0.8296397112822049,0.8335676055876151,1643.8,7.315042644450715e-07,3.942708312633279e-07,0.0,0.0,0.0005502838747598054,0.0003577061354819343,0.0,0.0,0.0005929529803272892,0.00033176406245490026,8.167006795638155,5
1,10,250,250,0.0015809155451443,0.00111224265965672,0.6963430513561828,0.7032287965394717,0.8097239081017854,0.7833108958089647,0.6326115658062732,0.6675166905378538,0.8025217849943391,0.7743683485339075,72.0,0.00012817881975596098,4.7649085733326767e-05,0.0,0.0,0.005307488901579954,0.006692935086930019,0.0,0.0,0.005926551201096612,0.006985064316633276,5.3385391260156565,5
1,10,500,50,5.446992639998332e-05,5.394188752848618e-05,0.6963430513561828,0.7032287965394717,0.8279314073845203,0.8335415241332127,0.6326115658062732,0.6675166905378538,0.8238469729944979,0.8301730585813314,2415.8,1.4647855310592276e-07,1.126173695508258e-07,0.0,0.0,0.0003139021529226757,0.00022376538775373928,0.0,0.0,0.00032777209778692417,0.00023156990237485197,1.09544511501034,5
1,10,500,100,0.00013375634862212,0.00012864230798676,0.6963430513561828,0.7032287965394717,0.8401845026593984,0.8415704795744963,0.6326115658062732,0.6675166905378538,0.8360077081369439,0.8378631767239684,1075.4,2.0063514435557796e-07,6.128144967948131e-07,0.0,0.0,0.00015652378651091973,0.000606535319123883,0.0,0.0,0.00015168927186054074,0.0005777440096029741,1.140175425099174,5
1,10,500,250,0.00086595420878902,0.00077637308524302,0.6963430513561828,0.7032287965394717,0.818375228973097,0.8129858091854075,0.6326115658062732,0.6675166905378538,0.8113454543591221,0.8062564275783964,142.0,9.482601223245188e-05,4.971015878226848e-05,0.0,0.0,0.0017395625105082664,0.0032654350988665817,0.0,0.0,0.0017247215615901344,0.0033996739167377406,12.308533625091174,5
1,10,1000,50,5.6448631453548195e-05,5.596034401431878e-05,0.6963430513561828,0.7032287965394717,0.828522875240008,0.834265410165302,0.6326115658062732,0.6675166905378538,0.8247010045534331,0.8311373565640023,2341.6,1.6632953541694635e-07,7.298294592519765e-08,0.0,0.0,0.00026593754861102645,4.835228156560409e-05,0.0,0.0,0.0002693046003047661,4.926487638750323e-05,2.190890230020654,5
