const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.5,2,100,0.45,0.0009848109409705,0.0010288837156606,0.4949571404242435,0.4941245482241186,0.6505572690975836,0.6566881752985032,0.4817658322388296,0.4808630691011386,0.6484012959371568,0.654452957484651,2.848186643078284,338.9342105263158,119.0,0.0,158.0,,,,,,,,,,,,,,,,1
0.5,2,100,0.5,0.0008782032021548,0.0009106887359747,0.4949571404242435,0.4941245482241186,0.6468862943970329,0.651673699547751,0.4817658322388296,0.4808630691011386,0.6448481485016712,0.6497832799459632,2.700859151262692,310.5988023952096,115.0,0.0,173.0,,,,,,,,,,,,,,,,1
0.5,2,100,0.55,0.0008287663293592,0.0008629923624245,0.4949571404242435,0.4941245482241186,0.6466213786969932,0.6520521505478079,0.4817658322388296,0.4808630691011386,0.6446084156988807,0.6501313281505343,2.548268238761975,293.0508474576271,115.0,0.0,183.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.45,0.0058024647972989,0.0057997615758699,0.4949571404242435,0.4941245482241186,0.6574261547486139,0.6565178723484777,0.4817658322388296,0.4808630691011386,0.6513737015336546,0.6507513570102671,2.887094887094887,2243.2727272727275,777.0,0.0,28.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.5,0.0054307718508146,0.0054181568174793,0.4949571404242435,0.4941245482241186,0.657880295948682,0.6566692527485004,0.4817658322388296,0.4808630691011386,0.6519812265976047,0.6510771569357522,2.7004463902480897,2097.1666666666665,776.6,0.0,30.0,,,,,,,,,,,,,,,,1
0.5,2,250,0.55,0.0052354423023982,0.0052232342056221,0.4949571404242435,0.4941245482241186,0.6572558517985884,0.6560448085984067,0.4817658322388296,0.4808630691011386,0.6510002677438532,0.6500924464879662,2.592377028071079,2013.24,776.6,0.0,31.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.45,0.0130492815981112,0.0132428738404479,0.4949571404242435,0.4941245482241186,0.6645978011996897,0.6662819081499423,0.4817658322388296,0.4808630691011386,0.6582856894439083,0.6596185234418187,4.956945338334184,6381.571428571428,1287.4,0.0,13.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.5,0.0130405481134945,0.0132574296481424,0.4949571404242435,0.4941245482241186,0.6644842658996727,0.6664711336499707,0.4817658322388296,0.4808630691011386,0.6581515794119673,0.6597895546480096,4.961459004376125,6381.428571428572,1286.2,0.0,13.0,,,,,,,,,,,,,,,,1
0.5,2,500,0.55,0.0130521927596501,0.013282174521223,0.4949571404242435,0.4941245482241186,0.6646356462996953,0.6667928170000189,0.4817658322388296,0.4808630691011386,0.6582028223196277,0.6600875850915278,4.966865326454368,6381.428571428572,1284.8,0.0,13.0,,,,,,,,,,,,,,,,1
0.5,2,1000,0.45,0.0165515544874827,0.0166253524324938,0.4949571404242435,0.4941245482241186,0.6604726852990709,0.6603780725490567,0.4817658322388296,0.4808630691011386,0.6534469337202884,0.6533616972294962,12.772159838138595,7890.8,494.25,0.1999999999999999,10.0,,,,,,,,,,,,,,,,1
