confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.01,0.01,2,100,0.003532569763387,0.0035997255071725403,0.4949571404242435,0.4941245482241186,0.6625655193293849,0.6649119155297367,0.4817658322388296,0.4808630691011386,0.6560434132529307,0.6584401350924958,9.67177745788517,1249.68669250646,131.12,0.0,47.6,0.00021639724380013403,0.00022343389878752944,0.0,0.0,0.0016674192019784115,0.0015719161716603123,0.0,0.0,0.0014778545943782658,0.001350692010011231,0.8899178379205276,104.60262441256288,26.011382123985644,0.0,3.1304951684997055,5
0.01,0.01,2,250,0.0048253344846506206,0.00489382870062272,0.4949571404242435,0.4941245482241186,0.6616988665392548,0.6632315930894848,0.4817658322388296,0.4808630691011386,0.6546936725977162,0.6563172310154288,9.271319278191504,1806.0529953917053,194.8,0.0,34.6,0.0002006722643849946,0.0002047151238655821,0.0,0.0,0.0009443660633291005,0.0009472054713982861,0.0,0.0,0.0010608787857008864,0.0010422193817956897,0.4013545316223485,78.18386276003365,0.0,0.0,1.3416407864998734,5
0.01,0.01,2,500,0.0066796601510019,0.00674332822424476,0.4949571404242435,0.4941245482241186,0.6592124434688819,0.659946638408992,0.4817658322388296,0.4808630691011386,0.6527323352693465,0.6533688209934344,9.536738646837135,2483.8,208.35,0.1999999999999999,24.6,0.00014702633289049045,0.0001459660862397113,0.0,0.0,0.00020318625005087478,0.0002990122167786473,0.0,0.0,0.00020929745119677853,0.00031831392803486215,0.19630091459875074,56.324400104141766,0.7826237921249241,0.0,0.547722557505166,5
0.01,0.01,2,1000,0.007513284490217839,0.007523433857946621,0.4949571404242435,0.4941245482241186,0.6602493992090374,0.659640093098946,0.4817658322388296,0.4808630691011386,0.6543464292783184,0.6534920978147107,4.246972308958937,3018.225,710.68,0.0,22.0,2.7626997982989664e-05,2.477969901256866e-05,0.0,0.0,0.0006077939556262503,0.0005451533782764533,0.0,0.0,0.000645007202342243,0.0005867867763014315,0.010417362718141044,1.154644155140418,1.6099689437998481,0.0,0.0,5
0.01,0.01,3,100,0.00323844956217464,0.0032851450905887003,0.4949571404242435,0.4941245482241186,0.6588415614888262,0.6605180994190778,0.4817658322388296,0.4808630691011386,0.6526657986601805,0.6543746628538798,5.713367601467486,1164.1405329677168,259.44,0.0,51.8,0.0005633211813625748,0.0005480595642857532,0.0,0.0,0.003962555468687058,0.0032029343570377676,0.0,0.0,0.00420399510445318,0.0035019442877514658,2.885151212144519,223.57460461307926,141.0561164926924,0.0,8.67179335547152,5
0.01,0.01,3,250,0.0044174366820025,0.0044906453283400805,0.4949571404242435,0.4941245482241186,0.6607376009991107,0.6626260714893939,0.4817658322388296,0.4808630691011386,0.6548195827902413,0.6567737861269645,10.291589813769198,1608.0560093646332,219.0,0.0,37.8,0.00041370525211442395,0.0004374081140013281,0.0,0.0,0.0025620671514943716,0.003797789255802104,0.0,0.0,0.0025075199874494162,0.0035839519983511996,7.644899101716401,180.150447216784,121.82224755766083,0.0,3.7013511046643504,5
0.01,0.01,3,500,0.006674223620114139,0.00667478306941856,0.4949571404242435,0.4941245482241186,0.6589361742388404,0.658107366548716,0.4817658322388296,0.4808630691011386,0.6519232757633904,0.6509402624926924,6.552129983345608,2136.2099071207435,334.52,0.0,24.6,0.00030098767959778176,0.0003145211885337541,0.0,0.0,0.0022394020494455585,0.0023842788448041187,0.0,0.0,0.002371584719785909,0.0024768679638827694,1.1243104574831402,114.21623697167061,65.28776301880774,0.0,0.8944271909999157,5
0.01,0.01,3,1000,0.007900882208600659,0.00795563309159158,0.4949571404242435,0.4941245482241186,0.6574980604386248,0.6577856831986678,0.4817658322388296,0.4808630691011386,0.651118749002628,0.651201392182857,4.505029197753346,3219.0762394957983,636.54,0.11999999999999993,20.6,0.0003055356461467085,0.00031514496543656414,0.0,0.0,0.0010097800336565676,0.0006468357573802616,0.0,0.0,0.0009157497830444357,0.0006569319635644779,0.47751381366735024,269.30870748807996,130.6074337470881,0.10954451150103316,0.8944271909999156,5
0.01,0.1,2,100,0.00114218145484144,0.00119656017488776,0.4949571404242435,0.4941245482241186,0.6526841637179026,0.659447083088917,0.4817658322388296,0.4808630691011386,0.6495192453630044,0.6561559934557656,6.254954373920826,396.321755377022,68.16,0.0,139.2,0.00011783210509842602,0.0001152338935713473,0.0,0.0,0.0023455414779026303,0.0020541820370279574,0.0,0.0,0.0019974501816665026,0.0020521211431505826,2.188586236329058,40.188505972063126,17.204301787634392,0.0,13.553597308463905,5
0.01,0.1,2,250,0.0026652077129810403,0.0027476934952506997,0.4949571404242435,0.4941245482241186,0.6601055878290158,0.6644047911896608,0.4817658322388296,0.4808630691011386,0.654806892640034,0.6590904475054749,6.183281559120592,926.6101342482767,159.52,0.0,62.2,0.0001799696147400206,0.0001790759851767796,0.0,0.0,0.0005685588666664809,0.0007084467269890659,0.0,0.0,0.00045322352721981635,0.0008023775083025178,2.0340775567082816,70.15444494116572,39.08416559170734,0.0,4.381780460041329,5
