n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
2,100,0.005,0.0018279613360696,0.0018686018127802,0.4949571404242435,0.4941245482241186,0.6558177379983726,0.6585615077487842,0.4817658322388296,0.4808630691011386,0.6506186897952183,0.6533790230600215,22.04506140806089,621.670731707317,28.2,0.0,88.0,,,,,,,,,,,,,,,,1
2,100,0.05,0.0006211843830763,0.0006541000792997,0.4949571404242435,0.4941245482241186,0.6427990235964198,0.64980036709747,0.4817658322388296,0.4808630691011386,0.6417039161169672,0.6485810913229256,6.654792089249493,226.2629310344828,34.0,0.0,238.0,,,,,,,,,,,,,,,,1
2,250,0.005,0.0191144787242957,0.0198362388458325,0.4949571404242435,0.4941245482241186,0.6287584914943137,0.6329782201449468,0.4817658322388296,0.4808630691011386,0.6206979739641844,0.6246107779308185,13.53029460811562,24341.0,1799.0,0.0,7.0,,,,,,,,,,,,,,,,1
2,250,0.05,0.0130892439065088,0.0134934983838422,0.4949571404242435,0.4941245482241186,0.6389388233958408,0.6425530304463829,0.4817658322388296,0.4808630691011386,0.6317520569416024,0.6353801523372388,4.421128989712477,6704.2,1516.4,0.0,11.0,,,,,,,,,,,,,,,,1
2,500,0.005,0.0240846216436126,0.0253675705338051,0.4949571404242435,0.4941245482241186,0.615380248642307,0.6209624008931444,0.4817658322388296,0.4808630691011386,0.6086281961717434,0.6133352700121292,,,173.75,0.1999999999999999,5.0,,,,,,,,,,,,,,,,1
2,500,0.05,0.0205908881614219,0.0216127058615752,0.4949571404242435,0.4941245482241186,0.6185024693927754,0.6238007833935701,0.4817658322388296,0.4808630691011386,0.6112903833855733,0.6160674082611394,31.246704331450093,5185.0,132.75,0.1999999999999999,6.0,,,,,,,,,,,,,,,,1
2,1000,0.005,0.0385641569057846,0.0347039567052056,0.4949571404242435,0.4941245482241186,0.6106496111415974,0.5982364183397355,0.4817658322388296,0.4808630691011386,0.6022063463045225,0.5904073885931257,,,355.6666666666667,0.4,3.0,,,,,,,,,,,,,,,,1
2,1000,0.05,0.028360171816754,0.0298408613544761,0.4949571404242435,0.4941245482241186,0.6083978276912597,0.6134879936420232,0.4817658322388296,0.4808630691011386,0.6008287866460013,0.605398738175433,,,270.5,0.1999999999999999,4.0,,,,,,,,,,,,,,,,1
3,100,0.005,0.0018498423882085,0.0018909499968353,0.4949571404242435,0.4941245482241186,0.655893428198384,0.6586371979487956,0.4817658322388296,0.4808630691011386,0.6506159520918381,0.6533569867142389,22.31722266001226,629.3456790123457,28.2,0.0,87.0,,,,,,,,,,,,,,,,1
3,100,0.05,0.0006351992746679,0.0006652812772365,0.4949571404242435,0.4941245482241186,0.6435937706965391,0.64980036709747,0.4817658322388296,0.4808630691011386,0.6424732192458004,0.6485623135821968,8.464428534571724,230.23245614035088,27.2,0.0,234.0,,,,,,,,,,,,,,,,1
3,250,0.005,0.0191036658385798,0.0198227227386877,0.4949571404242435,0.4941245482241186,0.6286828012943024,0.6328836073949325,0.4817658322388296,0.4808630691011386,0.6206126110674517,0.6245259793418984,13.52879057358826,24341.0,1799.2,0.0,7.0,,,,,,,,,,,,,,,,1
3,250,0.05,0.013011833474679,0.0134831769929315,0.4949571404242435,0.4941245482241186,0.6380873086457131,0.6424394951463659,0.4817658322388296,0.4808630691011386,0.6310063901363108,0.635280238636213,4.418665963617189,6704.0,1517.2,0.0,11.0,,,,,,,,,,,,,,,,1
3,500,0.005,0.0241035441936155,0.0253637860238045,0.4949571404242435,0.4941245482241186,0.6154748613923212,0.6209434783431416,0.4817658322388296,0.4808630691011386,0.6087202098420773,0.6133240275583184,,,174.0,0.1999999999999999,5.0,,,,,,,,,,,,,,,,1
3,500,0.05,0.020524659236412,0.0215748607615695,0.4949571404242435,0.4941245482241186,0.6181050958427158,0.623573712793536,0.4817658322388296,0.4808630691011386,0.6107954048039317,0.6159130106500038,30.71407407407408,5183.0,135.0,0.1999999999999999,6.0,,,,,,,,,,,,,,,,1
3,1000,0.005,0.0385515418724493,0.0346850341552027,0.4949571404242435,0.4941245482241186,0.6106117660415917,0.5981796506897269,0.4817658322388296,0.4808630691011386,0.6021553128681802,0.5903578491850946,,,356.3333333333333,0.4,3.0,,,,,,,,,,,,,,,,1
3,1000,0.05,0.028360171816754,0.0298408613544761,0.4949571404242435,0.4941245482241186,0.6083978276912597,0.6134879936420232,0.4817658322388296,0.4808630691011386,0.6008287866460013,0.605398738175433,,,270.5,0.1999999999999999,4.0,,,,,,,,,,,,,,,,1
