disjoint_training_windows,n_samples,n_windows,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
False,100,50,0.0006593648560079,0.0007120039496522,0.4949571404242435,0.4941245482241186,0.6400174087460027,0.6507654171476148,0.4817658322388296,0.4808630691011386,0.6370005132357666,0.6476558466131644,3.2924402347784465,244.2990654205608,74.2,0.0,220.0,,,,,,,,,,,,,,,,1
False,100,100,0.0006892313570081,0.0007302302153476,0.4949571404242435,0.4941245482241186,0.6396957253959543,0.6474728934471209,0.4817658322388296,0.4808630691011386,0.6364130278384924,0.644285233508972,3.80200151277128,256.2549019607843,67.4,0.0,210.0,,,,,,,,,,,,,,,,1
False,100,250,0.0020147536134601,0.0019485246884501,0.4949571404242435,0.4941245482241186,0.6480784150472118,0.6422124245463319,0.4817658322388296,0.4808630691011386,0.6417682980062356,0.6366838409598609,3.809440426341835,704.7464788732394,148.0,0.1999999999999999,76.0,,,,,,,,,,,,,,,,1
False,250,50,0.0007907634053817,0.0008379701880204,0.4949571404242435,0.4941245482241186,0.6452021874467804,0.6533388839480009,0.4817658322388296,0.4808630691011386,0.6430937900401758,0.6509103942627124,2.375381069899108,284.57065217391306,119.8,0.0,190.0,,,,,,,,,,,,,,,,1
False,250,100,0.0008313513771738,0.0008779856397491,0.4949571404242435,0.4941245482241186,0.6470944424470642,0.6547959202982194,0.4817658322388296,0.4808630691011386,0.6452245991501849,0.6526841097550055,3.1006979062811566,295.1864406779661,95.2,0.0,183.0,,,,,,,,,,,,,,,,1
False,250,250,0.0011783085698847,0.0012392198439815,0.4949571404242435,0.4941245482241186,0.6563854144984578,0.6638976668495846,0.4817658322388296,0.4808630691011386,0.6529034058326032,0.6602082106735275,0.6244988139094549,398.3053435114504,637.8,0.0,137.0,,,,,,,,,,,,,,,,1
False,500,50,0.0015716847414122,0.0016193621468115,0.4949571404242435,0.4941245482241186,0.6552689840482904,0.659299487198895,0.4817658322388296,0.4808630691011386,0.6515314135142953,0.6553296262664553,1.739161036036036,540.53125,310.8,0.0,102.0,,,,,,,,,,,,,,,,1
False,500,100,0.0015923325827388,0.0016487217817473,0.4949571404242435,0.4941245482241186,0.6541903986981286,0.6589967263988495,0.4817658322388296,0.4808630691011386,0.6508355027268476,0.6554383310531341,1.6174637599870372,552.2021276595744,341.4,0.0,100.0,,,,,,,,,,,,,,,,1
False,500,250,0.0019581419514985,0.0020012306496977,0.4949571404242435,0.4941245482241186,0.6574829223986225,0.660226692149034,0.4817658322388296,0.4808630691011386,0.6529568193654675,0.655850944101272,1.8736592648423007,671.5194805194806,358.4,0.0,83.0,,,,,,,,,,,,,,,,1
False,1000,50,0.0031899634794784,0.0032527863454879,0.4949571404242435,0.4941245482241186,0.6544553143981683,0.6567638654985146,0.4817658322388296,0.4808630691011386,0.6492739105575386,0.6514580096173574,3.533001055145222,1156.7045454545455,327.4,0.0,50.0,,,,,,,,,,,,,,,,1
False,1000,100,0.0033559930869617,0.0034257699900971,0.4949571404242435,0.4941245482241186,0.6560448085984067,0.6585615077487842,0.4817658322388296,0.4808630691011386,0.6513082842159322,0.6538578219309373,2.0673803833585334,1211.071428571429,585.8,0.0,48.0,,,,,,,,,,,,,,,,1
False,1000,250,0.0039283213805892,0.0039973886880996,0.4949571404242435,0.4941245482241186,0.6520899956478134,0.654020095748103,0.4817658322388296,0.4808630691011386,0.6459767868378676,0.648026269205581,4.668208159146605,1445.6857142857143,247.75,0.1999999999999999,40.0,,,,,,,,,,,,,,,,1
