n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
50,0.1,0.6,0.0009519162843013801,0.0010402398098837,0.3324775353016688,0.3364114456085138,0.6208455836680609,0.6515383659778873,0.302549740639592,0.3063176653290411,0.6212862600922893,0.6518676693916373,1.9065439790951177,79.90232811797026,43.0,0.0,303.0,2.0034967214212803e-05,2.003076284679635e-05,0.0,0.0,0.00272555592417473,0.0019902463606273754,0.0,0.0,0.0028844984077119684,0.002061571952699715,0.31637012894973743,1.1367746508359617,8.215838362577491,0.0,4.183300132670382,5
50,0.1,0.7,0.0024145001195922202,0.0025031789241314,0.3324775353016688,0.3364114456085138,0.6759534556296327,0.6925421342498654,0.302549740639592,0.3063176653290411,0.6750624224001313,0.6917112525577923,1.5177635359291937,169.31680131718412,137.8,0.0,142.6,0.00014648102152595274,0.0001443907379116922,0.0,0.0,0.004409255287243076,0.0030580632991617338,0.0,0.0,0.004473854542268199,0.0030925453715643495,1.0041564882710703,8.704394988473778,49.64070910049533,0.0,7.127411872482185,5
50,0.1,0.8,0.01133342890260622,0.01132942025150208,0.3324775353016688,0.3364114456085138,0.6870098140709759,0.69083605946416,0.302549740639592,0.3063176653290411,0.6851645741343215,0.6889778752891993,15.073661638556336,802.226064487237,884.2,0.0,31.6,0.001317201952189204,0.0013099806497444493,0.0,0.0,0.0029710617710210913,0.0033466270272882563,0.0,0.0,0.003062213397892424,0.003421189069861396,31.58115173550596,95.63594319202389,813.6960120339781,0.0,3.4351128074635335,5
50,0.5,0.6,0.00305050182688292,0.00312254671243516,0.3324775353016688,0.3364114456085138,0.6815851588057477,0.6939500600438941,0.302549740639592,0.3063176653290411,0.6806303523470936,0.6929878821060831,2.8829581660518224,211.44234661101328,167.0,0.0,116.2,0.0004820192454444099,0.00047755615161805645,0.0,0.0,0.008427668968018684,0.007216348929601245,0.0,0.0,0.008204670153007885,0.007174868875481746,2.1393520713250536,28.12423655210296,208.99162662652301,0.0,14.060583202698245,5
50,0.5,0.7,0.027341270438810676,0.027087592679335536,0.3324775353016688,0.3364114456085138,0.6751998012340056,0.6762764503706158,0.302549740639592,0.3063176653290411,0.6712637237396546,0.6723338539540744,574.1369346765479,1771.442320384294,1938.0,0.0,14.6,0.013196920639673157,0.0130049070179382,0.0,0.0,0.008947804900404335,0.009363447331412705,0.0,0.0,0.008541004167840456,0.009175490807241839,964.5732299038114,602.4663945959641,1786.7085660509942,0.0,5.594640292279746,5
50,0.5,0.8,0.10217786795864561,0.10089762170966358,0.3324775353016688,0.3364114456085138,0.6505445360056317,0.6505279721727607,0.302549740639592,0.3063176653290411,0.6443302104594536,0.6443193078794616,72.70404284364172,334.4,4764.0,0.6,3.4,0.03385642356314052,0.03339187285513161,0.0,0.0,0.008703551448716557,0.00872134366095904,0.0,0.0,0.00819406244125124,0.008204147012741586,102.80760854021534,358.4324204086455,6730.242343333559,0.5477225575051661,1.140175425099138,5
50,1.0,0.6,0.00692999624649142,0.006962301881883159,0.3324775353016688,0.3364114456085138,0.6922274214253179,0.6978342788521263,0.302549740639592,0.3063176653290411,0.689510153026504,0.6951847267856468,1.8706201828113904,472.97662747586764,362.2,0.0,52.0,0.00039264920085069395,0.0003946773467062836,0.0,0.0,0.00750237183709464,0.007311869930335896,0.0,0.0,0.00855519074475893,0.008332018277244745,1.614896722884391,16.788136418920427,170.67864541295143,0.0,2.0000000000000004,5
50,1.0,0.7,0.05502404056298622,0.05436746863224144,0.3324775353016688,0.3364114456085138,0.6591494471820779,0.6591991386806907,0.302549740639592,0.3063176653290411,0.6535162300060888,0.6535956041865796,0.40330852762203784,875.742857142857,6353.0,0.4,6.2,0.011138778413897866,0.01099545451470113,0.0,0.0,0.007992178093637538,0.008043484904433434,0.0,0.0,0.0054403070676238875,0.0054806886365814335,0.5909273120103049,701.1582129168967,5064.5165613313975,0.5477225575051661,1.6431676725154984,5
50,1.0,0.8,0.24984885502505275,0.24655265228373838,0.3324775353016688,0.3364114456085138,0.6460143277154333,0.6458404074702886,0.302549740639592,0.3063176653290411,0.6393487028345559,0.6391910907190418,,1096.5,,1.0,1.4,0.0827815538435403,0.08162557773034507,0.0,0.0,0.0071318674011343714,0.0071780020007911486,0.0,0.0,0.007098358056566189,0.007146782812350547,,1478.5602794610709,,0.0,0.5477225575051662,5
125,0.1,0.6,0.00277271385277146,0.0028511612051033,0.3324775353016688,0.3364114456085138,0.6784297486438362,0.6921528841773987,0.302549740639592,0.3063176653290411,0.6778020057936883,0.6916611777415712,2.333124834536621,194.59293615886978,83.8,0.0,124.8,5.4402978716914254e-05,5.531313031062221e-05,0.0,0.0,0.0018141461862442546,0.0018909267542841148,0.0,0.0,0.001936518674312899,0.0020087583664858137,0.18433330165110573,2.4176362291321114,6.260990336999412,0.0,1.9235384061671352,5
125,0.1,0.7,0.01101051859011324,0.0109894793299172,0.3324775353016688,0.3364114456085138,0.6874156279763137,0.6906538573025799,0.302549740639592,0.3063176653290411,0.6851061611293001,0.6883430515458844,5.033348764985951,750.4889198435973,1083.4,0.0,32.4,0.0008552598180932574,0.0008644174830838857,0.0,0.0,0.007328595273133353,0.007538113716511461,0.0,0.0,0.007411853340504543,0.0075212112166271605,3.9160318246161028,67.57399290101466,2101.5067927560926,0.0,2.701851217221259,5
