n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
1,10,100,50,0.0017091859818266,0.0017830221151269002,0.3324775353016688,0.3364114456085138,0.6555136858669096,0.67340262536751,0.302549740639592,0.3063176653290411,0.6562320474420584,0.6740962773226777,18.251336898395724,127.75935828877007,7.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,100,100,0.00250414296233108,0.0025770751673105,0.3324775353016688,0.3364114456085138,0.6765414716965505,0.690496500890306,0.302549740639592,0.3063176653290411,0.6768407842089609,0.6909989763013256,4.103657090743274,176.4572549019608,43.0,0.0,137.4,1.211066930966685e-05,1.1576816130564677e-05,0.0,0.0,0.0002948525093199682,0.00018144769804303285,0.0,0.0,0.0002885499264707687,0.00020315271448995796,0.016575704696652805,0.7127553019560725,0.0,0.0,0.5477225575051667,5
1,10,100,250,0.00560346521602678,0.005655590981225559,0.3324775353016688,0.3364114456085138,0.6932792248126216,0.7005673112758293,0.302549740639592,0.3063176653290411,0.6922161116480904,0.6994748645610073,1.011523605838998,373.25221055459025,369.0,0.0,64.4,9.09394248188982e-05,9.417686792090022e-05,0.0,0.0,0.0019405150546788676,0.0019252115940384255,0.0,0.0,0.0020177246835715525,0.0020368477888754104,0.01341058430047862,4.948505606876613,0.0,0.0,0.8944271909999167,5
1,10,250,50,0.0021581383542541,0.0022307395697598,0.3324775353016688,0.3364114456085138,0.6648308418568056,0.6799453393515259,0.302549740639592,0.3063176653290411,0.6652289131681436,0.6802346886747004,1.7912331701346393,154.04605263157896,86.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,100,0.0026309309348228,0.0027137500991775,0.3324775353016688,0.3364114456085138,0.6771294877634685,0.6919127086007703,0.302549740639592,0.3063176653290411,0.677264568490477,0.6919494452293055,4.759077927376581,180.84496124031008,38.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,250,0.00473087303051276,0.00478885648424752,0.3324775353016688,0.3364114456085138,0.6891548304277609,0.6974615926125306,0.302549740639592,0.3063176653290411,0.6878572518992643,0.6960873395415322,0.728600841532475,315.4841643835616,433.0,0.0,75.4,4.2668893116291e-05,4.141185072174732e-05,0.0,0.0,0.0009629842629507641,0.0011111356880200837,0.0,0.0,0.0010417325777623615,0.0012083125595369574,0.0023808758217828377,1.0309192308319661,0.0,0.0,0.8944271909999163,5
1,10,500,50,0.0028282744627106,0.0029028117106298,0.3324775353016688,0.3364114456085138,0.6718704708269494,0.6847488508840945,0.302549740639592,0.3063176653290411,0.6709405295076518,0.6840413496134606,3.573805855161788,196.5593220338983,55.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,100,0.0037074791872796,0.0037779635824750995,0.3324775353016688,0.3364114456085138,0.6809805789059589,0.6915400223611744,0.302549740639592,0.3063176653290411,0.6801647129371723,0.6907304670615941,1.3154450261780104,251.25,191.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,250,0.0053119968431283,0.005369239500844,0.3324775353016688,0.3364114456085138,0.6936933206343948,0.7015197316659075,0.302549740639592,0.3063176653290411,0.6926484604801165,0.7004369535954592,1.729072907290729,349.27272727272725,202.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,50,0.0045529028923786,0.0045991525555896,0.3324775353016688,0.3364114456085138,0.6830510580148247,0.6905461923889188,0.302549740639592,0.3063176653290411,0.6816643944057179,0.6889913526013669,1.7221092278719397,304.81333333333333,177.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,100,0.0044554613735086,0.004509451081917,0.3324775353016688,0.3364114456085138,0.6844589838088534,0.6926580810799619,0.302549740639592,0.3063176653290411,0.6827881838962123,0.6911447410549713,1.6660063100741067,294.8831168831169,177.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,250,0.0054802993912791,0.0055145917015197,0.3324775353016688,0.3364114456085138,0.6832166963435339,0.6893453145057766,0.302549740639592,0.3063176653290411,0.6815260391553952,0.687613395877617,2.0743575724439585,367.1612903225807,177.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,100,50,0.0017085286868714002,0.0017821457218533,0.3324775353016688,0.3364114456085138,0.6553894571203777,0.6732369870388007,0.302549740639592,0.3063176653290411,0.6560809466658875,0.6739194365008072,18.251336898395724,127.75935828877007,7.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,100,100,0.0025120805655158,0.0025894590548398,0.3324775353016688,0.3364114456085138,0.6766325727773407,0.6911673361215785,0.302549740639592,0.3063176653290411,0.6770009832882825,0.6918024097493669,4.115762273901809,176.9777777777778,43.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,100,250,0.00569780405653604,0.0057506096225182195,0.3324775353016688,0.3364114456085138,0.6948030974367468,0.7020994658163899,0.302549740639592,0.3063176653290411,0.6937948474320415,0.7010887943343705,1.0197243348777572,376.2782795698925,369.0,0.0,63.6,7.686046596746605e-05,7.107131501456292e-05,0.0,0.0,0.0005441855646527587,0.0007735948359049594,0.0,0.0,0.0005916972141209745,0.0008523002141042521,0.005512575204126928,2.0341402503228654,0.0,0.0,0.8944271909999153,5
1,20,250,50,0.0021581383542541,0.0022307395697598,0.3324775353016688,0.3364114456085138,0.6648308418568056,0.6799453393515259,0.302549740639592,0.3063176653290411,0.6652289131681436,0.6802346886747004,1.7912331701346393,154.04605263157896,86.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,250,100,0.0026309309348228,0.0027137500991775,0.3324775353016688,0.3364114456085138,0.6771294877634685,0.6919127086007703,0.302549740639592,0.3063176653290411,0.677264568490477,0.6919494452293055,4.759077927376581,180.84496124031008,38.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,20,250,250,0.00473087303051276,0.00478885648424752,0.3324775353016688,0.3364114456085138,0.6891548304277609,0.6974615926125306,0.302549740639592,0.3063176653290411,0.6878572518992643,0.6960873395415322,0.728600841532475,315.4841643835616,433.0,0.0,75.4,4.266889311629105e-05,4.1411850721747015e-05,0.0,0.0,0.0009629842629507356,0.0011111356880200735,0.0,0.0,0.0010417325777623927,0.0012083125595369962,0.0023808758217828377,1.0309192308319661,0.0,0.0,0.8944271909999173,5
1,20,500,50,0.0028282744627106,0.0029028117106298,0.3324775353016688,0.3364114456085138,0.6718704708269494,0.6847488508840945,0.302549740639592,0.3063176653290411,0.6709405295076518,0.6840413496134606,3.573805855161788,196.5593220338983,55.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
