n_samples,outlier_detector_kwargs,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0012864576863086,0.0013789390865046,0.3324775353016688,0.3364114456085138,0.6412273800157356,0.6673568263696219,0.302549740639592,0.3063176653290411,0.6410257995387327,0.6676196190903974,1.3947829131652665,100.42436974789916,72.0,0.0,240.0,,,,,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0013113621726109,0.0014114500137885,0.3324775353016688,0.3364114456085138,0.6406476458652532,0.6681021988488136,0.302549740639592,0.3063176653290411,0.6404513135840362,0.6681768641700044,1.4882129750575357,102.68669527896996,69.0,0.0,235.0,,,,,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0014927262781047,0.0015945661117848,0.3324775353016688,0.3364114456085138,0.6444573274255663,0.6696757629715516,0.302549740639592,0.3063176653290411,0.6444165289648235,0.6698765431994227,6.410359634997317,115.38647342995168,18.0,0.0,209.0,,,,,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.005146358514419,0.0051847232743774,0.3324775353016688,0.3364114456085138,0.6824299142821649,0.6889726282661808,0.302549740639592,0.3063176653290411,0.6826199325460275,0.6891411744139795,5.329488919041157,357.0757575757576,67.0,0.0,68.0,,,,,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0039715553815516,0.0040793144078994,0.3324775353016688,0.3364114456085138,0.6819744088782144,0.6953911135036648,0.302549740639592,0.3063176653290411,0.6812784400036082,0.6950734262115476,2.98546511627907,274.66279069767444,92.0,0.0,88.0,,,,,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0040990671287847,0.0041698486239018,0.3324775353016688,0.3364114456085138,0.6849973083771584,0.6950184272640689,0.302549740639592,0.3063176653290411,0.68416110409878,0.6943457302692274,1.3253215978334465,279.6428571428572,211.0,0.0,86.0,,,,,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0067402058374769,0.0067656886572783,0.3324775353016688,0.3364114456085138,0.68296823885047,0.6882272557869891,0.302549740639592,0.3063176653290411,0.6829546227528489,0.6882699695240686,0.2427497425334706,471.42,1942.0,0.0,52.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0081689812113432,0.0082263899502708,0.3324775353016688,0.3364114456085138,0.6919127086007703,0.6983726034204315,0.302549740639592,0.3063176653290411,0.6901040995574373,0.696599150511267,1.4027420736932303,545.6666666666666,389.0,0.0,44.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0083839958705979,0.0083897739518319,0.3324775353016688,0.3364114456085138,0.6929893577373805,0.6971717255372893,0.302549740639592,0.3063176653290411,0.6920890840315509,0.6965762414108122,2.6661585365853657,554.560975609756,208.0,0.0,43.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.1349538283158723,0.1037517081452648,0.3324775353016688,0.3364114456085138,0.6023851919334134,0.5439148618990435,0.302549740639592,0.3063176653290411,0.5977894975464991,0.5349289988680502,,500.0,,1.0,2.0,,,,,,,,,,,,,,,,1
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0158335184216173,0.0157996378543813,0.3324775353016688,0.3364114456085138,0.6808149405772496,0.6840034784049029,0.302549740639592,0.3063176653290411,0.6787762914981421,0.6821998906551676,1.1661889596602972,1098.55,942.0,0.0,22.0,,,,,,,,,,,,,,,,1
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0302327594969112,0.029931598899258,0.3324775353016688,0.3364114456085138,0.6650378897676923,0.6656590335003519,0.302549740639592,0.3063176653290411,0.6570377505371623,0.6577238155371121,2.4635539795114263,1389.4444444444443,564.0,0.0,11.0,,,,,,,,,,,,,,,,1
