confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.01,0.01,2,100,0.00531915075244292,0.0054342014030279,0.3058823529411765,0.3002437957116959,0.6728161530286928,0.6751065824842157,0.2824474041486233,0.2644454333478672,0.6559040465774961,0.6582873360955905,17.08223702808636,1194.7136947453882,80.9,0.0,69.2,0.0003159973060599451,0.0003252827478184024,0.0,0.0,0.0033706097340587752,0.003566496111487967,0.0,0.0,0.003538740169373554,0.003774134703252171,6.897611475500841,75.01113535899245,36.01284493066328,0.0,4.604345773288534,5
0.01,0.01,2,250,0.00729345652914182,0.007438713287536519,0.3058823529411765,0.3002437957116959,0.6680902669250484,0.6696730636994437,0.2824474041486233,0.2644454333478672,0.6487564398568875,0.6502614929305851,22.32354284825072,1691.7644457953393,114.6,0.0,49.8,0.0004327325082176711,0.000437629658792955,0.0,0.0,0.004186413265536566,0.0041779852616596795,0.0,0.0,0.0055592129664837845,0.005695969786229084,17.48832046665133,113.2132563965065,69.15688685879375,0.0,2.9495762407505253,5
0.01,0.01,2,500,0.00917641691443064,0.00933968994737282,0.3058823529411765,0.3002437957116959,0.6611464649621804,0.6618215915484154,0.2824474041486233,0.2644454333478672,0.6402296638802946,0.640742629475348,9.031464081141644,2207.0493675364883,247.9,0.0,38.8,0.00047646726620855434,0.0004893906657209207,0.0,0.0,0.0005318568340632333,0.0004441764602462708,0.0,0.0,0.0010767944899406356,0.0009220108372447691,1.0532263983249186,126.02678867953308,38.986215512665495,0.0,2.04939015319192,5
0.01,0.01,2,1000,0.00894684671260186,0.009107152893247721,0.3058823529411765,0.3002437957116959,0.6613314996561855,0.6620691379633682,0.2824474041486233,0.2644454333478672,0.6409814433888952,0.6414907299350615,3.3935707506513593,2094.911322669419,624.5,0.0,39.8,0.00035226692284360335,0.0003543286383968139,0.0,0.0,0.006809025035075164,0.007054334012586383,0.0,0.0,0.009105036809082492,0.009374005209944025,0.36991667426583874,128.5197334861927,87.50999942863672,0.0,2.280350850198275,5
0.01,0.01,3,100,0.004478834881911821,0.0045761754771961195,0.3058823529411765,0.3002437957116959,0.6726086141151466,0.6749340501344002,0.2824474041486233,0.2644454333478672,0.6554777100460631,0.6578942704492279,10.243668681148497,1001.8135122886267,368.1,0.0,82.4,0.0003861834679048292,0.00039568182439009855,0.0,0.0,0.004026372133480394,0.004079871419096491,0.0,0.0,0.004033496322813277,0.004168552551984633,5.729034962615755,91.11986704795588,635.9230889030529,0.0,7.602631123499283,5
0.01,0.01,3,250,0.0065018443241423,0.00663380359118732,0.3058823529411765,0.3002437957116959,0.6697880852659874,0.6715784209539288,0.2824474041486233,0.2644454333478672,0.6515036984214448,0.6535212091659127,11.065208621370079,1490.522136170942,161.2,0.0,56.6,0.0007890356563575934,0.0007966558844933183,0.0,0.0,0.0032641415575866135,0.0033340660210605597,0.0,0.0,0.0039053166505299986,0.004043980210514851,6.239354519410624,189.31266911005542,59.38076287822514,0.0,6.5038450166036395,5
0.01,0.01,3,500,0.00835790292620052,0.0085189734312822,0.3058823529411765,0.3002437957116959,0.6674051384634618,0.6687403888229043,0.2824474041486233,0.2644454333478672,0.6491341699296074,0.650690690651519,7.510525479209702,1956.4672637279527,289.1,0.0,43.4,0.0005614032430270115,0.0005691877643581918,0.0,0.0,0.0029545845997212203,0.002990575364952132,0.0,0.0,0.0033343207654651912,0.003465829760955996,2.8245943675504073,138.89326121580456,102.82716080880577,0.0,2.7018512172212588,5
0.01,0.01,3,1000,0.0091556989900293,0.009326833208044599,0.3058823529411765,0.3002437957116959,0.6658723510658249,0.6669625554791523,0.2824474041486233,0.2644454333478672,0.647621213597575,0.6489084913985839,5.512540232467623,2119.841066523556,417.0,0.0,39.6,0.0008276016925675103,0.0008429239618764032,0.0,0.0,0.0026548780138984027,0.0025048876377379717,0.0,0.0,0.0027574415354824694,0.0026525569398870344,1.6347692251641754,206.15723908223632,138.65740153341977,0.0,3.9115214431215897,5
0.01,0.1,2,100,0.00173015383422488,0.0017875988535738599,0.3058823529411765,0.3002437957116959,0.6737838344689628,0.6803675689191724,0.2824474041486233,0.2644454333478672,0.6641736920130563,0.6705837680850995,42.75248741125806,378.48138302019197,9.0,0.0,212.8,5.7484037753731965e-05,5.7262635051977776e-05,0.0,0.0,0.004538028899297741,0.004182294822379728,0.0,0.0,0.005227664333870477,0.004842479325691488,7.118898610205517,11.555789337840224,1.118033988749895,0.0,6.457553716385173,5
0.01,0.1,2,250,0.0031826450660302,0.00325787369694214,0.3058823529411765,0.3002437957116959,0.6777595799212353,0.6809126711258361,0.2824474041486233,0.2644454333478672,0.6639680000291699,0.6671889183562046,6.608258289325796,696.2164832828148,109.8,0.0,117.0,0.0001210563961749979,0.0001233901100019002,0.0,0.0,0.0023834367443470177,0.002339231697475774,0.0,0.0,0.002848673236727986,0.0027507498982636677,1.5118337137941498,31.131221956270437,25.383557670271518,0.0,5.0990195135927845,5
