n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
1,10,100,50,0.00032109959879954005,0.00035312194483354,0.3058823529411765,0.3002437957116959,0.6358442207913984,0.6631118334687754,0.2824474041486233,0.2644454333478672,0.6359444096383473,0.6628967092177204,11.120300359320558,77.84210251524391,7.0,0.0,1027.6,1.8397435711732338e-07,1.6722092153195103e-07,0.0,0.0,2.7956091485946522e-05,3.062436385299615e-05,0.0,0.0,1.894317816738478e-05,3.3353513942073114e-05,0.005945762742124855,0.04162033919487242,0.0,0.0,0.5477225575051505,5
1,10,100,100,0.00053146623056174,0.00056810861881072,0.3058823529411765,0.3002437957116959,0.6563305619803714,0.6748540351315871,0.2824474041486233,0.2644454333478672,0.653913882128011,0.6726018139916405,15.159033814003243,121.27227051202594,8.0,0.0,659.4,8.714458157921056e-07,8.169224761767665e-07,0.0,0.0,9.947027208056379e-05,3.9929285297656576e-05,0.0,0.0,8.456772344016704e-05,3.931218472218264e-05,0.0206773618745278,0.1654188949962159,0.0,0.0,0.8944271909999302,5
1,10,100,250,0.00114048535167772,0.00118631448345122,0.3058823529411765,0.3002437957116959,0.6757667062574233,0.6849959367381384,0.2824474041486233,0.2644454333478672,0.6691445130785649,0.6785368209644294,15.241609800124218,248.18139672534306,16.4,0.0,324.4,2.075463766142994e-05,2.056530117677867e-05,0.0,0.0,0.0005416848928395285,0.00024123369497225725,0.0,0.0,0.00037013929369681954,0.0001074047800625487,1.663423177413638,4.263874715190335,1.3416407864998738,0.0,5.366563145999494,5
1,10,250,50,0.0004498398860477,0.00048597769187319997,0.3058823529411765,0.3002437957116959,0.6509095455397887,0.6729886853785084,0.2824474041486233,0.2644454333478672,0.6495261894222932,0.6713049866007569,7.722900911382586,104.25916230366492,13.5,0.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,100,0.0005975272906042,0.0006375771728385,0.3058823529411765,0.3002437957116959,0.6584234543976996,0.6764143276864412,0.2824474041486233,0.2644454333478672,0.6562566042543363,0.673859846862149,9.033162975582057,135.49744463373082,15.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,250,250,0.0011224796957121,0.001166564884762,0.3058823529411765,0.3002437957116959,0.6706882540476339,0.6793773832593611,0.2824474041486233,0.2644454333478672,0.6648218246496618,0.6728236421562634,6.649068322981367,246.01552795031057,37.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,50,0.0006260165009009,0.0006658923986844,0.3058823529411765,0.3002437957116959,0.6627117584547103,0.6798024629618054,0.2824474041486233,0.2644454333478672,0.6601952988115359,0.6770773177314231,4.179841533075364,140.02469135802468,33.5,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,500,100,0.0007485180935729999,0.00079220306323222,0.3058823529411765,0.3002437957116959,0.6627742701756579,0.6779646183659436,0.2824474041486233,0.2644454333478672,0.6595135205234964,0.6747059952887762,2.6372913894407155,167.46800322948542,63.5,0.0,476.8,1.7227976905545568e-06,1.823343509656143e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108523238969582,0.38789122567456946,0.0,0.0,1.095445115010335,5
1,10,500,250,0.0011811085546281,0.0012295047256844,0.3058823529411765,0.3002437957116959,0.6720260048759142,0.6813902606738763,0.2824474041486233,0.2644454333478672,0.6658433730894687,0.6751309171043619,2.818390559085812,257.88273615635177,91.5,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,10,1000,50,0.0007833726888307,0.0008201537788335,0.3058823529411765,0.3002437957116959,0.6701506532474839,0.681615302869288,0.2824474041486233,0.2644454333478672,0.6649079244017866,0.6758884228487472,5.685858585858585,170.57575757575756,30.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
