n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
2,100,0.005,0.0018461163488356,0.0019007983188767,0.3058823529411765,0.3002437957116959,0.6714133900106269,0.6766018628492843,0.2824474041486233,0.2644454333478672,0.6600797870827753,0.6648826049382774,9.693040293040294,407.10769230769233,42.0,0.0,198.0,,,,,,,,,,,,,,,,1
2,100,0.05,0.0007662150939015,0.0008062545842484,0.3058823529411765,0.3002437957116959,0.6652372319809965,0.6783771957241983,0.2824474041486233,0.2644454333478672,0.6620908263255926,0.6750912958647955,3.25191089311261,170.72532188841203,52.5,0.0,469.0,,,,,,,,,,,,,,,,1
2,250,0.005,0.0356289026414674,0.033742437818202,0.3058823529411765,0.3002437957116959,0.6265424767143839,0.6039257360755141,0.2824474041486233,0.2644454333478672,0.59756651078802,0.5776091830981392,291.6775956284153,8896.166666666666,30.5,0.0,9.0,,,,,,,,,,,,,,,,1
2,250,0.05,0.0183999777736103,0.0186250199690219,0.3058823529411765,0.3002437957116959,0.6370819528661624,0.6354941551540914,0.2824474041486233,0.2644454333478672,0.6118275758282831,0.6103857896727832,126.4677966101695,3730.8,29.5,0.0,18.0,,,,,,,,,,,,,,,,1
2,500,0.005,0.0784428330311933,0.0721510283178095,0.3058823529411765,0.3002437957116959,0.6196536850659499,0.5888479089829343,0.2824474041486233,0.2644454333478672,0.591981767023006,0.565997496719548,2232.333333333333,26788.0,12.0,0.0,4.0,,,,,,,,,,,,,,,,1
2,500,0.05,0.0455460398824779,0.0434635065503353,0.3058823529411765,0.3002437957116959,0.6247046321185222,0.6044883415640433,0.2824474041486233,0.2644454333478672,0.5960371286668337,0.5785228126406834,1404.3947368421052,13341.75,9.5,0.0,7.0,,,,,,,,,,,,,,,,1
2,1000,0.005,0.0775582921797837,0.0724260798899793,0.3058823529411765,0.3002437957116959,0.6161155216603114,0.5899481152716134,0.2824474041486233,0.2644454333478672,0.5917600184722511,0.5697033663113408,669.5,26780.0,40.0,0.0,4.0,,,,,,,,,,,,,,,,1
2,1000,0.05,0.0448405504603541,0.0434045669277275,0.3058823529411765,0.3002437957116959,0.6197662061636556,0.6040757642057886,0.2824474041486233,0.2644454333478672,0.5949739790155625,0.5813757009568615,605.8409090909091,13328.5,22.0,0.0,7.0,,,,,,,,,,,,,,,,1
3,100,0.005,0.0018620877201277,0.0019159683811272,0.3058823529411765,0.3002437957116959,0.6727136338063386,0.6776895667937738,0.2824474041486233,0.2644454333478672,0.6612871544102771,0.6659278438436141,9.62838083687083,409.2061855670103,42.5,0.0,197.0,,,,,,,,,,,,,,,,1
3,100,0.05,0.0007700051896775,0.0008098413527482,0.3058823529411765,0.3002437957116959,0.6654747765205976,0.6784397074451459,0.2824474041486233,0.2644454333478672,0.6624560035205307,0.6751866696953644,3.265927750410509,171.46120689655172,52.5,0.0,467.0,,,,,,,,,,,,,,,,1
3,250,0.005,0.0356289026414674,0.033742437818202,0.3058823529411765,0.3002437957116959,0.6265424767143839,0.6039257360755141,0.2824474041486233,0.2644454333478672,0.59756651078802,0.5776091830981392,291.6775956284153,8896.166666666666,30.5,0.0,9.0,,,,,,,,,,,,,,,,1
3,250,0.05,0.0194882128634413,0.0197228156749978,0.3058823529411765,0.3002437957116959,0.6371819716196787,0.63553166218666,0.2824474041486233,0.2644454333478672,0.6119509321749299,0.610413989497572,135.50121065375302,3997.285714285714,29.5,0.0,17.0,,,,,,,,,,,,,,,,1
3,500,0.005,0.0784428330311933,0.0721510283178095,0.3058823529411765,0.3002437957116959,0.6196536850659499,0.5888479089829343,0.2824474041486233,0.2644454333478672,0.591981767023006,0.565997496719548,2232.333333333333,26788.0,12.0,0.0,4.0,,,,,,,,,,,,,,,,1
3,500,0.05,0.0455424677841381,0.0434599344519954,0.3058823529411765,0.3002437957116959,0.6246796274301432,0.6044633368756642,0.2824474041486233,0.2644454333478672,0.5960161438015041,0.5785037650160666,1404.657894736842,13344.25,9.5,0.0,7.0,,,,,,,,,,,,,,,,1
3,1000,0.005,0.0775582921797837,0.0724260798899793,0.3058823529411765,0.3002437957116959,0.6161155216603114,0.5899481152716134,0.2824474041486233,0.2644454333478672,0.5917600184722511,0.5697033663113408,669.5,26780.0,40.0,0.0,4.0,,,,,,,,,,,,,,,,1
3,1000,0.05,0.0448423365095241,0.0433956366818778,0.3058823529411765,0.3002437957116959,0.6197787085078452,0.604013252484841,0.2824474041486233,0.2644454333478672,0.5949943057115332,0.5813240853540838,605.8977272727273,13329.75,22.0,0.0,7.0,,,,,,,,,,,,,,,,1
