n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
50,0.1,0.6,0.00034568602918998,0.00037495364385752,0.1746672045179507,0.1754915200729607,0.4193977234859778,0.4409526983180455,0.1637466349160202,0.1640181559553793,0.4219076046788972,0.4422979153274456,708.2,9.271299169370656e-06,8.753442049094267e-06,0.0,0.0,0.002783905841502604,0.0019741049308141605,0.0,0.0,0.0028583336701907243,0.001995872803442577,11.713240371477069,5
50,0.1,0.7,0.0010416932095060202,0.00106741705347238,0.1746672045179507,0.1754915200729607,0.4972306505077433,0.5060455653577003,0.1637466349160202,0.1640181559553793,0.4970500735283931,0.5049959150464736,310.2,5.5277503905884256e-05,5.4038746725539895e-05,0.0,0.0,0.003959587748184216,0.0031576205611231222,0.0,0.0,0.0039776807036762205,0.0031915546075803386,12.96919426949878,5
50,0.1,0.8,0.007966430229246538,0.00796920171806606,0.1746672045179507,0.1754915200729607,0.5532630618938211,0.554276794640195,0.1637466349160202,0.1640181559553793,0.5460921244963062,0.5469609136022036,49.0,0.001573498025614853,0.0015658700078931072,0.0,0.0,0.0028867592093984496,0.0026212887535655427,0.0,0.0,0.0029945118593505816,0.0028452295446257506,9.38083151964686,5
50,0.5,0.6,0.00129309681439108,0.00131885234606724,0.1746672045179507,0.1754915200729607,0.5102478208253679,0.517761369416139,0.1637466349160202,0.1640181559553793,0.5086383175875003,0.5154379199039748,259.6,2.850782833124331e-05,2.7426220687969426e-05,0.0,0.0,0.0016016139102514393,0.0010287717758104952,0.0,0.0,0.0015734031555673504,0.0007581312080983934,4.774934554525326,5
50,0.5,0.7,0.01710211186007164,0.017084040000349,0.1746672045179507,0.1754915200729607,0.5570022975603768,0.5574723328130207,0.1637466349160202,0.1640181559553793,0.5465645638903395,0.5469016892577365,23.8,0.004852866257334637,0.004836734095138039,0.0,0.0,0.0036611987453127825,0.0035515311978427896,0.0,0.0,0.003278114662469843,0.003170760636392087,6.496152707564685,5
50,0.5,0.8,0.3562621674237507,0.30519844958521136,0.1746672045179507,0.1754915200729607,0.5309293719417016,0.4806899696581721,0.1637466349160202,0.1640181559553793,0.519135909673679,0.47004564255843384,1.0,0.010243790470562886,0.00231911479176178,0.0,0.0,0.010243790470562985,0.0023191147917618195,0.0,0.0,0.008301695344486357,0.001263058397070329,0.0,2
50,1.0,0.6,0.00353614129393994,0.0035539351466646802,0.1746672045179507,0.1754915200729607,0.5468404160162759,0.5495553957591596,0.1637466349160202,0.1640181559553793,0.5412227694712304,0.5435958684531805,105.8,0.0002947560161378823,0.0002933872231737529,0.0,0.0,0.002408335387412602,0.0021306366351978947,0.0,0.0,0.002265601080909599,0.0019348573554300137,8.288546314040842,5
50,1.0,0.7,0.14788546774270325,0.13562784532933783,0.1746672045179507,0.1754915200729607,0.5428100391111423,0.52674816282863,0.1637466349160202,0.1640181559553793,0.5310510637522332,0.5152144676727922,4.0,0.12289049784612124,0.10528080309821494,0.0,0.0,0.013643236124834805,0.03497676337075817,0.0,0.0,0.013415773766912602,0.034371295579999114,2.5495097567963922,5
125,0.1,0.6,0.0011421988562092399,0.0011645651016169802,0.1746672045179507,0.1754915200729607,0.5004998509216549,0.5077152428223162,0.1637466349160202,0.1640181559553793,0.5003087817214353,0.5065804233904598,285.4,3.198320927154587e-05,3.029024386474075e-05,0.0,0.0,0.0025877948186956404,0.0019669320059679508,0.0,0.0,0.002604171648094329,0.0020007307147936002,5.941380311005188,5
125,0.1,0.7,0.00636826205849008,0.00637824141807204,0.1746672045179507,0.1754915200729607,0.5540873774488311,0.5555185295613588,0.1637466349160202,0.1640181559553793,0.5468150716501132,0.5479740904058183,59.8,0.0004582631401376011,0.0004552055025142673,0.0,0.0,0.001845793828951258,0.001971126536810215,0.0,0.0,0.00183970442870345,0.001982756397268891,3.8340579025361627,5
125,0.1,0.8,0.1422160642147663,0.14072411152229453,0.1746672045179507,0.1754915200729607,0.5300664714032657,0.527060350421804,0.1637466349160202,0.1640181559553793,0.5190746737214343,0.5146259358197443,2.6,0.03300248360000947,0.033084888786753065,0.0,0.0,0.008979995478428175,0.012394566490586144,0.0,0.0,0.008560030052174782,0.01144341786107508,0.5477225575051661,5
125,0.5,0.6,0.01148631228745892,0.011475361009112419,0.1746672045179507,0.1754915200729607,0.5580265534840485,0.5584965887366925,0.1637466349160202,0.1640181559553793,0.5492488907617928,0.5494929288114018,33.8,0.0014104229579609277,0.001405869153598283,0.0,0.0,0.001374574300045242,0.0011699330320371825,0.0,0.0,0.0015776563284331995,0.0014292111713948535,4.324349662087932,5
