confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.01,0.01,2,100,0.00501071684653042,0.005005402211646,0.2430205663561918,0.24570857035694188,0.6931574670250672,0.695370381946615,0.213906928474093,0.2146294933452455,0.6826126200471279,0.6848445134942835,9.48201307131904,911.7866297990074,112.2,0.0,90.0,0.00021840423569556222,0.00021750906902225634,0.0,0.0,0.0032373757477609857,0.003267054157161977,0.0,0.0,0.00393023041252196,0.00393762014167605,5.348369459990405,44.70192600262957,35.69943977151462,0.0,4.743416490252568,5
0.01,0.01,2,250,0.00814809972190184,0.00810641332930058,0.2430205663561918,0.24570857035694188,0.679594924048259,0.6800400075014065,0.213906928474093,0.2146294933452455,0.6670587205247628,0.6664384818604782,17.890249091180205,1567.0477853910793,95.4,0.0,53.6,0.00019188294519006813,0.00019717061216523225,0.0,0.0,0.003678065569939819,0.0031722342556209215,0.0,0.0,0.005130890644912435,0.004159746854314229,5.624983193651539,36.240075601999365,32.21102295798753,0.0,1.1401754250991378,5
0.01,0.01,2,500,0.00934139902554692,0.00928246046640398,0.2430205663561918,0.24570857035694188,0.6861186472463586,0.6860836406826281,0.213906928474093,0.2146294933452455,0.6741115602161291,0.6738340233983008,5.294729185348594,1767.7841578831794,335.7,0.0,47.6,0.0006665376584250971,0.0006274528359662219,0.0,0.0,0.005270545549779816,0.00384581333531778,0.0,0.0,0.006165013263624828,0.004524906293857045,0.5281289544438306,123.65739793818497,29.79219696497726,0.0,2.966479394838265,5
0.01,0.01,2,1000,0.01045820086991936,0.0104157567047535,0.2430205663561918,0.24570857035694188,0.679867475151591,0.6807826467462649,0.213906928474093,0.2146294933452455,0.6670745764150178,0.6678407789484038,2.3142638543072955,1983.6309309917203,859.2,0.0,41.8,0.0002937661296169468,0.0002925551256515453,0.0,0.0,0.0015910282996069965,0.001605263992802909,0.0,0.0,0.001656148092273095,0.001711271567526672,0.16305543610684972,62.26640587563264,39.27562857549195,0.0,1.3038404810405295,5
0.01,0.01,3,100,0.00483624291789286,0.00483953936509704,0.2430205663561918,0.24570857035694188,0.6962705507282616,0.6992736138025879,0.213906928474093,0.2146294933452455,0.6866006032005398,0.6896525542796257,10.244552152711181,873.2058852344395,90.8,0.0,94.0,0.0002834165152709776,0.0002823770043519642,0.0,0.0,0.0037156832316313513,0.0038185667346317237,0.0,0.0,0.003715948792926684,0.00392507819820938,2.4897514535235494,58.11425179413252,29.11528808031959,0.0,5.999999999999999,5
0.01,0.01,3,250,0.00830085304223464,0.00827957261304316,0.2430205663561918,0.24570857035694188,0.6907845220978934,0.6923323123085579,0.213906928474093,0.2146294933452455,0.6790543413559835,0.680653784627847,8.99677280667848,1537.894213694186,175.6,0.0,54.0,0.0003236158488904035,0.00031756545986884636,0.0,0.0,0.0021458298937345748,0.0018613257246503441,0.0,0.0,0.002487911601674632,0.002265438065673072,1.805989275688575,59.618692052397584,29.53260909570978,0.0,1.8708286933869707,5
0.01,0.01,3,500,0.00820938640893266,0.008184151112922918,0.2430205663561918,0.24570857035694188,0.6901719072326061,0.6914821529036694,0.213906928474093,0.2146294933452455,0.679032749560429,0.6802000588272572,4.969340952686001,1477.6394097890727,368.1,0.0,54.6,0.0004725637507645727,0.0004722317166920171,0.0,0.0,0.0033492120997001187,0.0032397648502019436,0.0,0.0,0.0034804241028186895,0.0036143568960879846,1.9526427976785485,86.44159546127024,232.9172063201858,0.0,2.8809720581775866,5
0.01,0.01,3,1000,0.01067026912514084,0.01063246537844228,0.2430205663561918,0.24570857035694188,0.6866687503906983,0.6877864599612427,0.213906928474093,0.2146294933452455,0.6746348511713718,0.6757888486043598,10.310740007132335,2005.7366063026589,201.1,0.0,41.6,0.00025796758031115536,0.00025570921892489857,0.0,0.0,0.001562202801591211,0.0016919464472617033,0.0,0.0,0.001972202750186149,0.0020855676030258584,2.0989108617304035,67.07098353683882,40.69920146636787,0.0,1.1401754250991378,5
0.01,0.1,2,100,0.00213456226995978,0.00215399567372948,0.2430205663561918,0.24570857035694188,0.6949002938050886,0.7017040695130337,0.213906928474093,0.2146294933452455,0.6881607501611975,0.6950253080017869,7.605340738821681,381.0492308062107,54.3,0.0,211.8,5.215123347719642e-05,5.182012894525775e-05,0.0,0.0,0.004244924220126811,0.004047964819649712,0.0,0.0,0.004764868373580417,0.004670219661810273,2.592069901816465,10.460514393359224,15.821662365251004,0.0,5.630275304103697,5
0.01,0.1,2,250,0.00382708914369686,0.0038374777500547,0.2430205663561918,0.24570857035694188,0.6975957992123524,0.7015540413827593,0.213906928474093,0.2146294933452455,0.6883188991585861,0.6922269307685617,5.524504758847454,685.0186119983287,128.1,0.0,119.4,0.0003222141205512535,0.0003181397405129764,0.0,0.0,0.0013060731699263142,0.0016062568855067718,0.0,0.0,0.002040041001579094,0.0022648323683389106,1.2072784741383746,60.266279942746785,24.99099837941654,0.0,9.235799911215054,5
0.01,0.1,2,500,0.00575013798820804,0.0057516039182649,0.2430205663561918,0.24570857035694188,0.6933600050009376,0.6961630305682316,0.213906928474093,0.2146294933452455,0.6835768609255402,0.6863656912753087,5.45449514257654,1044.1143997837057,226.1,0.0,78.4,0.00020568135167292533,0.00020558426077726236,0.0,0.0,0.0016153831842083209,0.0015746651633661317,0.0,0.0,0.0017023016634679306,0.00170361879570189,2.2290065517361968,38.58179596495141,107.33848331330194,0.0,2.8809720581775884,5
0.01,0.1,2,1000,0.00860185814209236,0.0085783267371539,0.2430205663561918,0.24570857035694188,0.691952241045196,0.6934125148465338,0.213906928474093,0.2146294933452455,0.6809052770298201,0.6824347223706653,2.9781839048947742,1574.6364489795917,528.8,0.0,52.2,0.00013122776368761923,0.00012989677468850682,0.0,0.0,0.0016762095724196504,0.0015912051285573443,0.0,0.0,0.0017560808355054998,0.001709364461607211,0.058562406836031713,26.79792465234267,8.541077215433651,0.0,0.8366600265340757,5
0.01,0.1,3,100,0.0016467102911148401,0.00166863906240892,0.2430205663561918,0.24570857035694188,0.6900218791023317,0.6986835031568419,0.213906928474093,0.2146294933452455,0.6844152098380052,0.6929701693046739,4.91172449098641,296.51203869964627,70.0,0.0,271.8,6.814606327437094e-05,6.675903078375515e-05,0.0,0.0,0.002887751936809383,0.0030691332466879087,0.0,0.0,0.003643125285142875,0.003825845516758437,2.530039830639791,12.00922122066405,23.97133705073624,0.0,10.709808588392232,5
0.01,0.1,3,250,0.0031460720531100205,0.0031591178920859996,0.2430205663561918,0.24570857035694188,0.697738325936113,0.7023091829718072,0.213906928474093,0.2146294933452455,0.6898317013591974,0.6944149337607651,6.99708522126681,559.9830183742628,80.2,0.0,144.6,7.711222731115172e-05,7.84688016419718e-05,0.0,0.0,0.0019764304229155484,0.002049191040714131,0.0,0.0,0.002320419401069643,0.0023400271912682826,0.39142562356017124,13.167161889104474,4.117037770047782,0.0,3.361547262794323,5
0.01,0.1,3,500,0.00509506885869338,0.00509821878475736,0.2430205663561918,0.24570857035694188,0.6942976808151529,0.6972657373257485,0.213906928474093,0.2146294933452455,0.6844602232841094,0.6874801609762026,2.692318233058074,918.1746613601451,344.0,0.0,88.8,0.0002963646633782911,0.00029631604289877565,0.0,0.0,0.0017134051055385784,0.001702900055427809,0.0,0.0,0.0015931567573790393,0.0014899990730537298,0.28275025312930724,52.00345527739505,39.45250308915773,0.0,4.919349550499538,5
0.01,0.1,3,1000,0.00859482653364298,0.00856723680945364,0.2430205663561918,0.24570857035694188,0.691439644933425,0.6926873788835406,0.213906928474093,0.2146294933452455,0.6797860883812221,0.6810006114420422,3.695523733411241,1572.7932270908364,546.0,0.0,52.2,0.00022717612353063377,0.0002285216046608712,0.0,0.0,0.002548016393605108,0.0028273354113971497,0.0,0.0,0.0033374457236560713,0.00364978935128955,2.181181355085158,44.520163412256366,261.58602791433646,0.0,1.3038404810405304,5
0.1,0.01,2,100,0.0011484599792627001,0.00117129085416698,0.2430205663561918,0.24570857035694188,0.6838332187285115,0.6953128711633431,0.213906928474093,0.2146294933452455,0.6805135579476647,0.6917857899001112,4.316913813029598,208.8458112970514,52.3,0.0,384.6,5.816394006622074e-05,5.748592497494677e-05,0.0,0.0,0.0007468306460614626,0.0014438610830924035,0.0,0.0,0.0012500900779924254,0.002056581493052978,1.4382589882718646,10.937518472880061,14.74194695418485,0.0,19.047309521294597,5
0.1,0.01,2,250,0.00252134510071378,0.0025393433834095002,0.2430205663561918,0.24570857035694188,0.6953728824154529,0.701291492154779,0.213906928474093,0.2146294933452455,0.6886103627659177,0.6945857586854678,3.318508042349344,448.69660589372745,137.5,0.0,179.6,9.14443351493465e-05,9.180400648650905e-05,0.0,0.0,0.0009848562428509964,0.0010100779973432165,0.0,0.0,0.0011025777343025905,0.0011832437097929814,0.5140767590303654,16.79411300486686,18.897751188964257,0.0,6.580273550544841,5
0.1,0.01,2,500,0.00471364190383204,0.00472231222072116,0.2430205663561918,0.24570857035694188,0.694642745514784,0.6981534037632056,0.213906928474093,0.2146294933452455,0.6852034020936253,0.6887374808958114,2.738355062916442,846.686857319545,318.7,0.0,96.0,0.00023944483847299222,0.00024205566516584433,0.0,0.0,0.0011532692506425997,0.0012615416666981673,0.0,0.0,0.0015441566065524145,0.0016739974798528992,0.4955384550052332,42.34992562087326,67.58753583316972,0.0,4.636809247747852,5
0.1,0.01,2,1000,0.0073452390338347604,0.00733308560047406,0.2430205663561918,0.24570857035694188,0.6895542914296431,0.6915021566543726,0.213906928474093,0.2146294933452455,0.67918420361944,0.681054472508511,2.382346445825693,1340.8271883683494,563.3,0.0,60.8,8.546742879926914e-05,8.699959534799395e-05,0.0,0.0,0.0011531337074499966,0.0009716662325783648,0.0,0.0,0.001207259034870627,0.001153950875169479,0.06822001502732443,18.523412341717926,21.822007240398392,0.0,0.8366600265340762,5
0.1,0.01,3,100,0.0008936927320324599,0.0009223984816699,0.2430205663561918,0.24570857035694188,0.6763618178408451,0.6929674313933862,0.213906928474093,0.2146294933452455,0.6742216590411798,0.6905745289086395,3.3574268970457553,165.23180021857942,50.7,0.0,485.0,1.553733863437539e-05,1.6134395456779653e-05,0.0,0.0,0.001009807150193063,0.0004171925664427681,0.0,0.0,0.0008684242877516812,0.00033500932932970434,0.5860252288597746,2.6856292181478976,10.698130677833394,0.0,8.09320702811932,5
0.1,0.01,3,250,0.00226347018737232,0.0022847176322795,0.2430205663561918,0.24570857035694188,0.6969356754391448,0.7038894792773644,0.213906928474093,0.2146294933452455,0.6914577049000977,0.6984274531668225,4.131756914106331,401.4331831382118,99.1,0.0,200.6,4.5046284471928004e-05,4.378119044111297e-05,0.0,0.0,0.001354691157065249,0.001223365718526078,0.0,0.0,0.001655562983638483,0.0014743668696265786,0.6804741181937809,7.736242501531546,14.951588544365446,0.0,3.8470768123342722,5
0.1,0.01,3,500,0.003983981487536941,0.00399638785184276,0.2430205663561918,0.24570857035694188,0.6954754016378071,0.6995761705319747,0.213906928474093,0.2146294933452455,0.687238415383099,0.6913891959429086,3.879843972079984,709.2582422634362,195.9,0.0,113.6,7.456560845483258e-05,7.231848059979541e-05,0.0,0.0,0.0024587791707651433,0.002408650508067506,0.0,0.0,0.0026291328698705555,0.0025839541676350207,1.044726469394446,14.935121778790501,62.38329103213456,0.0,2.1908902300206656,5
0.1,0.01,3,1000,0.00698908773505792,0.00697551118467248,0.2430205663561918,0.24570857035694188,0.6928124023254361,0.6946327436394324,0.213906928474093,0.2146294933452455,0.6825658096701412,0.6843983972621761,1.6245957985938457,1264.3088110552662,823.7,0.0,64.4,0.00021040692579701856,0.0002057541341505716,0.0,0.0,0.0009886579956556187,0.0007821412966154594,0.0,0.0,0.0008565282657519747,0.0008069592425947597,0.4873717786453097,34.7399397785113,190.58613538240394,0.0,1.8165902124584952,5
0.1,0.1,2,100,0.0006128218651888,0.00064190056266522,0.2430205663561918,0.24570857035694188,0.6612964930924549,0.6838382196661874,0.213906928474093,0.2146294933452455,0.6611384442810445,0.683375024991185,4.992978248065664,117.26862788280462,36.4,0.0,682.6,7.4295847256636e-06,6.428745712691454e-06,0.0,0.0,0.0019695537671994643,0.0014844237064211387,0.0,0.0,0.0019948010083200595,0.0014699697128895703,3.245444438765801,1.0270779641746373,26.53158495077141,0.0,6.542170893518449,5
0.1,0.1,2,250,0.00155895079512232,0.00158434508380556,0.2430205663561918,0.24570857035694188,0.6913396261799087,0.7013314996561856,0.213906928474093,0.2146294933452455,0.687583995884142,0.6975494912415682,2.28246983910899,278.9574113519253,133.4,0.0,287.6,1.644446258407609e-05,1.635128296100327e-05,0.0,0.0,0.0008409348455254823,0.0009779438796343877,0.0,0.0,0.0010103345271352132,0.0011748536630749205,0.6571668528667889,2.556511925296125,50.091665973493036,0.0,2.7018512172212588,5
0.1,0.1,2,500,0.00310956129377232,0.0031257449260682197,0.2430205663561918,0.24570857035694188,0.6950178158404701,0.7000587610176908,0.213906928474093,0.2146294933452455,0.6880614700252896,0.6930737794859055,1.848963167891315,552.6503261783809,318.7,0.0,145.4,6.113973890304206e-05,6.147992596980165e-05,0.0,0.0,0.0019889732568344584,0.002148974405796631,0.0,0.0,0.002066716417343512,0.0023216307592955738,0.5471056455649096,11.208372998563233,84.88786721316539,0.0,2.7928480087537904,5
0.1,0.1,2,1000,0.0061042342689243394,0.0060972919937399995,0.2430205663561918,0.24570857035694188,0.6898068387822717,0.6919847471400888,0.213906928474093,0.2146294933452455,0.6793633480536189,0.6814216851655377,1.469870004718197,1102.7306033301256,752.5,0.0,73.2,6.788627900492186e-05,7.101074827053951e-05,0.0,0.0,0.0014015847176795698,0.0014556133086433463,0.0,0.0,0.0013019138152614435,0.001282977072014391,0.09331627713559293,10.587279367776885,45.115130499645026,0.0,0.836660026534074,5
