n_samples,outlier_detector_kwargs,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0005207449611087,0.0005493058009601,0.2430205663561918,0.2457085703569419,0.6512846158654748,0.676364318309683,0.213906928474093,0.2146294933452455,0.6520159765973285,0.6765928863889142,1.3264047092472189,102.13316261203585,77.0,0.0,784.0,,,,,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0006348050902729,0.0006635623965098,0.2430205663561918,0.2457085703569419,0.6575482903044321,0.6790148152778646,0.213906928474093,0.2146294933452455,0.6578812222458518,0.67918119034983,2.454830769230769,122.74153846153848,50.0,0.0,653.0,,,,,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0014124432897084,0.0014355183558331,0.2430205663561918,0.2457085703569419,0.6822904294555229,0.6921547790210665,0.213906928474093,0.2146294933452455,0.6779247189148384,0.6881156501854244,7.962237762237762,258.77272727272725,32.5,0.0,311.0,,,,,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0014146700125321,0.0014397143908927,0.2430205663561918,0.2457085703569419,0.6886416203038069,0.699218603488154,0.213906928474093,0.2146294933452455,0.6852589141077213,0.695901150122415,1.5925769632666185,254.01602564102564,159.5,0.0,315.0,,,,,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0014616675052801,0.0014932308004472,0.2430205663561918,0.2457085703569419,0.68882915546665,0.7011439644933425,0.213906928474093,0.2146294933452455,0.6856245608885237,0.6977783717021541,6.042475451016213,262.8476821192053,43.5,0.0,305.0,,,,,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0066549978120897,0.0053714238086307,0.2430205663561918,0.2457085703569419,0.6423204350815778,0.5679939988747891,0.213906928474093,0.2146294933452455,0.6383273923600932,0.5613479185807391,0.1050424055920391,1394.122807017544,13272.0,0.0,60.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0028620872742753,0.0028753809060717,0.2430205663561918,0.2457085703569419,0.6952303556916922,0.7000187535162843,0.213906928474093,0.2146294933452455,0.6890231164462827,0.6938291315755537,1.6695753839613114,506.7161290322581,303.5,0.0,158.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0031394775409278,0.0031546713619914,0.2430205663561918,0.2457085703569419,0.6951053322497969,0.6999812464837157,0.213906928474093,0.2146294933452455,0.6890880644213007,0.6939568031591051,6.513458587366762,556.9007092198582,85.5,0.0,144.0,,,,,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0111888836299663,0.0089734682395806,0.2430205663561918,0.2457085703569419,0.6346314934050135,0.5597799587422642,0.213906928474093,0.2146294933452455,0.6306519419106638,0.5524144211827478,0.0638162034124134,862.125,13509.5,0.0,35.0,,,,,,,,,,,,,,,,1
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0062487410833975,0.0062482201523896,0.2430205663561918,0.2457085703569419,0.6929299243608177,0.6955804213289992,0.213906928474093,0.2146294933452455,0.682959243836229,0.6858222901204916,3.4973895040057608,1126.159420289855,322.0,0.0,72.0,,,,,,,,,,,,,,,,1
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0203557903949095,0.0164570330621202,0.2430205663561918,0.2457085703569419,0.6297805838594737,0.5583921985372258,0.213906928474093,0.2146294933452455,0.6244697401311594,0.5509321854915546,1.6209863858207036,1484.8235294117646,458.0,0.5,19.0,,,,,,,,,,,,,,,,1
