n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
50,0.1,0.6,0.00012822373882576,0.00014704346916098,0.6654367221059588,0.6656570106839961,0.7097147262914418,0.7164335279215772,0.6419238618598095,0.6422675803806399,0.6247937821545964,0.6653911070549163,345.4,6.457788221501602e-06,7.5196309886563465e-06,0.0,0.0,0.001980684052027128,0.0023113904363292444,0.0,0.0,0.00540339821376188,0.002250227345134404,3.1304951684997064,5
50,0.1,0.7,0.00012672165998014,0.0001521610476572,0.6654367221059588,0.6656570106839961,0.707555898226677,0.7162462826302456,0.6419238618598095,0.6422675803806399,0.6201618252665545,0.6671279857014442,332.6,6.749658849875165e-06,7.022511126027367e-06,0.0,0.0,0.0016792037819943141,0.0020512433276466536,0.0,0.0,0.0028514103607655606,0.002195069899259304,7.53657747256671,5
50,0.1,0.8,0.00014762502046976,0.00017147773206732,0.6654367221059588,0.6656570106839961,0.7112347174798986,0.7188567022799868,0.6419238618598095,0.6422675803806399,0.6259784427142476,0.6701345887663089,310.4,5.720912396469742e-06,5.363312043867368e-06,0.0,0.0,0.001138409299151567,0.000680090815906405,0.0,0.0,0.0024321456158578375,0.0014799047375807484,6.58027355054485,5
50,0.5,0.6,0.00012145195765256001,0.00014366892064702,0.6654367221059588,0.6656570106839961,0.7067408304879392,0.714539046150457,0.6419238618598095,0.6422675803806399,0.6243311020254545,0.6656241263977614,340.2,6.360329790534269e-06,7.200793920896407e-06,0.0,0.0,0.0018945938332162178,0.0026502235757305424,0.0,0.0,0.0026510443628330856,0.0025633877060940976,4.604345773288532,5
50,0.5,0.7,0.00013105314820646,0.00014931991853191998,0.6654367221059588,0.6656570106839961,0.7070051767815839,0.7130190549620001,0.6419238618598095,0.6422675803806399,0.6195436146998494,0.6643828009625267,317.2,4.001946827298948e-06,4.528875232331023e-06,0.0,0.0,0.0012124630103982333,0.0013517939980872459,0.0,0.0,0.002944063251551872,0.0016164719223111126,1.3038404810405335,5
50,0.5,0.8,0.00017023845808785998,0.00017972487883798,0.6654367221059588,0.6656570106839961,0.7100341447295958,0.7127216653816499,0.6419238618598095,0.6422675803806399,0.6229044529882335,0.6669080884320607,262.0,1.0734379051280775e-05,6.906917390518406e-06,0.0,0.0,0.0029447894993635468,0.0013481993924274501,0.0,0.0,0.0073217382890867,0.0018095834110415068,6.284902544988268,5
50,1.0,0.6,0.00011579598843922,0.00013662926687658,0.6654367221059588,0.6656570106839961,0.7049895362925432,0.7123251459411829,0.6419238618598095,0.6422675803806399,0.614219712683183,0.6629339231538264,341.6,2.3139009291598384e-06,2.0110196834403396e-06,0.0,0.0,0.000667032577536737,0.0003706645813517841,0.0,0.0,0.001852523057844753,0.0002991678653288135,3.1304951684997073,5
50,1.0,0.7,0.00012351666625258002,0.00014946295837836,0.6654367221059588,0.6656570106839961,0.7039211366890628,0.7122260160810662,0.6419238618598095,0.6422675803806399,0.6098911037644786,0.6650687702549526,311.6,1.9573315581036097e-06,2.3001066296685017e-06,0.0,0.0,0.000418330851742115,0.0005262200324084987,0.0,0.0,0.0010237253189452143,0.0006418740431199315,2.8809720581775857,5
50,1.0,0.8,0.0001482475735148,0.00017615316733812,0.6654367221059588,0.6656570106839961,0.7042295406983148,0.711763410067188,0.6419238618598095,0.6422675803806399,0.6076905888626399,0.6687872755481008,261.8,5.302303580172249e-06,3.937391274285152e-06,0.0,0.0,0.0007291601847192423,0.0006838709803403482,0.0,0.0,0.00326004242608982,0.0007142948631758109,4.438468204234425,5
125,0.1,0.6,0.00032438051811032,0.00036862265732786,0.6654367221059588,0.6656570106839961,0.7116973234937769,0.7182288798325807,0.6419238618598095,0.6422675803806399,0.6248786842765183,0.6743462975353663,142.6,1.0185776281025099e-05,1.5923475669325448e-05,0.0,0.0,0.0016098596742199927,0.002452287832774369,0.0,0.0,0.005940327915811852,0.0017674075721300616,0.5477225575051667,5
125,0.1,0.7,0.00034497629852094,0.00038139810383878,0.6654367221059588,0.6656570106839961,0.7138671659874436,0.7192091640048464,0.6419238618598095,0.6422675803806399,0.6243841966158452,0.6763520288856494,140.4,1.1574423951751114e-05,1.2333913605793205e-05,0.0,0.0,0.0014999452352048128,0.0019356115679249576,0.0,0.0,0.005044566395417901,0.0028639266071571754,1.1401754250991383,5
125,0.1,0.8,0.00038957586804636,0.00042835165663606,0.6654367221059588,0.6656570106839961,0.7171714946580019,0.7225134926754049,0.6419238618598095,0.6422675803806399,0.6322231646283353,0.679938445396438,132.8,1.0497295925784582e-05,1.5736910779902018e-05,0.0,0.0,0.0018682367673457973,0.0015403473060313188,0.0,0.0,0.0036597484941750347,0.0016413999124494471,3.2710854467592263,5
