const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.5,2,1000,0.45,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
0.5,2,1000,0.5,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
0.5,2,1000,0.55,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
0.5,3,1000,0.45,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
0.5,3,1000,0.5,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
0.5,3,1000,0.55,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
1.0,2,1000,0.45,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
1.0,2,1000,0.5,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
1.0,2,1000,0.55,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
1.0,3,500,0.45,0.0859381512044677,0.0276735850629324,0.3580895223805951,0.3328332083020755,0.6159039759939985,0.4158539634908727,0.3091919346654753,0.2535892231258899,0.6065660650855327,0.3631629307169615,3.0,,,,,,,,,,,,1
1.0,3,500,0.5,0.0859381512044677,0.0276735850629324,0.3580895223805951,0.3328332083020755,0.6159039759939985,0.4158539634908727,0.3091919346654753,0.2535892231258899,0.6065660650855327,0.3631629307169615,3.0,,,,,,,,,,,,1
1.0,3,500,0.55,0.0858547970325914,0.0275068767191797,0.3580895223805951,0.3328332083020755,0.6156539134783696,0.4153538384596149,0.3091919346654753,0.2535892231258899,0.6064799635547319,0.3625392784074986,3.0,,,,,,,,,,,,1
1.0,3,1000,0.45,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
1.0,3,1000,0.5,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
1.0,3,1000,0.55,0.105026256564141,0.0615153788447111,0.3580895223805951,0.3328332083020755,0.5681420355088772,0.4558639659914978,0.3091919346654753,0.2535892231258899,0.5410791941288121,0.3915886806332163,2.0,,,,,,,,,,,,1
