n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
50,0.1,0.6,1.404087979711685e-05,2.3058206922450178e-05,0.5011119150988905,0.382040520984081,0.7237802701398939,0.7477110467920888,0.0669601464993663,0.08147816845807,0.26314540506598955,0.2823528974161063,15858.6,3.571948216080571e-08,5.155745232709724e-08,0.0,0.0,0.0004240269964105129,0.0006892325038391127,0.0,0.0,0.0022013075985456076,0.0060329386284407125,15.693947878083474,5
50,0.1,0.7,1.4400102752218908e-05,2.3618194226872134e-05,0.5011119150988905,0.382040520984081,0.7234901109503136,0.7467737578388809,0.0669601464993663,0.08147816845807,0.2638450698573508,0.2808949811098961,15443.6,1.2029712408857604e-07,1.7951525665642375e-07,0.0,0.0,0.00029720659134038465,0.00047234270064622566,0.0,0.0,0.0021717792920768206,0.005534664358005268,118.00127117959352,5
50,0.1,0.8,1.5148587849849942e-05,2.4845146325526938e-05,0.5011119150988905,0.382040520984081,0.72316497829233,0.746223830197781,0.0669601464993663,0.08147816845807,0.26454603556957046,0.28415693236432993,14659.6,1.5422190341987331e-07,2.9477760669715877e-07,0.0,0.0,0.0001342561496667359,0.0005420068573106601,0.0,0.0,0.003289303456854922,0.0042863175905746365,155.55963486714668,5
50,0.5,0.6,1.3873398504856983e-05,2.288548626526906e-05,0.5011119150988905,0.382040520984081,0.7233936324167873,0.7487151471297636,0.0669601464993663,0.08147816845807,0.26346751186893663,0.2782947585034288,16022.2,2.9450342782867275e-08,6.657021183114612e-08,0.0,0.0,0.00032350556617148624,0.0008284473498175897,0.0,0.0,0.003767686471027484,0.00804110123188512,35.457016230923834,5
50,0.5,0.7,1.4309766479443117e-05,2.3613659019338262e-05,0.5011119150988905,0.382040520984081,0.7226410998552822,0.747608538350217,0.0669601464993663,0.08147816845807,0.26204731037511825,0.2788924391450832,15481.8,1.127315941711844e-07,1.3318859873053398e-07,0.0,0.0,0.000357593392867109,0.0011533479320120713,0.0,0.0,0.003573956772997311,0.004989191090915764,132.42998149965896,5
50,0.5,0.8,1.5436289423687317e-05,2.5404054097133155e-05,0.5011119150988905,0.382040520984081,0.7207397491558127,0.7434893873613121,0.0669601464993663,0.08147816845807,0.2577109601038739,0.2730505190427216,14229.4,1.5257042025537113e-07,2.5959257178186543e-07,0.0,0.0,0.0007137947652112135,0.0013510896342278358,0.0,0.0,0.007033770025307266,0.013571088972911653,177.4043404204082,5
50,1.0,0.6,1.3816112613767987e-05,2.2722347513780797e-05,0.5011119150988905,0.382040520984081,0.7237358900144718,0.7481739025566811,0.0669601464993663,0.08147816845807,0.2647945511564513,0.2754532737570007,16113.4,2.467163991444317e-08,3.783007234578278e-08,0.0,0.0,7.02653812090184e-05,6.545381489624862e-05,0.0,0.0,0.00013439798987416408,0.00018668307585873259,29.517791245281018,5
50,1.0,0.7,1.4338262328179396e-05,2.3523504036831287e-05,0.5011119150988905,0.382040520984081,0.7228917028461168,0.7458999035214664,0.0669601464993663,0.08147816845807,0.26315802263769095,0.27391182602672204,15470.4,2.054155688685302e-07,3.100098308877038e-07,0.0,0.0,0.0002888073056802451,0.000875947665076412,0.0,0.0,0.0005576706715193282,0.00033275678133020786,236.60367706356553,5
50,1.0,0.8,1.601552367167891e-05,2.603453014010866e-05,0.5011119150988905,0.382040520984081,0.7212925711529186,0.739973950795948,0.0669601464993663,0.08147816845807,0.2597930635113571,0.2712010785157087,13760.4,5.340690420480742e-07,8.358851351683106e-07,0.0,0.0,0.0003439346816148706,0.000949072941184911,0.0,0.0,0.0009445230885349458,0.00021206264401535003,467.03725761442195,5
125,0.1,0.6,3.132096961315742e-05,5.285918950969572e-05,0.5011119150988905,0.382040520984081,0.7064770863482875,0.7286273516642547,0.0669601464993663,0.08147816845807,0.24269421918167966,0.25024585409105043,6556.8,2.81945408310014e-08,1.0320017143952891e-07,0.0,0.0,0.00016470239609004146,0.0006423301101003804,0.0,0.0,0.0019720662956817054,0.00803034603039192,8.814760348415556,5
