confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.01,0.01,2,100,5.617398607006651e-05,-6.486646644363762e-05,0.1387710094563437,0.1384702776756775,0.14680388946436324,0.12919437297423728,0.0892377551095781,0.0889535523418541,0.12780881996821744,0.10702937464379295,143.0,2.692773448657585e-06,3.543763224336001e-07,0.0,0.0,0.0003850666031580315,5.067581410798283e-05,0.0,0.0,0.0005333746346680112,6.242541922349624e-05,0.0,5
0.01,0.01,2,250,8.350013618065253e-05,-3.5976984108059377e-06,0.1387710094563437,0.1384702776756775,0.14583486483777186,0.13816286296655192,0.0892377551095781,0.0889535523418541,0.11471565993753367,0.10738558861133951,84.6,3.5796577075796175e-07,4.261698998609457e-06,0.0,0.0,4.483044697091967e-05,0.00035864357576767054,0.0,0.0,0.00034845284249801516,6.444051440292889e-05,0.8944271909999153,5
0.01,0.01,2,500,0.00019544156085928,0.00023526635902458,0.1387710094563437,0.1384702776756775,0.14834764593845018,0.14999832926788517,0.0892377551095781,0.0889535523418541,0.1127340266128832,0.11517522282215117,49.0,1.1668802050257932e-05,2.8091935170207537e-05,0.0,0.0,0.0005717713004633422,0.001376504823339874,0.0,0.0,0.0007497703871507806,0.0015124798514152807,0.0,5
0.01,0.01,2,1000,0.00077784513745348,0.0005303381084448201,0.1387710094563437,0.1384702776756775,0.16055067330504227,0.15331974471213278,0.0892377551095781,0.0889535523418541,0.12065887918813081,0.11288937046319694,28.0,8.53913275635286e-06,6.511088726734096e-05,0.0,0.0,0.00023909571717845973,0.0018231048434856464,0.0,0.0,0.00027552394508877044,0.0022327267839222773,0.0,5
0.01,0.01,3,100,1.8971116913422403e-05,-8.69779359985238e-05,0.1387710094563437,0.1384702776756775,0.14137735155545156,0.12625388445216687,0.0892377551095781,0.0889535523418541,0.12113214200827109,0.10374583479116901,140.0,1.837234125756069e-05,1.2775036418030245e-05,0.0,0.0,0.002575421497287837,0.002179469883680016,0.0,0.0,0.003419188664366693,0.001889986839305124,4.183300132670378,5
0.01,0.01,3,250,6.768349538287611e-05,-3.240184616058998e-05,0.1387710094563437,0.1384702776756775,0.14456510843051423,0.13565676479433283,0.0892377551095781,0.0889535523418541,0.11519140734788443,0.10615543787745767,86.0,2.5675883415398784e-05,1.6162291831949816e-05,0.0,0.0,0.0021562932372679437,0.0014767608629047647,0.0,0.0,0.0024396167810196577,0.0013313868282923964,2.23606797749979,5
0.01,0.01,3,500,0.00017755832855589999,0.00017776686696208,0.1387710094563437,0.1384702776756775,0.1481070605139172,0.14783306044708786,0.0892377551095781,0.0889535523418541,0.11285854567612903,0.11267855857902993,52.6,1.0664264462225602e-05,3.300216021041042e-05,0.0,0.0,0.00048801395841766904,0.00180924166216634,0.0,0.0,0.0007879168694397594,0.001355528377311117,0.547722557505166,5
0.01,0.01,3,1000,0.0007753080997976201,0.00058735515680744,0.1387710094563437,0.1384702776756775,0.1598489658168209,0.15442911083636846,0.0892377551095781,0.0889535523418541,0.11982550577529538,0.11450660101364354,27.2,5.958728099551598e-05,4.918969241950743e-05,0.0,0.0,0.0014778945365507231,0.0011096478986871007,0.0,0.0,0.001393526838071708,0.0008163564196232968,0.44721359549995765,5
0.01,0.1,2,100,5.523931076108036e-05,-6.467953138184041e-05,0.1387710094563437,0.1384702776756775,0.14667023089517822,0.1292211046880743,0.0892377551095781,0.0889535523418541,0.127620142599299,0.10705838303260284,143.0,2.298997280561998e-06,1.955013672042615e-07,0.0,0.0,0.00032875661112035623,2.7956695510200988e-05,0.0,0.0,0.0004553238921063207,3.384035198472168e-05,0.0,5
0.01,0.1,2,250,8.36602233400591e-05,-1.6918086786992316e-06,0.1387710094563437,0.1384702776756775,0.14581481605239413,0.13832325324957392,0.0892377551095781,0.0889535523418541,0.11455982708897797,0.10735676993719749,84.2,4.3841674186954953e-07,5.219493991961604e-06,0.0,0.0,5.4905860009825666e-05,0.00043924688007899895,0.0,0.0,0.0004267658317712629,7.892318952482054e-05,1.0954451150103304,5
