n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
50,0.1,0.6,-8.552611498574827e-05,-0.00017861717278718,0.1387710094563437,0.1384702776756775,0.09391519363785208,0.04480235239081762,0.0892377551095781,0.0889535523418541,0.09225631487472512,0.03991938108758884,524.4,6.581755514001112e-06,8.629415237067033e-07,0.0,0.0,0.0035523080922921554,0.0007704955708053052,0.0,0.0,0.0045569471650809485,0.0007821959472361143,2.0736441353327697,5
50,0.1,0.7,-9.035494749857123e-05,-0.0001841542303592,0.1387710094563437,0.1384702776756775,0.09534534032813174,0.04997493901827776,0.0892377551095781,0.0889535523418541,0.09342280133772146,0.04614242707831666,480.6,4.613566600246222e-06,3.0899499056008106e-06,0.0,0.0,0.0025059422323700548,0.0022854980248203666,0.0,0.0,0.0025275777778323533,0.002374897380953217,12.136721138759015,5
50,0.1,0.8,-0.00012417088657018,-0.00019689949172234,0.1387710094563437,0.1384702776756775,0.09017275370067156,0.06140942961205598,0.0892377551095781,0.0889535523418541,0.08349884074274982,0.057764017889308815,391.4,3.588131534229332e-06,3.317811736120273e-06,0.0,0.0,0.001865632574831074,0.0022191700176153397,0.0,0.0,0.0016647389677668981,0.0023861801214271686,10.573551910309044,5
50,0.5,0.6,-5.367520017124862e-05,-0.00016478435838514,0.1387710094563437,0.1384702776756775,0.11663715039930493,0.07050489524509636,0.0892377551095781,0.0889535523418541,0.11576694970854895,0.06835143135865084,412.6,4.375047669619433e-06,4.290934325871873e-06,0.0,0.0,0.0016634653341525342,0.0010318038999327897,0.0,0.0,0.0019718221513125374,0.0011010665901830454,8.73498712076898,5
50,0.5,0.7,-1.0567383368057229e-05,-0.00012135324258568002,0.1387710094563437,0.1384702776756775,0.1364186186386874,0.11150466134260029,0.0892377551095781,0.0889535523418541,0.1280793330368125,0.10061017384563013,221.6,2.03901841680227e-05,8.097174192589124e-06,0.0,0.0,0.00435100473149342,0.003222218154578571,0.0,0.0,0.005736580226802449,0.0013444444937746596,13.70401401050072,5
50,0.5,0.8,0.00027602367209646,0.00016663041751740002,0.1387710094563437,0.1384702776756775,0.15732281885922408,0.1496374511310856,0.0892377551095781,0.0889535523418541,0.1260149112390944,0.11867699585695253,67.4,2.884979200657918e-05,2.7799036179206918e-05,0.0,0.0,0.002092007469410086,0.0017203511630647724,0.0,0.0,0.0028178817906418896,0.0020055176127976417,6.228964600958974,5
50,1.0,0.6,-9.035567236963311e-05,-0.00020706696056422,0.1387710094563437,0.1384702776756775,0.10659939185351015,0.06453704013098535,0.0892377551095781,0.0889535523418541,0.1060964590915308,0.05702893302729278,357.0,5.763110318666725e-06,1.9660000592074585e-06,0.0,0.0,0.0005794334066653954,0.00425250391989944,0.0,0.0,0.0016309813898571454,0.0036447284387091192,19.248376554920156,5
50,1.0,0.7,-3.764807358936304e-05,-0.00010712672511538968,0.1387710094563437,0.1384702776756775,0.13256256891769969,0.12092759047014397,0.0892377551095781,0.0889535523418541,0.11224245824797925,0.0984083257160001,162.8,1.9527128086180362e-05,1.8825746464392282e-05,0.0,0.0,0.0035895009749046906,0.0040948277396485894,0.0,0.0,0.0023740571886090855,0.0027531804529683924,10.009995004993758,5
50,1.0,0.8,0.00042705542206361997,0.00038417954794224,0.1387710094563437,0.1384702776756775,0.15339993985364384,0.1515821833127276,0.0892377551095781,0.0889535523418541,0.11377067377364984,0.11209904697839872,34.4,5.364475210783956e-05,5.0930452777459516e-05,0.0,0.0,0.0017943694025391516,0.0011315680028753275,0.0,0.0,0.002267446840905286,0.001289041109617852,3.577708763999663,5
125,0.1,0.6,-0.00013254248420312,-0.00022373508172316,0.1387710094563437,0.1384702776756775,0.11133090520265976,0.09216426638152833,0.0892377551095781,0.0889535523418541,0.0978781156031279,0.08097701271971916,207.0,4.900499508978457e-06,5.287226669429391e-06,0.0,0.0,0.0011866668146177026,0.0008179423948030749,0.0,0.0,0.0013162908454704017,0.0010239074208338223,2.4494897427831783,5
125,0.1,0.7,2.5797560566878944e-05,-0.0001975094584052,0.1387710094563437,0.1384702776756775,0.14346242523473784,0.1024760249941524,0.0892377551095781,0.0889535523418541,0.12870358251055536,0.09009730835814059,182.2,1.4631653913062774e-05,1.0129691624297522e-05,0.0,0.0,0.002643096093455738,0.0020383479574375973,0.0,0.0,0.0028962239917870126,0.002064468925561605,1.0954451150103304,5
125,0.1,0.8,0.00010233833306894593,-0.00015261095043902,0.1387710094563437,0.1384702776756775,0.15579911117051487,0.11303505195976873,0.0892377551095781,0.0889535523418541,0.13675600840096913,0.09857739371301547,166.6,8.699248770823927e-06,5.160398518266606e-06,0.0,0.0,0.0011251360570944653,0.0013047551403150956,0.0,0.0,0.0007892221210066574,0.0009303663984496889,3.781534080237806,5
125,0.5,0.6,-7.844195686791935e-05,-0.00013773745850206,0.1387710094563437,0.1384702776756775,0.12539178668092354,0.1151869549236475,0.0892377551095781,0.0889535523418541,0.1111606129657076,0.0996696430722535,168.2,2.0915776530031543e-05,1.5300888489347612e-05,0.0,0.0,0.0044331799193378435,0.00406550612537544,0.0,0.0,0.003386883023348017,0.003012615141683683,13.349157276772193,5
125,0.5,0.7,0.00015218053854470002,0.0001168368625591,0.1387710094563437,0.1384702776756775,0.15094062218063956,0.14784642630400635,0.0892377551095781,0.0889535523418541,0.12039692778288946,0.11819928764293075,80.4,3.136611698947197e-05,7.994420484603877e-06,0.0,0.0,0.00231833571985527,0.0005838485668654473,0.0,0.0,0.002439962767793419,0.001116607633319886,4.9799598391954945,5
