n_clusters,n_samples,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
2,100,0.005,0.0015671467236943,0.0012330003007317,0.1387710094563437,0.1384702776756775,0.154442476693287,0.1508002806829952,0.0892377551095781,0.0889535523418541,0.1122880180834815,0.1076522029715622,10.0,,,,,,,,,,,,1
2,100,0.05,0.0007103306217171,0.0005389458434879,0.1387710094563437,0.1384702776756775,0.1607912587295753,0.1551775988238045,0.0892377551095781,0.0889535523418541,0.1197224106351726,0.1145243069251862,31.0,,,,,,,,,,,,1
2,250,0.005,0.0030206836635813,0.0029538543789888,0.1387710094563437,0.1384702776756775,0.1538744277742506,0.1532395495706218,0.0892377551095781,0.0889535523418541,0.107296631437188,0.1064941724457746,5.0,,,,,,,,,,,,1
2,250,0.05,0.0018656508615408,0.0016623784542386,0.1387710094563437,0.1384702776756775,0.1611588197948341,0.1584188191265412,0.0892377551095781,0.0889535523418541,0.1183106102777429,0.114844616510553,12.0,,,,,,,,,,,,1
2,500,0.005,0.0031008788050923,0.0030607812343368,0.1387710094563437,0.1384702776756775,0.1542754034818057,0.1537741838473619,0.0892377551095781,0.0889535523418541,0.10815522003286,0.1079516861345214,5.0,,,,,,,,,,,,1
2,500,0.05,0.0018664464482621,0.0017232408384211,0.1387710094563437,0.1384702776756775,0.1518361345941791,0.1505329635446252,0.0892377551095781,0.0889535523418541,0.1060875801284555,0.1042833627671473,7.0,,,,,,,,,,,,1
2,1000,0.005,0.0216526882079727,0.0213185417850101,0.1387710094563437,0.1384702776756775,0.1604236976643165,0.1597888194606876,0.0892377551095781,0.0889535523418541,0.1125326632027634,0.111684091162006,1.0,,,,,,,,,,,,1
2,1000,0.05,0.0053908956237956,0.0049342288457468,0.1387710094563437,0.1384702776756775,0.1549436963277308,0.1532729642129181,0.0892377551095781,0.0889535523418541,0.1095417293930284,0.1073270558514445,3.0,,,,,,,,,,,,1
3,100,0.005,0.0015537808667758,0.0012238112741003,0.1387710094563437,0.1384702776756775,0.1512012563905503,0.1482607678684799,0.0892377551095781,0.0889535523418541,0.1095941618541368,0.1057026910593139,8.0,,,,,,,,,,,,1
3,100,0.05,0.0008401395777343,0.0006384583438748,0.1387710094563437,0.1384702776756775,0.1622949176329067,0.1563471113041734,0.0892377551095781,0.0889535523418541,0.1216171848274723,0.1151521275879436,28.0,,,,,,,,,,,,1
3,250,0.005,0.0028602933805593,0.0027734153105891,0.1387710094563437,0.1384702776756775,0.1530724763591405,0.152337354228623,0.0892377551095781,0.0889535523418541,0.1067185648079382,0.1056243508336953,5.0,,,,,,,,,,,,1
3,250,0.05,0.0020424700103585,0.0019380492531827,0.1387710094563437,0.1384702776756775,0.155110769539212,0.1539746717011394,0.0892377551095781,0.0889535523418541,0.1096923425630356,0.1081487126408255,8.0,,,,,,,,,,,,1
3,500,0.005,0.0055022777647831,0.0051681313418206,0.1387710094563437,0.1384702776756775,0.1552778427506933,0.1539746717011394,0.0892377551095781,0.0889535523418541,0.1100287348242609,0.1082521589082817,3.0,,,,,,,,,,,,1
3,500,0.05,0.0020438622871208,0.0018767890756396,0.1387710094563437,0.1384702776756775,0.151034183179069,0.1497310121295151,0.0892377551095781,0.0889535523418541,0.1050463410044415,0.1035842320883466,6.0,,,,,,,,,,,,1
3,1000,0.05,0.0051013020572281,0.0048785377752531,0.1387710094563437,0.1384702776756775,0.1540749156280282,0.1531058910014368,0.0892377551095781,0.0889535523418541,0.1086916291325081,0.1076094670929094,3.0,,,,,,,,,,,,1
