confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
0.01,0.01,2,100,0.00051128951871504,0.0003067138873521,0.2427871463482838,0.1523058031100682,0.5796009677929215,0.35434351785432044,0.176659023550584,0.0748087803691306,0.57951292390134,0.3168535585983215,658.8,3.8888906221324965e-06,4.166162744514536e-06,0.0,0.0,0.0014040644769776254,0.0004547232763381309,0.0,0.0,0.001434571013634135,0.000367474245462821,7.661592523751177,5
0.01,0.01,2,250,0.00098636551041068,0.00063594115762994,0.2427871463482838,0.1523058031100682,0.5596080195503896,0.35656846891755517,0.176659023550584,0.0748087803691306,0.5543052930291166,0.3088588516331023,321.2,7.581896540978212e-07,4.567233896314309e-06,0.0,0.0,0.0006851014970759,0.0011853343362106686,0.0,0.0,0.0006493035611031177,0.0008808703214423063,0.44721359549995315,5
0.01,0.01,2,500,0.0016504573460792,0.0011293702118219,0.2427871463482838,0.1523058031100682,0.5118116937591947,0.3363931476370533,0.176659023550584,0.0748087803691306,0.5018728401760091,0.2778363138440508,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.01,3,100,0.00045201749980244003,0.00027727476822380005,0.2427871463482838,0.1523058031100682,0.5680458121071381,0.35182433828982723,0.176659023550584,0.0748087803691306,0.5683784252714864,0.31536379568578676,719.6,3.619470226198745e-06,2.2465508671040597e-06,0.0,0.0,0.0011684342593084368,0.0006430873177697515,0.0,0.0,0.0012394143691500505,0.0007150755223197153,5.079370039680119,5
0.01,0.01,3,250,0.00099905979333698,0.00062399227948922,0.2427871463482838,0.1523058031100682,0.5650816423299979,0.353604299140415,0.176659023550584,0.0748087803691306,0.5604123475171304,0.305041397555993,322.6,6.38823157197852e-06,4.902140711023839e-06,0.0,0.0,0.0016676826323730567,0.001381698277260352,0.0,0.0,0.0019036026304829349,0.002265840980956365,0.5477225575051667,5
0.01,0.01,3,500,0.0016447884909112,0.0011456308753301,0.2427871463482838,0.1523058031100682,0.5108876703668129,0.3390436357888849,0.176659023550584,0.0748087803691306,0.5002172627308201,0.2856728235333044,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.01,0.1,2,100,0.00040528010421538003,0.00024911280500516,0.2427871463482838,0.1523058031100682,0.5668494449780545,0.3514960668214811,0.176659023550584,0.0748087803691306,0.5676313991032018,0.31761527200815853,799.6,1.8174785820758046e-06,8.020807437256191e-07,0.0,0.0,0.0015567817544985408,0.0005126957018073859,0.0,0.0,0.001521169823068184,0.0009867504644758317,0.5477225575051635,5
0.01,0.1,2,250,0.00099063611308926,0.00060934047918296,0.2427871463482838,0.1523058031100682,0.5661296793881992,0.35119454339870393,0.176659023550584,0.0748087803691306,0.559843298306954,0.298399105916609,326.4,2.4973237556809083e-06,1.7991075928883726e-08,0.0,0.0,0.0002730321931903661,0.00033962541104165273,0.0,0.0,0.0003412388205657972,0.00038102868122223297,0.5477225575051635,5
0.01,0.1,3,100,0.00039316721091056,0.00024234960265234,0.2427871463482838,0.1523058031100682,0.5607800702744107,0.3483179126797894,0.176659023550584,0.0748087803691306,0.5617130231007228,0.314427866984183,808.8,1.4459067556341022e-06,8.08246282836363e-07,0.0,0.0,0.0009911955505777382,0.0006133207646995275,0.0,0.0,0.001194946796847796,0.0011383220560784726,1.0954451150103368,5
0.01,0.1,3,250,0.0010047062654489,0.0006006226412575,0.2427871463482838,0.1523058031100682,0.571326095150093,0.3487094068012984,0.17665902355058397,0.0748087803691306,0.5666670679287711,0.2951302059310812,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.1,0.01,2,100,0.00041626412126190005,0.00025187281930176,0.2427871463482838,0.1523058031100682,0.5705528334690999,0.3506304028012498,0.176659023550584,0.0748087803691306,0.5716765334619451,0.3183045478105406,787.4,1.5795523771609784e-06,1.72280626505746e-07,0.0,0.0,0.0010201159408249445,9.259411185377532e-05,0.0,0.0,0.0011736868981339435,0.00040464830921789735,0.5477225575051765,5
0.1,0.01,2,250,0.0009969354265222,0.0006164245864435,0.2427871463482838,0.1523058031100682,0.5687850308210434,0.353876642877117,0.176659023550584,0.0748087803691306,0.565197765613451,0.3029473435207298,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.1,0.01,2,500,0.0016566483326442,0.0011518218618952,0.2427871463482838,0.1523058031100682,0.5128208245692957,0.340052766598986,0.176659023550584,0.0748087803691306,0.5023346586477476,0.2813873990576557,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
