n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
50,0.1,0.6,0.00033361297688956,0.00020961420596792,0.2427871463482838,0.1523058031100682,0.5349122785687364,0.3357390363408673,0.176659023550584,0.0748087803691306,0.5359277988298704,0.3011821640440667,881.8,3.1744172868171376e-05,2.1845899569254697e-05,0.0,0.0,0.0019940564151105502,0.003575208298458504,0.0,0.0,0.0017858008015669935,0.0035155218956388736,81.10918566968849,5
50,0.1,0.7,0.00079824561517232,0.00059885618371068,0.2427871463482838,0.1523058031100682,0.4912813529647776,0.33541562815353376,0.176659023550584,0.0748087803691306,0.4800984443482264,0.2883344964604968,319.4,9.900440479555893e-05,0.00012182738476192865,0.0,0.0,0.03738790959879083,0.012573714213216906,0.0,0.0,0.042247643852169545,0.014481728251262904,84.11183032130498,5
50,0.1,0.8,0.00115841034463914,0.00100490691944788,0.2427871463482838,0.1523058031100682,0.38691047915476173,0.27769577745626084,0.176659023550584,0.0748087803691306,0.36489699483457305,0.2299373240336165,124.8,7.884631034487222e-05,8.251939043653549e-05,0.0,0.0,0.005157149226325144,0.01273206887810282,0.0,0.0,0.005281446566754896,0.014317689665503461,8.167006795638168,5
50,0.5,0.6,0.00059437110956592,0.00038149330408993997,0.2427871463482838,0.1523058031100682,0.5493221802088779,0.3486826587557295,0.176659023550584,0.0748087803691306,0.5429742006371463,0.3035238386785356,516.2,1.138183456492524e-05,2.142557681228356e-05,0.0,0.0,0.015989830834169317,0.0052028967587714105,0.0,0.0,0.017392960824924145,0.006116637531731561,34.787928940941576,5
50,0.5,0.7,0.00081231799044688,0.00053933345112382,0.2427871463482838,0.1523058031100682,0.44101204877870853,0.2839329353548371,0.176659023550584,0.0748087803691306,0.423719199135238,0.2304377792705831,244.0,1.737975422044895e-05,1.623906813826736e-05,0.0,0.0,0.012111487293902566,0.008795417157966744,0.0,0.0,0.013449339537322243,0.010652787442060122,13.435028842544403,5
50,0.5,0.8,0.00106070450758044,0.000745971233427,0.2427871463482838,0.1523058031100682,0.372680518912084,0.24355797638877066,0.176659023550584,0.0748087803691306,0.3516604370791797,0.1899921256224672,122.6,4.84705946506559e-05,5.6563227442717967e-05,0.0,0.0,0.00772292623242639,0.006198332259454681,0.0,0.0,0.008480825406400948,0.006386190694644197,7.987490219086344,5
50,1.0,0.6,0.0005609056394004399,0.00037313151772851996,0.2427871463482838,0.1523058031100682,0.5263383141436371,0.34068256149010934,0.176659023550584,0.0748087803691306,0.518231778758767,0.29403270393993197,510.8,4.877817556116704e-05,3.659670096227136e-05,0.0,0.0,0.022330539682883618,0.01338351221084896,0.0,0.0,0.025323125868701155,0.016657826849321926,77.14726177901586,5
50,1.0,0.7,0.00075924663393168,0.00048753944390316,0.2427871463482838,0.1523058031100682,0.4474486011987987,0.2837116560687668,0.176659023550584,0.0748087803691306,0.43217959079368057,0.23106617015129585,269.6,1.4956140976928635e-05,1.2730550493045849e-05,0.0,0.0,0.005199699487225747,0.0033978532769009225,0.0,0.0,0.0061385672147271746,0.004352423169143565,6.877499545619765,5
50,1.0,0.8,0.00098821852252592,0.0006985640662591,0.2427871463482838,0.1523058031100682,0.38586730537757297,0.25342800520371067,0.176659023550584,0.0748087803691306,0.3652132149256928,0.1988608361950409,145.0,3.688008989064777e-05,3.754175724439478e-05,0.0,0.0,0.003297870695066802,0.004009685979621572,0.0,0.0,0.004242209661993915,0.004378396705168761,7.7781745930520225,5
125,0.1,0.6,0.00077335482122766,0.00047972285818741997,0.2427871463482838,0.1523058031100682,0.575788155479094,0.358647521550414,0.176659023550584,0.0748087803691306,0.5722332085968975,0.313046982602515,431.6,3.559385825262919e-05,3.2225462861282224e-05,0.0,0.0,0.00655663692664493,0.0012640906033488447,0.0,0.0,0.007540955575433114,0.001927078911900403,27.464522570035687,5
125,0.1,0.7,0.0010608208903567999,0.00072855743740422,0.2427871463482838,0.1523058031100682,0.5003708251772058,0.32885749370813017,0.176659023550584,0.0748087803691306,0.48789544690458364,0.27651619532868194,243.2,3.2571630698640765e-05,4.998638942124994e-05,0.0,0.0,0.009612764251097979,0.0009612441314664128,0.0,0.0,0.011466862119488384,0.001497805338422786,15.959323293924465,5
125,0.1,0.8,0.0011425573089917,0.00080041116413128,0.2427871463482838,0.1523058031100682,0.41199771425792403,0.27069994771972905,0.176659023550584,0.0748087803691306,0.38976334874253254,0.21169234090629377,148.2,2.4452121531573822e-05,3.721368245967012e-05,0.0,0.0,0.0068039108994052576,0.0018343258699273378,0.0,0.0,0.0073725411863691985,0.0016534172546449706,7.918333157931663,5
125,0.5,0.6,0.00080244921761304,0.0005041228992822,0.2427871463482838,0.1523058031100682,0.5706646889323882,0.3581466036061228,0.176659023550584,0.0748087803691306,0.5657021831978941,0.3133838923867231,410.6,5.814151039593079e-05,4.201974131855507e-05,0.0,0.0,0.005027094036779387,0.0031508563022782207,0.0,0.0,0.006072757550593534,0.004529996807171348,34.82527817548626,5
125,0.5,0.7,0.0010888293047609,0.00072432408000584,0.2427871463482838,0.1523058031100682,0.5020243407214677,0.3245170154044426,0.176659023550584,0.0748087803691306,0.4895853282311968,0.27098520847638213,238.6,4.721817502014373e-05,4.65356497195664e-05,0.0,0.0,0.010615889824999551,0.0035947016528802677,0.0,0.0,0.012335324952558862,0.0040880712302716875,17.082154430867316,5
125,0.5,0.8,0.0012333614380863,0.000860321647808,0.2427871463482838,0.1523058031100682,0.41350289973130366,0.27131028948680225,0.176659023550584,0.0748087803691306,0.3923885427201216,0.21472987299535684,138.4,5.143435375801122e-05,1.9012298536429606e-05,0.0,0.0,0.011502714713720474,0.00479422608515648,0.0,0.0,0.013424942322349396,0.004975723435976242,6.87749954561976,5
125,1.0,0.6,0.00072517704034942,0.00045954094906076,0.2427871463482838,0.1523058031100682,0.5666670719400844,0.3575581466036061,0.176659023550584,0.0748087803691306,0.5633428627370217,0.3151532309094434,446.8,1.555716373950686e-05,8.529090969189276e-06,0.0,0.0,0.0011670734542935527,0.0011950467907187548,0.0,0.0,0.0013825504306734448,0.001691390406622858,10.473776778220927,5
125,1.0,0.7,0.00101786897509136,0.00067160907218058,0.2427871463482838,0.1523058031100682,0.5105253559313792,0.3288915366752179,0.176659023550584,0.0748087803691306,0.49994409718244565,0.27533841400444914,263.2,2.1481751821254974e-05,2.5046494368960835e-05,0.0,0.0,0.004671395964127926,0.0024831175393827875,0.0,0.0,0.005525307830920096,0.0025550801030493338,9.833615815151619,5
125,1.0,0.8,0.0013402043175848,0.0009545043219871,0.2427871463482838,0.1523058031100682,0.4409001933154202,0.29337985872168654,0.176659023550584,0.0748087803691306,0.42188665523908087,0.23561684766050553,147.8,8.229371487869378e-06,1.2951039638481477e-05,0.0,0.0,0.009720209569503861,0.0065639848585836375,0.0,0.0,0.01052343893530613,0.005866523200541087,6.610597552415363,5
250,0.1,0.6,0.00114612314654306,0.00073159368873008,0.2427871463482838,0.1523058031100682,0.5601502753832873,0.3549052268112682,0.176659023550584,0.0748087803691306,0.5546746959092419,0.3053147184588614,277.0,2.706402017658597e-05,1.0456185286257985e-05,0.0,0.0,0.004357773541730593,0.0017929247447285432,0.0,0.0,0.004536327796924078,0.00259467609253265,6.284902544988269,5
250,0.1,0.7,0.00139812714057268,0.00094814243762282,0.2427871463482838,0.1523058031100682,0.5219321815462802,0.3414995927002152,0.176659023550584,0.0748087803691306,0.5137443337422077,0.2883376653064245,199.8,3.4631558458453846e-05,3.485456906493571e-05,0.0,0.0,0.007608269553644734,0.0015321264941359422,0.0,0.0,0.00853656723379035,0.002115645142304657,8.87130204648675,5
250,0.1,0.8,0.0015987033295404,0.00117157941849712,0.2427871463482838,0.1523058031100682,0.4346046760446935,0.2928497610913202,0.176659023550584,0.0748087803691306,0.4148217322814255,0.23611971267103238,120.0,3.23045159288168e-05,2.5862119133852977e-05,0.0,0.0,0.004390848618242249,0.001626783854937031,0.0,0.0,0.0049289937891925425,0.0016682486219601227,2.5495097567963922,5
250,0.5,0.6,0.00111688598534124,0.0007298289355444,0.2427871463482838,0.1523058031100682,0.5563082833833846,0.35715206263905946,0.176659023550584,0.0748087803691306,0.5511182550051232,0.309576017819008,280.8,1.8482637734049868e-05,1.622155111973204e-05,0.0,0.0,0.002928807272287488,0.0006743474449376957,0.0,0.0,0.003037050220200663,0.0010001654939465275,6.942621983083918,5
250,0.5,0.7,0.00132951254610026,0.0008682662255441399,0.2427871463482838,0.1523058031100682,0.5295723960169728,0.33950321584456955,0.176659023550584,0.0748087803691306,0.5215661721050372,0.28643544415879296,215.8,2.6726324949102746e-05,3.8213759775189454e-05,0.0,0.0,0.004144515285660324,0.004133139776236811,0.0,0.0,0.004547761331939774,0.004474658537173346,6.3796551630946325,5
250,0.5,0.8,0.00157545763180706,0.00118632292899538,0.2427871463482838,0.1523058031100682,0.44790088633296443,0.3067247018200829,0.176659023550584,0.0748087803691306,0.4306728939211001,0.24943592440461662,130.4,5.62044175479925e-05,5.63525930907151e-05,0.0,0.0,0.004359326866159586,0.004746710817718341,0.0,0.0,0.005176824173653225,0.004895009911207644,7.300684899377591,5
250,1.0,0.6,0.00107926260339138,0.0007107735012769799,0.2427871463482838,0.1523058031100682,0.5458303444418777,0.3518754027404588,0.176659023550584,0.0748087803691306,0.5386418112324982,0.3030521480939549,280.8,5.768861648874354e-06,6.331141056728169e-06,0.0,0.0,0.0018722842387943934,0.0005269988279535051,0.0,0.0,0.0019402566881387517,0.000549742734808448,3.1144823004794855,5
250,1.0,0.7,0.0013025883127863,0.00089403054238982,0.2427871463482838,0.1523058031100682,0.5196610293134263,0.34234823523690255,0.176659023550584,0.0748087803691306,0.5102985331576414,0.2898241315602642,212.6,2.0603064312296224e-05,1.2759339749466004e-05,0.0,0.0,0.0017102187691127345,0.00214421544173219,0.0,0.0,0.0018236550706521761,0.0022940012721691157,3.6469165057620914,5
250,1.0,0.8,0.00160739632756744,0.00119234685938624,0.2427871463482838,0.1523058031100682,0.4761541173752872,0.32539726926771145,0.176659023550584,0.0748087803691306,0.46067505170493206,0.2681075080569675,145.2,1.578509222214098e-05,2.113780190298537e-05,0.0,0.0,0.0017159527287329691,0.000846135777515219,0.0,0.0,0.001887463400283585,0.0007957116163282976,2.280350850198276,5
500,0.1,0.6,0.0016931143445138997,0.00123261694050732,0.2427871463482838,0.1523058031100682,0.5068973482960278,0.34458777614317493,0.176659023550584,0.0748087803691306,0.49730178773302025,0.289095621976259,156.0,2.9520498797253367e-05,1.5368851412189607e-05,0.0,0.0,0.003883840697361915,0.0022384469288935305,0.0,0.0,0.0041883973009560664,0.0018126084544766636,1.2247448713915912,5
