n_samples,outlier_detector_kwargs,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),drifts (std),count
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0003910244403354,0.0002327597208322,0.2427871463482838,0.1523058031100682,0.5626451385427178,0.3427032547508176,0.176659023550584,0.0748087803691306,0.5695371057293879,0.3176928569935259,818.0,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0004025350838078,0.0002406398046466,0.2427871463482838,0.1523058031100682,0.5704507045678366,0.3481866040924509,0.176659023550584,0.0748087803691306,0.5738942144022471,0.317508062021745,814.0,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0004438840017092,0.0002705832424658,0.2427871463482838,0.1523058031100682,0.5628275115806879,0.347396320927914,0.176659023550584,0.0748087803691306,0.5632452497476359,0.3148784162099459,721.0,,,,,,,,,,,,1
100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0005754500198086,0.0003632779156344,0.2427871463482838,0.1523058031100682,0.5477756568468918,0.3448430983963331,0.176659023550584,0.0748087803691306,0.5427582174300285,0.3031226975951001,530.0,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0010482989271789,0.0006360797465856,0.2427871463482838,0.1523058031100682,0.5834842976814307,0.3590317207504042,0.176659023550584,0.0748087803691306,0.5797406559459558,0.3096282339243476,325.0,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0010525039589432,0.0006437749183599,0.2427871463482838,0.1523058031100682,0.5785359092511763,0.3576700020668944,0.176659023550584,0.0748087803691306,0.5740992694910999,0.3112900304815879,319.0,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0010338156455434,0.0006728766835272,0.2427871463482838,0.1523058031100682,0.5498303930746878,0.3521501781176671,0.176659023550584,0.0748087803691306,0.5421701808561095,0.3030170414541775,297.0,,,,,,,,,,,,1
250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0012090096417573,0.0007723233300923,0.2427871463482838,0.1523058031100682,0.5341584700117935,0.3384357256623181,0.176659023550584,0.0748087803691306,0.5263564199687815,0.2862944241366954,241.0,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0016900661406217,0.0011544213303505,0.2427871463482838,0.1523058031100682,0.5131977288477672,0.3370132159661516,0.176659023550584,0.0748087803691306,0.5033852928850202,0.2775842974734195,160.0,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0016880829828314,0.0011992914549212,0.2427871463482838,0.1523058031100682,0.5010638427214921,0.3357973957130178,0.176659023550584,0.0748087803691306,0.4876833843781402,0.2804612583201297,153.0,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0016904932498917,0.0012206835341463,0.2427871463482838,0.1523058031100682,0.4879086675825846,0.3293049155612834,0.176659023550584,0.0748087803691306,0.4743636202033465,0.2725297479860891,145.0,,,,,,,,,,,,1
500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0018367760422707,0.0012774099798253,0.2427871463482838,0.1523058031100682,0.4944254641393816,0.327310970346144,0.176659023550584,0.0748087803691306,0.4836810236142906,0.2714051994807998,137.0,,,,,,,,,,,,1
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0025065904383278,0.0020733582848377,0.2427871463482838,0.1523058031100682,0.440807790976182,0.3161011076122506,0.176659023550584,0.0748087803691306,0.4272997993249617,0.2614185301422572,79.0,,,,,,,,,,,,1
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,0.0025623806581629,0.0021016321518455,0.2427871463482838,0.1523058031100682,0.4400904570268331,0.3141314788021739,0.176659023550584,0.0748087803691306,0.4255917903512357,0.2589443220330032,77.0,,,,,,,,,,,,1
1000,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,0.0026373024955652,0.0022580008250453,0.2427871463482838,0.1523058031100682,0.4300356235334168,0.312623861688288,0.176659023550584,0.0748087803691306,0.4144085052954902,0.259652566340224,71.0,,,,,,,,,,,,1
