n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
50,0.1,0.6,0.00016677573722587998,0.00017317868641148,0.3604390073942162,0.3604712683726272,0.8545907372278787,0.8735950343902029,0.3558536212730926,0.3558927203261205,0.8543065122876872,0.8733285713463887,2.1379074558192466,52.816010353177305,24.937931034482762,0.0,2963.0,6.454396562454717e-07,6.221695081677122e-07,0.0,0.0,0.0005432235323146006,0.0003717719094856976,0.0,0.0,0.000548932975635774,0.00036769925966993977,0.22515880218412576,0.17751638913959775,2.7773502115116955,0.0,9.565563234854483,5
50,0.1,0.7,0.00017494310191557997,0.00018177790152095998,0.3604390073942162,0.3604712683726272,0.8548643103248036,0.8742144451756932,0.3558536212730926,0.3558927203261205,0.8545739006423834,0.8739574098982125,2.18145372986404,55.39222077950202,25.49655172413793,0.0,2826.4,1.74427576502715e-06,1.743725121687752e-06,0.0,0.0,0.000707435518108494,0.0005240199890118772,0.0,0.0,0.0007033340187283013,0.0005108867427513705,0.15895387820491996,0.4837726784626977,1.8146254809594855,0.0,24.30637776387095,5
50,0.1,0.8,0.00019893622915958002,0.00020655457077142,0.3604390073942162,0.3604712683726272,0.8569535312866968,0.8760120268927516,0.3558536212730926,0.3558927203261205,0.856652048024315,0.8757459074121435,2.76755008445813,62.812026769970245,22.993103448275864,0.0,2500.0,9.271302291188629e-06,9.489680008535572e-06,0.0,0.0,0.0009640193590588107,0.0006290576444543955,0.0,0.0,0.0009771706177931193,0.0006463399970585129,0.33297016950337066,2.8485027306612247,3.2930041508770116,0.0,111.4652412189558,5
50,0.5,0.7,0.00016238521523695,0.0001687588033326,0.3604390073942162,0.3604712683726272,0.8536029060689352,0.8729917540939182,0.3558536212730926,0.3558927203261205,0.8533045954337146,0.872713955857287,1.9926060684553333,51.50698370468906,26.017241379310345,0.0,3037.0,8.705387074465555e-08,1.0446262857088986e-07,0.0,0.0,0.00026438260550694354,0.0003172530029364775,0.0,0.0,0.0002695044089694498,0.00032028104591417394,0.18575587504272362,0.004323245759895992,2.40647494907781,0.0,0.0,4
50,0.5,0.8,0.00016337170338708002,0.00016982043133104,0.3604390073942162,0.3604712683726272,0.8541481166040803,0.8736685894209799,0.3558536212730926,0.3558927203261205,0.8538376197870379,0.8733982520255271,1.74184029769278,51.772409561226596,29.937931034482762,0.0,3022.0,1.572198030928251e-07,1.1344545738370768e-07,0.0,0.0,0.0003143418090539896,0.0004356211753157794,0.0,0.0,0.000318035200204492,0.00044076526572035227,0.16220971704318513,0.03301157206391991,2.892382056294075,0.0,1.8708286933869631,5
125,0.1,0.8,0.0004040497235074,0.00041873384988905,0.3604390073942162,0.3604712683726272,0.8570161175848141,0.8750951698863123,0.3558536212730926,0.3558927203261205,0.8567602682046972,0.8749440547726137,2.0409200726402785,129.05921601334447,63.310344827586206,0.0,1229.0,2.264490403151304e-07,3.823647729644488e-07,0.0,0.0,0.0002783058705455694,0.0004699263060032724,0.0,0.0,0.0002707898557035959,0.0004739711626770107,0.09903959767221382,0.0,3.072257049293271,0.0,0.0,2
500,0.5,0.8,0.01020995070709516,0.0097606497230137,0.3604390073942162,0.3604712683726272,0.8239208702721535,0.8035590311382965,0.3558536212730926,0.3558927203261205,0.823679407146504,0.8034635814451974,47.708405759749255,8448.545000000002,177.05517241379312,0.0,45.4,0.00011387887786553592,0.00010437460199968155,0.0,0.0,0.0003993434826247759,0.0005866461780151789,0.0,0.0,0.0004101935373095407,0.0005965372567273837,0.4021067876558073,296.6670767407049,4.740633170130931,0.0,0.547722557505166,5
500,1.0,0.6,0.00956224311212038,0.008702470653970399,0.3604390073942162,0.3604712683726272,0.7960189952640884,0.756980630508562,0.3558536212730926,0.3558927203261205,0.7962859876125468,0.7573381551005312,22.43223919708698,5107.814285714286,179.0,0.21379310344827585,45.6,0.00034240934435208337,0.00024495121120628166,0.0,0.0,0.0007900502181388135,0.004319128416723945,0.0,0.0,0.0007517537441724978,0.004313641977267331,0.5778719405629241,134.00410822212936,2.2360679774997916,0.01542115846551581,1.6733200530681505,5
500,1.0,0.7,0.01559621300312832,0.01179093481519034,0.3604390073942162,0.3604712683726272,0.7159937026570142,0.6296246112552101,0.3558536212730926,0.3558927203261205,0.7154148710110889,0.6295155823031061,7.321746913089809,5643.081818181818,347.3268131868132,0.5517241379310345,23.2,0.0021200249788447005,0.0014943390742681126,0.0,0.0,0.016893636849497694,0.015295778724658123,0.0,0.0,0.0171026780142603,0.015749288917256344,1.2356157023695389,495.9019543691146,30.23138151540401,0.05972588991616824,3.7013511046643495,5
500,1.0,0.8,0.07398732788768017,0.04678508596475376,0.3604390073942162,0.3604712683726272,0.6216058224613836,0.5257016762804383,0.3558536212730926,0.3558927203261205,0.6200766268923023,0.5211872712405744,4.097042387896963,15030.0,253.0,0.9310344827586208,3.6,0.011838943953920412,0.007293614078676394,0.0,0.0,0.00027211901028411744,0.0008269590702141097,0.0,0.0,0.0003753584319790172,0.0008536779960776235,0.0,0.0,0.0,0.0,0.5477225575051662,5
