confidence,feature_proportion,n_clusters,n_samples,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
0.01,0.01,2,100,0.00258982763023472,0.00251826821451996,0.4464661324248641,0.44065915631089253,0.7592492225104203,0.7448001754997225,0.41682543806929695,0.40873587558886626,0.7482221362007965,0.7330371101190191,0.9934969857112892,1531.0854175712839,1224.513043478261,0.2068965517241379,120.8,4.9538179117607355e-05,4.792360838639405e-05,0.0,0.0,0.0019882187375593243,0.0019293122444013033,0.0,0.0,0.001997831876513796,0.0019414635580490408,0.05481982241314598,28.698898740608826,53.65702183720759,0.0,1.7888543819998315,5
0.01,0.01,2,250,0.00440989222908966,0.00414166723800264,0.4464661324248641,0.44065915631089253,0.7487592427703148,0.7249287032377117,0.41682543806929695,0.40873587558886626,0.7397685615110239,0.7159864888600074,3.112008365478809,3446.075882311049,924.9747991718426,0.18620689655172412,69.0,0.00041273180533319835,0.0003123615666233515,0.0,0.0,0.0016136836917044113,0.005865859263841457,0.0,0.0,0.0014108529760269578,0.005343431289081948,0.5556612518143574,394.41622213497385,214.7004636422011,0.057700691485108646,6.041522986797286,5
0.01,0.01,2,500,0.00696646539937644,0.0064888561778161605,0.4464661324248641,0.44065915631089253,0.7472958847895939,0.7228523866671829,0.41682543806929695,0.40873587558886626,0.7378550384000147,0.7127364776658817,3.5481340271152275,6688.904972031528,1298.5509615384615,0.29655172413793096,44.2,0.0011168783963149854,0.0007767351778214114,0.0,0.0,0.003482472428183225,0.020603642516192473,0.0,0.0,0.0038533824257264886,0.02008481665749171,0.1764495896036799,1151.413292528548,101.75434150068574,0.12336926772412635,8.04363102087608,5
0.01,0.01,2,1000,0.01597367858609404,0.01198289917245734,0.4464661324248641,0.44065915631089253,0.7063425083555934,0.6423831829971739,0.41682543806929695,0.40873587558886626,0.6965614574819934,0.6351095723167617,5.315146293413819,24027.62476190476,1807.456117216117,0.6413793103448275,17.4,0.004653623477001086,0.001846656834706111,0.0,0.0,0.006942822495902046,0.033570002354668387,0.0,0.0,0.006096674746312496,0.03260099156058846,4.037506847270175,7590.611675535777,313.9080188257774,0.15536386656646636,4.9295030175464944,5
0.01,0.01,3,100,0.00181686561813534,0.0018580903311064,0.4464661324248641,0.44065915631089253,0.7622959493115508,0.763666395674448,0.41682543806929695,0.40873587558886626,0.7517115509855926,0.7528608183913031,1.2346733997732862,1060.1205824849524,846.2021773399016,0.04137931034482756,174.0,7.352043297003202e-05,7.46299493954688e-05,0.0,0.0,0.0051910779376081895,0.005935705474741752,0.0,0.0,0.0052459628490938125,0.00614380592688303,0.19858791874732193,35.170985679637035,186.46275297402673,0.05666095422467234,5.612486080160914,5
0.01,0.01,3,250,0.00447873073865412,0.00441266085993538,0.4464661324248641,0.44065915631089253,0.7514588414437433,0.7411095195695095,0.41682543806929695,0.40873587558886626,0.7407122667236217,0.7302379820739174,1.992354499800274,3397.9681780971614,1362.9512824936737,0.19999999999999996,69.0,0.0005538486823797957,0.0005744812250352333,0.0,0.0,0.005898006741096122,0.010900300123807626,0.0,0.0,0.006391510946154816,0.010970736937495156,0.26195510434658853,489.23876107526223,152.15277339288207,0.08586137653785329,9.354143466934854,5
0.01,0.01,3,500,0.00950316778766474,0.00773164510448756,0.4464661324248641,0.44065915631089253,0.7163911579110371,0.6676293342624495,0.41682543806929695,0.40873587558886626,0.707361036160779,0.6582975310188905,4.204471498643737,10876.466666666665,1412.1900658165364,0.4413793103448276,29.6,0.002238515102168035,0.00045023779879124965,0.0,0.0,0.006179926362608152,0.04154384428614003,0.0,0.0,0.006306230355562964,0.03920300976787466,0.9545230488026994,2845.588919226075,186.6645710180144,0.13663181211144104,6.50384501660364,5
0.01,0.01,3,1000,0.017637930020919422,0.011178357328332101,0.4464661324248641,0.44065915631089253,0.7256113455408876,0.6214290322996916,0.41682543806929695,0.40873587558886626,0.7175219410532858,0.6132775327223099,5.81340509955555,21740.85523809524,1281.9666666666667,0.6275862068965518,16.8,0.005694429265392668,0.002453631550492735,0.0,0.0,0.019387891229862297,0.023082688977177534,0.0,0.0,0.020368042897744198,0.018395830026971,1.203870476022753,11519.407226896086,454.9885743376176,0.09252695079309474,3.898717737923586,5
0.01,0.1,2,100,0.00165931392231124,0.0016953080338617198,0.4464661324248641,0.44065915631089253,0.7859664743912353,0.7875433910159627,0.41682543806929695,0.40873587558886626,0.775155725151908,0.7764032397980899,29.70150655516929,846.5554375870897,27.739162561576354,0.02758620689655168,205.4,0.00011651047668224335,0.00011737984790065227,0.0,0.0,0.0013558625645388555,0.0016748475774744857,0.0,0.0,0.001311027359305133,0.0017574255522045197,2.5130291020215574,66.58917520900111,0.9952131145593922,0.015421158465515766,14.20563268566381,5
0.01,0.1,2,250,0.00317649286083322,0.0032349139427625,0.4464661324248641,0.44065915631089253,0.7902184713457989,0.7907346470003742,0.41682543806929695,0.40873587558886626,0.7788340388549367,0.7790094953413088,43.53826451313442,1876.023124108919,63.0,0.0344827586206896,108.4,0.00014438446637793183,0.00014682683696146546,0.0,0.0,0.0009455428054614201,0.0010278997781152733,0.0,0.0,0.0009821562573395447,0.0010764166663955843,23.692291936987306,94.08568163756163,57.25961843272468,0.0,5.029910535983715,5
