n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (nb) (mean),acc (ht-no dd) (mean),acc (nb-no dd) (mean),acc (ht-dd) (mean),acc (nb-dd) (mean),f1 (ht-no dd) (mean),f1 (nb-no dd) (mean),f1 (ht-dd) (mean),f1 (nb-dd) (mean),mtr (mean),mtfa (mean),mtd (mean),mdr (mean),drifts (mean),lpd (ht) (std),lpd (nb) (std),acc (ht-no dd) (std),acc (nb-no dd) (std),acc (ht-dd) (std),acc (nb-dd) (std),f1 (ht-no dd) (std),f1 (nb-no dd) (std),f1 (ht-dd) (std),f1 (nb-dd) (std),mtr (std),mtfa (std),mtd (std),mdr (std),drifts (std),count
50,0.1,0.6,9.348727491884012e-05,0.00010874256767291999,0.4464661324248641,0.44065915631089253,0.665993057437446,0.6960112526292697,0.41682543806929695,0.40873587558886626,0.6630726276619803,0.6922769734833091,2.664954105654199,66.80216425083397,25.372413793103448,0.0,2348.4,1.2531159643050903e-06,1.2384956043116724e-06,0.0,0.0,0.0012935051262492204,0.0008750162248690425,0.0,0.0,0.0013213154889016193,0.000892620820538125,0.3443140120079927,0.5628158750408464,2.991605377525498,0.0,19.411336893681526,5
50,0.1,0.7,0.00015009383680198,0.00016625793609384,0.4464661324248641,0.44065915631089253,0.7021653568709432,0.723901513685107,0.41682543806929695,0.40873587558886626,0.6975300597131462,0.7186273971280228,3.4955347079394796,92.49726180742354,28.372413793103448,0.0,1703.8,2.3380372940306497e-06,2.123348043336719e-06,0.0,0.0,0.0015313155202849194,0.0009113894841814877,0.0,0.0,0.001451113607635678,0.0008592426476812687,0.9421143007732895,0.9323415154002862,9.08891865573451,0.0,16.5287628091155,5
50,0.1,0.8,0.00039816737392490005,0.000418205657908,0.4464661324248641,0.44065915631089253,0.7564631644148504,0.7662588878995522,0.41682543806929695,0.40873587558886626,0.7486395725438444,0.7580810075677732,9.921706546324337,206.64985582005275,22.620689655172413,0.0,778.6,3.7804509286874874e-06,3.4783187637288128e-06,0.0,0.0,0.001049086145285751,0.0006055893517707185,0.0,0.0,0.001099233225692421,0.0006362076627283116,3.516422483741475,1.3718675201341204,6.425878491508672,0.0,5.549774770204644,5
50,0.5,0.6,0.00041276496388855993,0.00043267658634132,0.4464661324248641,0.44065915631089253,0.757545842850322,0.7667453834539893,0.41682543806929695,0.40873587558886626,0.7494992872050459,0.7584319526683831,9.695531355997051,213.2051249297429,22.110344827586207,0.0,754.0,1.0587363335801951e-05,1.1071082938762621e-05,0.0,0.0,0.0010344863911099208,0.0009729068159293232,0.0,0.0,0.001016775628525525,0.0009429587822934847,0.7741602014790475,4.394764392709897,1.9511574661693372,0.0,17.161002301730523,5
50,0.5,0.7,0.00330197366143452,0.0033687529400400797,0.4464661324248641,0.44065915631089253,0.7950318093247132,0.7962783735305125,0.41682543806929695,0.40873587558886626,0.7836159950018748,0.7848109417708545,78.87588413265318,1991.0690241051384,25.234482758620693,0.0,105.8,0.00017406406722872894,0.00017663969609599638,0.0,0.0,0.0001929411500957211,0.00015200365180585734,0.0,0.0,0.00020473615371849354,0.00019127051357917818,6.471751092476248,182.37869717485643,0.7473297689714784,0.0,5.630275304103697,5
50,0.5,0.8,0.01128541834057474,0.01147242500930462,0.4464661324248641,0.44065915631089253,0.7955750842011536,0.7955634702489257,0.41682543806929695,0.40873587558886626,0.7839600860165644,0.783867457417702,2166.0510692030653,86127.2,59.41319102353585,0.027586206896551703,31.0,0.0005395016356524899,0.0005419167686205265,0.0,0.0,0.0033189005826025466,0.003655265379356209,0.0,0.0,0.0030708359517935737,0.0036444769125803045,1268.9157363200507,35319.7804452406,66.99542272813115,0.02885034574255432,1.7320508075688774,5
50,1.0,0.6,0.0010559181001964801,0.0010861727654329402,0.4464661324248641,0.44065915631089253,0.7815802717664821,0.7853780341450196,0.41682543806929695,0.40873587558886626,0.7713915825702872,0.7750813036510534,12.825765846359346,535.6856474858675,41.86206896551724,0.0,318.0,5.315517892016425e-05,5.444592822337289e-05,0.0,0.0,0.0007665088984405365,0.0006850974067693562,0.0,0.0,0.0007840751001253342,0.0006914715236188705,0.8862330593096545,28.595987053328564,2.4870652303802703,0.0,15.716233645501712,5
50,1.0,0.7,0.009078453583854399,0.00912692513538354,0.4464661324248641,0.44065915631089253,0.7949001845327965,0.7908933710141561,0.41682543806929695,0.40873587558886626,0.7831396500311014,0.7790757955744332,306.4768438045303,16067.534545454546,50.98058748403576,0.027586206896551703,38.6,0.0007786199305778354,0.0008507136353422007,0.0,0.0,0.001309673348539489,0.009760810102556623,0.0,0.0,0.001363395483546529,0.0095388507689706,124.55004641251095,6617.975448005135,0.47484436796403756,0.02885034574255432,3.2093613071762426,5
50,1.0,0.8,0.01395321107417118,0.012831932951842739,0.4464661324248641,0.44065915631089253,0.7673054340392035,0.7358419470145691,0.41682543806929695,0.40873587558886626,0.7548609988856457,0.7255146817651876,,,50.2313382269904,0.24137931034482757,23.0,0.0002172025600463173,0.00023705492145757897,0.0,0.0,0.007376251864102261,0.012032015859960821,0.0,0.0,0.007165070146578078,0.010960845045036732,,,0.7923929931589653,0.024382992454708523,0.7071067811865476,5
125,0.1,0.6,0.000359265389059,0.00037869581703180004,0.4464661324248641,0.44065915631089253,0.751039448724401,0.761704928187062,0.41682543806929695,0.40873587558886626,0.7438714260086929,0.7541702930306304,3.854329029969952,189.1021970593559,49.55172413793103,0.0,847.8,2.50448858369882e-06,2.610189318739748e-06,0.0,0.0,0.0004546990066681509,0.0002959089773744242,0.0,0.0,0.00047401888069606766,0.00033302838628498883,0.4352000128355893,1.3614080969664353,5.429693320994069,0.0,6.058052492344383,5
